😀	aodann, aodann le gàire, fiamh-ghàire, gàire
😈	adharcan, aodann, aodann le gàire agus adharcan, fantastach, faoinsgeul, fiamh-ghàire
👿	aodann, aodann feargach le adharcan, deamhan, diabhal, fantastach, faoinsgeul
💀	aodann, bàs, claigeann, faoinsgeul, uilebheist
☠️	aodann, bàs, claigeann, claigeann le cnàmhan, cnàmhan, uilebheist
💩	aodann, bab, cac, càrn cac, dealbh-èibhinn, sgigean, uilebheist
🤡	aodann, aodann tuaisteir, tuaistear
👹	aodann, creutair, diabhal Seapanach, fantastach, faoinsgeul, uilebheist
👺	aodann, bòcan Seapanach, creutair, fantastach, faoinsgeul, uilebheist
👻	aodann, creutair, fantastach, faoinsgeul, taibhse, uilebheist
👽️	aodann, creutair, creutair neo-thalmhaidh, creutair-fànais, fantastach, faoinsgeul, neo-thalmhaidh, ufo, uilebheist
👾	aodann, creutair, creutair-fànais, fantastach, faoinsgeul, neo-thalmhaidh, ufo, uilebheist, uilebheist neo-thalmhaidh
🤖	aodann, robotair, uilebheist
😺	aodann, beul, cat, cat le gàire, fiamh-ghàire, fosgailte, gàire
😸	aodann, cat, cat le gàire agus sùilean toilichte, fiamh-ghàire, gàire, sùil, toilichte
😹	aodann, cat, cat le deòir shona, deur, deòir, sona
😻	aodann, cat, cat le gàire agus sùilean an cumadh cridhe, cridhe, fiamh-ghàire, gaol, gàire, sùil, sùilean
😼	aodann, cam, cat, cat le gàire cham, fiamh-ghàire, ìoranta
😽	aodann, cat, cat a’ pògadh, pòg, pògadh, sùil
🙀	aodann, cat, cat air chlaoidh, claoidh, iongnadh, sgìth, ò
😿	brònach, caoineadh, cat, cat a’ caoineadh, deur, deòir
😾	aodann, busach, cat, cat busach
🙈	aodann, diùltadh, faic, faicinn, gluasad, muncaidh, muncaidh nach fhaic olc, olc, toirmisgte, àicheadh
🙉	aodann, cluinn, cluinntinn, diùltadh, gluasad, muncaidh, muncaidh nach cluinn olc, olc, toirmisgte, àicheadh
🙊	aodann, bruidhinn, can, diùltadh, gluasad, muncaidh, muncaidh nach can olc, olc, toirmisgte, àicheadh
💋	bilean, làrach pòige, pòg
💌	cridhe, gaol, litir, litir gaoil, post
💘	cridhe le saighead, cupaid, saighead
💝	bhaileintin, cridhe le ribean, là nam pòg, ribean
💖	air bhioran, cridhe lainnireach, lainnir
💗	air bhioran, cridhe a’ fàs, cuisle, cuisleachadh, cuislich, fàs, iomagaineach, nearbhasach
💓	bualadh, cridhe, cridhe a’ bualadh
💞	cridheachan a’ dol mun cuairt, cuairt, dol mun cuairt
💕	dà chridhe, gaol
💟	cridhe, sgeadas cridhe
❣️	!, clisg-phuing, clisg-phuing cridhe, comharra, cridhe, puingeachadh
💔	briseadh, briste, cridhe briste
❤️	cridhe, cridhe dearg
🧡	cridhe orains, orains
💛	buidhe, cridhe buidhe
💚	cridhe uaine, uaine
💙	cridhe gorm, gorm
💜	cridhe purpaidh, purpaidh
🤎	cridhe, cridhe donn, donn
🖤	cridhe dubh, dubh, olc
🤍	cridhe, cridhe geal, geal
💯	100, ceud, ceud puing, puing, sgòr, slàn
💢	aodann, dealbh-èibhinn, feargach, samhla feirge
💥	bualadh ri chèile, dealbh-èibhinn, spreadhadh
💫	dealbh-èibhinn, rionnag, tuaineal
💦	boinneag, boinneagan fallais, dealbh-èibhinn, fallas, splaiseadh
💨	a’ falbh nad dheann, dealbh-èibhinn, deann, luath, ruith
🕳️	toll
💣️	boma, dealbh-èibhinn
💬	bailiùn, bruidhinn, builgean, builgean còmhraidh, cainnt, còmhradh, dealbh-èibhinn
👁‍🗨	builgean còmhraidh, fianais, sùil, sùil ann am builgean còmhraidh
🗨️	bruidhinn, builgean còmhraidh dhan taobh chlì, cainnt, còmhradh
🗯️	bailiùn, builgean, builgean feirg dhan taobh deas, feargach
💭	bailiùn, builgean, builgean smaoineachaidh, dealbh-èibhinn, smaoineachadh, smaointinn
💤	cadal, dealbh-èibhinn, suain, zzz
👋	làmh, làmh a’ smèideadh, smèid, smèideadh
👋🏻	làmh, làmh a’ smèideadh, làmh a’ smèideadh: tòna soilleir a’ chraicinn, smèid, smèideadh, tòna soilleir a’ chraicinn
👋🏼	làmh, làmh a’ smèideadh, làmh a’ smèideadh: tòna meadhanach soilleir a’ chraicinn, smèid, smèideadh, tòna meadhanach soilleir a’ chraicinn
👋🏽	làmh, làmh a’ smèideadh, làmh a’ smèideadh: tòna meadhanach a’ chraicinn, smèid, smèideadh, tòna meadhanach a’ chraicinn
👋🏾	làmh, làmh a’ smèideadh, làmh a’ smèideadh: tòna meadhanach doilleir a’ chraicinn, smèid, smèideadh, tòna meadhanach doilleir a’ chraicinn
👋🏿	làmh, làmh a’ smèideadh, làmh a’ smèideadh: tòna doilleir a’ chraicinn, smèid, smèideadh, tòna doilleir a’ chraicinn
🤚	cùl, cùl làimhe air a thogail, làmh, togail
🤚🏻	cùl, cùl làimhe air a thogail, cùl làimhe air a thogail: tòna soilleir a’ chraicinn, làmh, togail, tòna soilleir a’ chraicinn
🤚🏼	cùl, cùl làimhe air a thogail, cùl làimhe air a thogail: tòna meadhanach soilleir a’ chraicinn, làmh, togail, tòna meadhanach soilleir a’ chraicinn
🤚🏽	cùl, cùl làimhe air a thogail, cùl làimhe air a thogail: tòna meadhanach a’ chraicinn, làmh, togail, tòna meadhanach a’ chraicinn
🤚🏾	cùl, cùl làimhe air a thogail, cùl làimhe air a thogail: tòna meadhanach doilleir a’ chraicinn, làmh, togail, tòna meadhanach doilleir a’ chraicinn
🤚🏿	cùl, cùl làimhe air a thogail, cùl làimhe air a thogail: tòna doilleir a’ chraicinn, làmh, togail, tòna doilleir a’ chraicinn
🖐️	corrag, làmh, làmh air a togail le corragan sìnte, meur, sìnte
🖐🏻	corrag, làmh, làmh air a togail le corragan sìnte, làmh air a togail le corragan sìnte: tòna soilleir a’ chraicinn, meur, sìnte, tòna soilleir a’ chraicinn
🖐🏼	corrag, làmh, làmh air a togail le corragan sìnte, làmh air a togail le corragan sìnte: tòna meadhanach soilleir a’ chraicinn, meur, sìnte, tòna meadhanach soilleir a’ chraicinn
🖐🏽	corrag, làmh, làmh air a togail le corragan sìnte, làmh air a togail le corragan sìnte: tòna meadhanach a’ chraicinn, meur, sìnte, tòna meadhanach a’ chraicinn
🖐🏾	corrag, làmh, làmh air a togail le corragan sìnte, làmh air a togail le corragan sìnte: tòna meadhanach doilleir a’ chraicinn, meur, sìnte, tòna meadhanach doilleir a’ chraicinn
🖐🏿	corrag, làmh, làmh air a togail le corragan sìnte, làmh air a togail le corragan sìnte: tòna doilleir a’ chraicinn, meur, sìnte, tòna doilleir a’ chraicinn
✋	làmh, làmh air a togail
✋🏻	làmh, làmh air a togail, làmh air a togail: tòna soilleir a’ chraicinn, tòna soilleir a’ chraicinn
✋🏼	làmh, làmh air a togail, làmh air a togail: tòna meadhanach soilleir a’ chraicinn, tòna meadhanach soilleir a’ chraicinn
✋🏽	làmh, làmh air a togail, làmh air a togail: tòna meadhanach a’ chraicinn, tòna meadhanach a’ chraicinn
✋🏾	làmh, làmh air a togail, làmh air a togail: tòna meadhanach doilleir a’ chraicinn, tòna meadhanach doilleir a’ chraicinn
✋🏿	làmh, làmh air a togail, làmh air a togail: tòna doilleir a’ chraicinn, tòna doilleir a’ chraicinn
🖖	beannachd muinntir Vulcan, corrag, làmh, meur, spock, vulcan
🖖🏻	beannachd muinntir Vulcan, beannachd muinntir Vulcan: tòna soilleir a’ chraicinn, corrag, làmh, meur, spock, tòna soilleir a’ chraicinn, vulcan
🖖🏼	beannachd muinntir Vulcan, beannachd muinntir Vulcan: tòna meadhanach soilleir a’ chraicinn, corrag, làmh, meur, spock, tòna meadhanach soilleir a’ chraicinn, vulcan
🖖🏽	beannachd muinntir Vulcan, beannachd muinntir Vulcan: tòna meadhanach a’ chraicinn, corrag, làmh, meur, spock, tòna meadhanach a’ chraicinn, vulcan
🖖🏾	beannachd muinntir Vulcan, beannachd muinntir Vulcan: tòna meadhanach doilleir a’ chraicinn, corrag, làmh, meur, spock, tòna meadhanach doilleir a’ chraicinn, vulcan
🖖🏿	beannachd muinntir Vulcan, beannachd muinntir Vulcan: tòna doilleir a’ chraicinn, corrag, làmh, meur, spock, tòna doilleir a’ chraicinn, vulcan
👌	aontachadh, làmh, samhla làimhe OK
👌🏻	aontachadh, làmh, samhla làimhe OK, samhla làimhe OK: tòna soilleir a’ chraicinn, tòna soilleir a’ chraicinn
👌🏼	aontachadh, làmh, samhla làimhe OK, samhla làimhe OK: tòna meadhanach soilleir a’ chraicinn, tòna meadhanach soilleir a’ chraicinn
👌🏽	aontachadh, làmh, samhla làimhe OK, samhla làimhe OK: tòna meadhanach a’ chraicinn, tòna meadhanach a’ chraicinn
👌🏾	aontachadh, làmh, samhla làimhe OK, samhla làimhe OK: tòna meadhanach doilleir a’ chraicinn, tòna meadhanach doilleir a’ chraicinn
👌🏿	aontachadh, làmh, samhla làimhe OK, samhla làimhe OK: tòna doilleir a’ chraicinn, tòna doilleir a’ chraicinn
🤏	beagan, làmh le sradag, sradag
🤏🏻	beagan, làmh le sradag, làmh le sradag: tòna soilleir a’ chraicinn, sradag, tòna soilleir a’ chraicinn
🤏🏼	beagan, làmh le sradag, làmh le sradag: tòna meadhanach soilleir a’ chraicinn, sradag, tòna meadhanach soilleir a’ chraicinn
🤏🏽	beagan, làmh le sradag, làmh le sradag: tòna meadhanach a’ chraicinn, sradag, tòna meadhanach a’ chraicinn
🤏🏾	beagan, làmh le sradag, làmh le sradag: tòna meadhanach doilleir a’ chraicinn, sradag, tòna meadhanach doilleir a’ chraicinn
🤏🏿	beagan, làmh le sradag, làmh le sradag: tòna doilleir a’ chraicinn, sradag, tòna doilleir a’ chraicinn
✌️	buaidh, làmh, làmh a thug buaidh, v
✌🏻	buaidh, làmh, làmh a thug buaidh, làmh a thug buaidh: tòna soilleir a’ chraicinn, tòna soilleir a’ chraicinn, v
✌🏼	buaidh, làmh, làmh a thug buaidh, làmh a thug buaidh: tòna meadhanach soilleir a’ chraicinn, tòna meadhanach soilleir a’ chraicinn, v
✌🏽	buaidh, làmh, làmh a thug buaidh, làmh a thug buaidh: tòna meadhanach a’ chraicinn, tòna meadhanach a’ chraicinn, v
✌🏾	buaidh, làmh, làmh a thug buaidh, làmh a thug buaidh: tòna meadhanach doilleir a’ chraicinn, tòna meadhanach doilleir a’ chraicinn, v
✌🏿	buaidh, làmh, làmh a thug buaidh, làmh a thug buaidh: tòna doilleir a’ chraicinn, tòna doilleir a’ chraicinn, v
🤞	beò an dòchas, corrag, dòchas, fortan, làmh, meur
🤞🏻	beò an dòchas, beò an dòchas: tòna soilleir a’ chraicinn, corrag, dòchas, fortan, làmh, meur, tòna soilleir a’ chraicinn
🤞🏼	beò an dòchas, beò an dòchas: tòna meadhanach soilleir a’ chraicinn, corrag, dòchas, fortan, làmh, meur, tòna meadhanach soilleir a’ chraicinn
🤞🏽	beò an dòchas, beò an dòchas: tòna meadhanach a’ chraicinn, corrag, dòchas, fortan, làmh, meur, tòna meadhanach a’ chraicinn
🤞🏾	beò an dòchas, beò an dòchas: tòna meadhanach doilleir a’ chraicinn, corrag, dòchas, fortan, làmh, meur, tòna meadhanach doilleir a’ chraicinn
🤞🏿	beò an dòchas, beò an dòchas: tòna doilleir a’ chraicinn, corrag, dòchas, fortan, làmh, meur, tòna doilleir a’ chraicinn
🤟	agam, gaol, gluasad “Tha gaol agam ort”, làmh, ort
🤟🏻	agam, gaol, gluasad “Tha gaol agam ort”, gluasad “Tha gaol agam ort”: tòna soilleir a’ chraicinn, làmh, ort, tòna soilleir a’ chraicinn
🤟🏼	agam, gaol, gluasad “Tha gaol agam ort”, gluasad “Tha gaol agam ort”: tòna meadhanach soilleir a’ chraicinn, làmh, ort, tòna meadhanach soilleir a’ chraicinn
🤟🏽	agam, gaol, gluasad “Tha gaol agam ort”, gluasad “Tha gaol agam ort”: tòna meadhanach a’ chraicinn, làmh, ort, tòna meadhanach a’ chraicinn
