😀	अनुहार, रमाएको अनुहार, हँसिलो
👨🏽‍⚕	चिकित्सक, छालाको प्रकार-४, छोरामान्छे, थेरापिस्ट, नर्स, पुरूष, पुरूष स्वास्थ्यकर्मी, पुरूष स्वास्थ्यकर्मी: छालाको प्रकार-४, स्वास्थ्यको हेरविचार
👨🏾‍⚕	चिकित्सक, छालाको प्रकार-५, छोरामान्छे, थेरापिस्ट, नर्स, पुरूष, पुरूष स्वास्थ्यकर्मी, पुरूष स्वास्थ्यकर्मी: छालाको प्रकार-५, स्वास्थ्यको हेरविचार
👨🏿‍⚕	चिकित्सक, छालाको प्रकार-६, छोरामान्छे, थेरापिस्ट, नर्स, पुरूष, पुरूष स्वास्थ्यकर्मी, पुरूष स्वास्थ्यकर्मी: छालाको प्रकार-६, स्वास्थ्यको हेरविचार
👩‍⚕	चिकित्सक, छोरीमान्छे, थेरापिस्ट, नर्स, महिला, महिला स्वास्थ्यकर्मी, स्वास्थ्यको हेरविचार
👩🏻‍⚕	चिकित्सक, छालाको प्रकार-१-२, छोरीमान्छे, थेरापिस्ट, नर्स, महिला, महिला स्वास्थ्यकर्मी, महिला स्वास्थ्यकर्मी: छालाको प्रकार-१-२, स्वास्थ्यको हेरविचार
👩🏼‍⚕	चिकित्सक, छालाको प्रकार-३, छोरीमान्छे, थेरापिस्ट, नर्स, महिला, महिला स्वास्थ्यकर्मी, महिला स्वास्थ्यकर्मी: छालाको प्रकार-३, स्वास्थ्यको हेरविचार
👩🏽‍⚕	चिकित्सक, छालाको प्रकार-४, छोरीमान्छे, थेरापिस्ट, नर्स, महिला, महिला स्वास्थ्यकर्मी, महिला स्वास्थ्यकर्मी: छालाको प्रकार-४, स्वास्थ्यको हेरविचार
👩🏾‍⚕	चिकित्सक, छालाको प्रकार-५, छोरीमान्छे, थेरापिस्ट, नर्स, महिला, महिला स्वास्थ्यकर्मी, महिला स्वास्थ्यकर्मी: छालाको प्रकार-५, स्वास्थ्यको हेरविचार
👩🏿‍⚕	चिकित्सक, छालाको प्रकार-६, छोरीमान्छे, थेरापिस्ट, नर्स, महिला, महिला स्वास्थ्यकर्मी, महिला स्वास्थ्यकर्मी: छालाको प्रकार-६, स्वास्थ्यको हेरविचार
👨‍🎓	छोरामान्छे, पुरूष, पुुरूष विद्यार्थी, विद्यार्थी, शैक्षिक योग्ता प्राप्त व्यक्ति
👨🏻‍🎓	छालाको प्रकार-१-२, छोरामान्छे, पुरूष, पुुरूष विद्यार्थी, पुुरूष विद्यार्थी: छालाको प्रकार-१-२, विद्यार्थी, शैक्षिक योग्ता प्राप्त व्यक्ति
👨🏼‍🎓	छालाको प्रकार-३, छोरामान्छे, पुरूष, पुुरूष विद्यार्थी, पुुरूष विद्यार्थी: छालाको प्रकार-३, विद्यार्थी, शैक्षिक योग्ता प्राप्त व्यक्ति
👨🏽‍🎓	छालाको प्रकार-४, छोरामान्छे, पुरूष, पुुरूष विद्यार्थी, पुुरूष विद्यार्थी: छालाको प्रकार-४, विद्यार्थी, शैक्षिक योग्ता प्राप्त व्यक्ति
👨🏾‍🎓	छालाको प्रकार-५, छोरामान्छे, पुरूष, पुुरूष विद्यार्थी, पुुरूष विद्यार्थी: छालाको प्रकार-५, विद्यार्थी, शैक्षिक योग्ता प्राप्त व्यक्ति
👨🏿‍🎓	छालाको प्रकार-६, छोरामान्छे, पुरूष, पुुरूष विद्यार्थी, पुुरूष विद्यार्थी: छालाको प्रकार-६, विद्यार्थी, शैक्षिक योग्ता प्राप्त व्यक्ति
👩‍🎓	छोरीमान्छे, महिला, महिला विद्यार्थी, विद्यार्थी, शैक्षिक योग्यता प्राप्त व्यक्ति
👩🏻‍🎓	छालाको प्रकार-१-२, छोरीमान्छे, महिला, महिला विद्यार्थी: छालाको प्रकार-१-२, विद्यार्थी, शैक्षिक योग्यता प्राप्त व्यक्ति
👩🏼‍🎓	छालाको प्रकार-३, छोरीमान्छे, महिला, महिला विद्यार्थी: छालाको प्रकार-३, विद्यार्थी, शैक्षिक योग्यता प्राप्त व्यक्ति
👩🏽‍🎓	छालाको प्रकार-४, छोरीमान्छे, महिला, महिला विद्यार्थी: छालाको प्रकार-४, विद्यार्थी, शैक्षिक योग्यता प्राप्त व्यक्ति
👩🏾‍🎓	छालाको प्रकार-५, छोरीमान्छे, महिला, महिला विद्यार्थी: छालाको प्रकार-५, विद्यार्थी, शैक्षिक योग्यता प्राप्त व्यक्ति
👩🏿‍🎓	छालाको प्रकार-६, छोरीमान्छे, महिला, महिला विद्यार्थी: छालाको प्रकार-६, विद्यार्थी, शैक्षिक योग्यता प्राप्त व्यक्ति
👨‍🏫	छोरामान्छे, पुरूष, पुरूष शिक्षक, प्रशिक्षक, प्राध्यापक, शिक्षक
👨🏻‍🏫	छालाको प्रकार-१-२, छोरामान्छे, पुरूष, पुरूष शिक्षक: छालाको प्रकार-१-२, प्रशिक्षक, प्राध्यापक, शिक्षक
👨🏼‍🏫	छालाको प्रकार-३, छोरामान्छे, पुरूष, पुरूष शिक्षक: छालाको प्रकार-३, प्रशिक्षक, प्राध्यापक, शिक्षक
👨🏽‍🏫	छालाको प्रकार-४, छोरामान्छे, पुरूष, पुरूष शिक्षक: छालाको प्रकार-४, प्रशिक्षक, प्राध्यापक, शिक्षक
👨🏾‍🏫	छालाको प्रकार-५, छोरामान्छे, पुरूष, पुरूष शिक्षक: छालाको प्रकार-५, प्रशिक्षक, प्राध्यापक, शिक्षक
👨🏿‍🏫	छालाको प्रकार-६, छोरामान्छे, पुरूष, पुरूष शिक्षक: छालाको प्रकार-६, प्रशिक्षक, प्राध्यापक, शिक्षक
👩‍🏫	छोरीमान्छे, प्रशिक्षक, प्राध्यापक, महिला, महिला शिक्षिका, शिक्षक
👩🏻‍🏫	छालाको प्रकार-१-२, छोरीमान्छे, प्रशिक्षक, प्राध्यापक, महिला, महिला शिक्षिका, महिला शिक्षिका: छालाको प्रकार-१-२, शिक्षक
👩🏼‍🏫	छालाको प्रकार-३, छोरीमान्छे, प्रशिक्षक, प्राध्यापक, महिला, महिला शिक्षिका, महिला शिक्षिका: छालाको प्रकार-३, शिक्षक
👩🏽‍🏫	छालाको प्रकार-४, छोरीमान्छे, प्रशिक्षक, प्राध्यापक, महिला, महिला शिक्षिका, महिला शिक्षिका: छालाको प्रकार-४, शिक्षक
👩🏾‍🏫	छालाको प्रकार-५, छोरीमान्छे, प्रशिक्षक, प्राध्यापक, महिला, महिला शिक्षिका, महिला शिक्षिका: छालाको प्रकार-५, शिक्षक
👩🏿‍🏫	छालाको प्रकार-६, छोरीमान्छे, प्रशिक्षक, प्राध्यापक, महिला, महिला शिक्षिका, महिला शिक्षिका: छालाको प्रकार-६, शिक्षक
👨‍⚖	छोरामान्छे, न्याय, पुरूष, पुरूष न्यायधिश, स्केल
👨🏻‍⚖	छालाको प्रकार-१-२, छोरामान्छे, न्याय, पुरूष, पुरूष न्यायधिश, पुरूष न्यायधिश: छालाको प्रकार-१-२, स्केल
👨🏼‍⚖	छालाको प्रकार-३, छोरामान्छे, न्याय, पुरूष, पुरूष न्यायधिश, पुरूष न्यायधिश: छालाको प्रकार-३, स्केल
👨🏽‍⚖	छालाको प्रकार-४, छोरामान्छे, न्याय, पुरूष, पुरूष न्यायधिश, पुरूष न्यायधिश: छालाको प्रकार-४, स्केल
👨🏾‍⚖	छालाको प्रकार-५, छोरामान्छे, न्याय, पुरूष, पुरूष न्यायधिश, पुरूष न्यायधिश: छालाको प्रकार-५, स्केल
👨🏿‍⚖	छालाको प्रकार-६, छोरामान्छे, न्याय, पुरूष, पुरूष न्यायधिश, पुरूष न्यायधिश: छालाको प्रकार-६, स्केल
👩‍⚖	छोरीमान्छे, न्यायधिश, महिला, महिला न्यायधिश, स्केल
👩🏻‍⚖	छालाको प्रकार-१-२, छोरीमान्छे, न्यायधिश, महिला, महिला न्यायधिश: छालाको प्रकार-१-२, स्केल
👩🏼‍⚖	छालाको प्रकार-३, छोरीमान्छे, न्यायधिश, महिला, महिला न्यायधिश: छालाको प्रकार-३, स्केल
👩🏽‍⚖	छालाको प्रकार-४, छोरीमान्छे, न्यायधिश, महिला, महिला न्यायधिश: छालाको प्रकार-४, स्केल
👩🏾‍⚖	छालाको प्रकार-५, छोरीमान्छे, न्यायधिश, महिला, महिला न्यायधिश: छालाको प्रकार-५, स्केल
👩🏿‍⚖	छालाको प्रकार-६, छोरीमान्छे, न्यायधिश, महिला, महिला न्यायधिश: छालाको प्रकार-६, स्केल
👨‍🌾	कृषक, छोरामान्छे, पुरूष, पुरूष कृषक, माली, र्यान्चर
👨🏻‍🌾	कृषक, छालाको प्रकार-१-२, छोरामान्छे, पुरूष, पुरूष कृषक: छालाको प्रकार-१-२, माली, र्यान्चर
👨🏼‍🌾	कृषक, छालाको प्रकार-३, छोरामान्छे, पुरूष, पुरूष कृषक: छालाको प्रकार-३, माली, र्यान्चर
👨🏽‍🌾	कृषक, छालाको प्रकार-४, छोरामान्छे, पुरूष, पुरूष कृषक: छालाको प्रकार-४, माली, र्यान्चर
👨🏾‍🌾	कृषक, छालाको प्रकार-५, छोरामान्छे, पुरूष, पुरूष कृषक: छालाको प्रकार-५, माली, र्यान्चर
👨🏿‍🌾	कृषक, छालाको प्रकार-६, छोरामान्छे, पुरूष, पुरूष कृषक: छालाको प्रकार-६, माली, र्यान्चर
👩‍🌾	कृषक, छोरीमान्छे, महिला, महिला कृषक, माली, र्यान्चर
👩🏻‍🌾	कृषक, छालाको प्रकार-१-२, छोरीमान्छे, महिला, महिला कृषक: छालाको प्रकार-१-२, माली, र्यान्चर
👩🏼‍🌾	कृषक, छालाको प्रकार-३, छोरीमान्छे, महिला, महिला कृषक: छालाको प्रकार-३, माली, र्यान्चर
👩🏽‍🌾	कृषक, छालाको प्रकार-४, छोरीमान्छे, महिला, महिला कृषक: छालाको प्रकार-४, माली, र्यान्चर
👩🏾‍🌾	कृषक, छालाको प्रकार-५, छोरीमान्छे, महिला, महिला कृषक: छालाको प्रकार-५, माली, र्यान्चर
👩🏿‍🌾	कृषक, छालाको प्रकार-६, छोरीमान्छे, महिला, महिला कृषक: छालाको प्रकार-६, माली, र्यान्चर
👨‍🍳	छोरामान्छे, पुरूष, पुरूष भान्से, भान्से, सेफ
👨🏻‍🍳	छालाको प्रकार-१-२, छोरामान्छे, पुरूष, पुरूष भान्से: छालाको प्रकार-१-२, भान्से, सेफ
👨🏼‍🍳	छालाको प्रकार-३, छोरामान्छे, पुरूष, पुरूष भान्से: छालाको प्रकार-३, भान्से, सेफ
👨🏽‍🍳	छालाको प्रकार-४, छोरामान्छे, पुरूष, पुरूष भान्से: छालाको प्रकार-४, भान्से, सेफ
👨🏾‍🍳	छालाको प्रकार-५, छोरामान्छे, पुरूष, पुरूष भान्से: छालाको प्रकार-५, भान्से, सेफ
👨🏿‍🍳	छालाको प्रकार-६, छोरामान्छे, पुरूष, पुरूष भान्से: छालाको प्रकार-६, भान्से, सेफ
👩‍🍳	छोरीमान्छे, भान्से, महिला, महिला भान्से, सेफ
👩🏻‍🍳	छालाको प्रकार-१-२, छोरीमान्छे, भान्से, महिला, महिला भान्से: छालाको प्रकार-१-२, सेफ
👩🏼‍🍳	छालाको प्रकार-३, छोरीमान्छे, भान्से, महिला, महिला भान्से: छालाको प्रकार-३, सेफ
👩🏽‍🍳	छालाको प्रकार-४, छोरीमान्छे, भान्से, महिला, महिला भान्से: छालाको प्रकार-४, सेफ
👩🏾‍🍳	छालाको प्रकार-५, छोरीमान्छे, भान्से, महिला, महिला भान्से: छालाको प्रकार-५, सेफ
👩🏿‍🍳	छालाको प्रकार-६, छोरीमान्छे, भान्से, महिला, महिला भान्से: छालाको प्रकार-६, सेफ
👨‍🔧	छोरामान्छे, पुरूष, पुरूष मिस्त्री, प्लम्बर, बिजुलीको काम गर्ने व्यक्ति, मिस्त्री, व्यापारी
👨🏻‍🔧	छालाको प्रकार-१-२, छोरामान्छे, पुरूष, पुरूष मिस्त्री: छालाको प्रकार-१-२, प्लम्बर, बिजुलीको काम गर्ने व्यक्ति, मिस्त्री, व्यापारी
👨🏼‍🔧	छालाको प्रकार-३, छोरामान्छे, पुरूष, पुरूष मिस्त्री: छालाको प्रकार-३, प्लम्बर, बिजुलीको काम गर्ने व्यक्ति, मिस्त्री, व्यापारी
👨🏽‍🔧	छालाको प्रकार-४, छोरामान्छे, पुरूष, पुरूष मिस्त्री: छालाको प्रकार-४, प्लम्बर, बिजुलीको काम गर्ने व्यक्ति, मिस्त्री, व्यापारी
👨🏾‍🔧	छालाको प्रकार-५, छोरामान्छे, पुरूष, पुरूष मिस्त्री: छालाको प्रकार-५, प्लम्बर, बिजुलीको काम गर्ने व्यक्ति, मिस्त्री, व्यापारी
👨🏿‍🔧	छालाको प्रकार-६, छोरामान्छे, पुरूष, पुरूष मिस्त्री: छालाको प्रकार-६, प्लम्बर, बिजुलीको काम गर्ने व्यक्ति, मिस्त्री, व्यापारी
👩‍🔧	छोरीमान्छे, प्लम्बर, बिजुुलीको काम गर्ने व्यक्ति, महिला, महिला मिस्त्री, मिस्त्री, व्यापारी
👩🏻‍🔧	छालाको प्रकार-१-२, छोरीमान्छे, प्लम्बर, बिजुुलीको काम गर्ने व्यक्ति, महिला, महिला मिस्त्री: छालाको प्रकार-१-२, मिस्त्री, व्यापारी
👩🏼‍🔧	छालाको प्रकार-३, छोरीमान्छे, प्लम्बर, बिजुुलीको काम गर्ने व्यक्ति, महिला, महिला मिस्त्री: छालाको प्रकार-३, मिस्त्री, व्यापारी
👩🏽‍🔧	छालाको प्रकार-४, छोरीमान्छे, प्लम्बर, बिजुुलीको काम गर्ने व्यक्ति, महिला, महिला मिस्त्री: छालाको प्रकार-४, मिस्त्री, व्यापारी
👩🏾‍🔧	छालाको प्रकार-५, छोरीमान्छे, प्लम्बर, बिजुुलीको काम गर्ने व्यक्ति, महिला, महिला मिस्त्री: छालाको प्रकार-५, मिस्त्री, व्यापारी
👩🏿‍🔧	छालाको प्रकार-६, छोरीमान्छे, प्लम्बर, बिजुुलीको काम गर्ने व्यक्ति, महिला, महिला मिस्त्री: छालाको प्रकार-६, मिस्त्री, व्यापारी
👨‍🏭	औद्योगिक, कारखाना, कारखानाको पुरूष मजदुर, छोरामान्छे, पुरूष, मजदुर, सभा
👨🏻‍🏭	औद्योगिक, कारखाना, कारखानाको पुरूष मजदुर, कारखानाको पुरूष मजदुर: छालाको प्रकार-१-२, छालाको प्रकार-१-२, छोरामान्छे, पुरूष, मजदुर, सभा
👨🏼‍🏭	औद्योगिक, कारखाना, कारखानाको पुरूष मजदुर, कारखानाको पुरूष मजदुर: छालाको प्रकार-३, छालाको प्रकार-३, छोरामान्छे, पुरूष, मजदुर, सभा
👨🏽‍🏭	औद्योगिक, कारखाना, कारखानाको पुरूष मजदुर, कारखानाको पुरूष मजदुर: छालाको प्रकार-४, छालाको प्रकार-४, छोरामान्छे, पुरूष, मजदुर, सभा
👨🏾‍🏭	औद्योगिक, कारखाना, कारखानाको पुरूष मजदुर, कारखानाको पुरूष मजदुर: छालाको प्रकार-५, छालाको प्रकार-५, छोरामान्छे, पुरूष, मजदुर, सभा
👨🏿‍🏭	औद्योगिक, कारखाना, कारखानाको पुरूष मजदुर, कारखानाको पुरूष मजदुर: छालाको प्रकार-६, छालाको प्रकार-६, छोरामान्छे, पुरूष, मजदुर, सभा
👩‍🏭	औद्योगिक, कारखाना, कारखानाको महिला मजदुर, छोरीमान्छे, मजदुर, महिला, सभा
👩🏻‍🏭	औद्योगिक, कारखाना, कारखानाको महिला मजदुर, कारखानाको महिला मजदुर: छालाको प्रकार-१-२, छालाको प्रकार-१-२, छोरीमान्छे, मजदुर, महिला, सभा
👩🏼‍🏭	औद्योगिक, कारखाना, कारखानाको महिला मजदुर, कारखानाको महिला मजदुर: छालाको प्रकार-३, छालाको प्रकार-३, छोरीमान्छे, मजदुर, महिला, सभा
👩🏽‍🏭	औद्योगिक, कारखाना, कारखानाको महिला मजदुर, कारखानाको महिला मजदुर: छालाको प्रकार-४, छालाको प्रकार-४, छोरीमान्छे, मजदुर, महिला, सभा
👩🏾‍🏭	औद्योगिक, कारखाना, कारखानाको महिला मजदुर, कारखानाको महिला मजदुर: छालाको प्रकार-५, छालाको प्रकार-५, छोरीमान्छे, मजदुर, महिला, सभा
👩🏿‍🏭	औद्योगिक, कारखाना, कारखानाको महिला मजदुर, कारखानाको महिला मजदुर: छालाको प्रकार-६, छालाको प्रकार-६, छोरीमान्छे, मजदुर, महिला, सभा
👨‍💼	आर्किटेक्ट, कार्यालयको पुरूषकर्मी, पुरूष, प्रबन्धक, व्यवसाय, सेतो रङ्गको कठालो भएको लुगा
👨🏻‍💼	आर्किटेक्ट, कार्यालयको पुरूषकर्मी, कार्यालयको पुरूषकर्मी: छालाको प्रकार-१-२, छालाको प्रकार-१-२, पुरूष, प्रबन्धक, व्यवसाय, सेतो रङ्गको कठालो भएको लुगा
👨🏼‍💼	आर्किटेक्ट, कार्यालयको पुरूषकर्मी, कार्यालयको पुरूषकर्मी: छालाको प्रकार-३, छालाको प्रकार-३, पुरूष, प्रबन्धक, व्यवसाय, सेतो रङ्गको कठालो भएको लुगा
👨🏽‍💼	आर्किटेक्ट, कार्यालयको पुरूषकर्मी, कार्यालयको पुरूषकर्मी: छालाको प्रकार-४, छालाको प्रकार-४, पुरूष, प्रबन्धक, व्यवसाय, सेतो रङ्गको कठालो भएको लुगा
👨🏾‍💼	आर्किटेक्ट, कार्यालयको पुरूषकर्मी, कार्यालयको पुरूषकर्मी: छालाको प्रकार-५, छालाको प्रकार-५, पुरूष, प्रबन्धक, व्यवसाय, सेतो रङ्गको कठालो भएको लुगा
👨🏿‍💼	आर्किटेक्ट, कार्यालयको पुरूषकर्मी, कार्यालयको पुरूषकर्मी: छालाको प्रकार-६, छालाको प्रकार-६, पुरूष, प्रबन्धक, व्यवसाय, सेतो रङ्गको कठालो भएको लुगा
👩‍💼	आर्किटेक्ट, कार्यालयको महिलाकर्मी, प्रबन्धक, महिला, व्यवसाय, सेतो रङ्गको कठालो भएको लुगा
👩🏻‍💼	आर्किटेक्ट, कार्यालयको महिलाकर्मी, कार्यालयको महिलाकर्मी: छालाको प्रकार-१-२, छालाको प्रकार-१-२, प्रबन्धक, महिला, व्यवसाय, सेतो रङ्गको कठालो भएको लुगा
👩🏼‍💼	आर्किटेक्ट, कार्यालयको महिलाकर्मी, कार्यालयको महिलाकर्मी: छालाको प्रकार-३, छालाको प्रकार-३, प्रबन्धक, महिला, व्यवसाय, सेतो रङ्गको कठालो भएको लुगा
👩🏽‍💼	आर्किटेक्ट, कार्यालयको महिलाकर्मी, कार्यालयको महिलाकर्मी: छालाको प्रकार-४, छालाको प्रकार-४, प्रबन्धक, महिला, व्यवसाय, सेतो रङ्गको कठालो भएको लुगा
👩🏾‍💼	आर्किटेक्ट, कार्यालयको महिलाकर्मी, कार्यालयको महिलाकर्मी: छालाको प्रकार-५, छालाको प्रकार-५, प्रबन्धक, महिला, व्यवसाय, सेतो रङ्गको कठालो भएको लुगा
👩🏿‍💼	आर्किटेक्ट, कार्यालयको महिलाकर्मी, कार्यालयको महिलाकर्मी: छालाको प्रकार-६, छालाको प्रकार-६, प्रबन्धक, महिला, व्यवसाय, सेतो रङ्गको कठालो भएको लुगा
👨‍🔬	इञ्जिनियर, जीव शास्त्री, पुरूष, पुरूष वैज्ञानिक, भौतिक शास्त्री, रसायन शास्त्री, वैज्ञानिक
👨🏻‍🔬	इञ्जिनियर, छालाको प्रकार-१-२, जीव शास्त्री, पुरूष, पुरूष वैज्ञानिक: छालाको प्रकार-१-२, भौतिक शास्त्री, रसायन शास्त्री, वैज्ञानिक
👨🏼‍🔬	इञ्जिनियर, छालाको प्रकार-३, जीव शास्त्री, पुरूष, पुरूष वैज्ञानिक: छालाको प्रकार-३, भौतिक शास्त्री, रसायन शास्त्री, वैज्ञानिक
👨🏽‍🔬	इञ्जिनियर, छालाको प्रकार-४, जीव शास्त्री, पुरूष, पुरूष वैज्ञानिक: छालाको प्रकार-४, भौतिक शास्त्री, रसायन शास्त्री, वैज्ञानिक
👨🏾‍🔬	इञ्जिनियर, छालाको प्रकार-५, जीव शास्त्री, पुरूष, पुरूष वैज्ञानिक: छालाको प्रकार-५, भौतिक शास्त्री, रसायन शास्त्री, वैज्ञानिक
👨🏿‍🔬	इञ्जिनियर, छालाको प्रकार-६, जीव शास्त्री, पुरूष, पुरूष वैज्ञानिक: छालाको प्रकार-६, भौतिक शास्त्री, रसायन शास्त्री, वैज्ञानिक
👩‍🔬	इञ्जिनियर, जीव शास्त्री, भौतिक शास्त्री, महिला, महिला वैज्ञानिक, रसायन शास्त्री, वैज्ञानिक
👩🏻‍🔬	इञ्जिनियर, छालाको प्रकार-१-२, जीव शास्त्री, भौतिक शास्त्री, महिला, महिला वैज्ञानिक: छालाको प्रकार-१-२, रसायन शास्त्री, वैज्ञानिक
👩🏼‍🔬	इञ्जिनियर, छालाको प्रकार-३, जीव शास्त्री, भौतिक शास्त्री, महिला, महिला वैज्ञानिक: छालाको प्रकार-३, रसायन शास्त्री, वैज्ञानिक
👩🏽‍🔬	इञ्जिनियर, छालाको प्रकार-४, जीव शास्त्री, भौतिक शास्त्री, महिला, महिला वैज्ञानिक: छालाको प्रकार-४, रसायन शास्त्री, वैज्ञानिक
👩🏾‍🔬	इञ्जिनियर, छालाको प्रकार-५, जीव शास्त्री, भौतिक शास्त्री, महिला, महिला वैज्ञानिक: छालाको प्रकार-५, रसायन शास्त्री, वैज्ञानिक
👩🏿‍🔬	इञ्जिनियर, छालाको प्रकार-६, जीव शास्त्री, भौतिक शास्त्री, महिला, महिला वैज्ञानिक: छालाको प्रकार-६, रसायन शास्त्री, वैज्ञानिक
👨‍💻	आविष्कारक, कोडर, छोरामान्छे, टेक्नोलोजिस्ट, पुरूष, पुरूष टेक्नोलोजिस्ट, विकासकर्ता, सफ्टवेयर
👨🏻‍💻	आविष्कारक, कोडर, छालाको प्रकार-१-२, छोरामान्छे, टेक्नोलोजिस्ट, पुरूष, पुरूष टेक्नोलोजिस्ट: छालाको प्रकार-१-२, विकासकर्ता, सफ्टवेयर
👨🏼‍💻	आविष्कारक, कोडर, छालाको प्रकार-३, छोरामान्छे, टेक्नोलोजिस्ट, पुरूष, पुरूष टेक्नोलोजिस्ट: छालाको प्रकार-३, विकासकर्ता, सफ्टवेयर
👨🏽‍💻	आविष्कारक, कोडर, छालाको प्रकार-४, छोरामान्छे, टेक्नोलोजिस्ट, पुरूष, पुरूष टेक्नोलोजिस्ट: छालाको प्रकार-४, विकासकर्ता, सफ्टवेयर
👨🏾‍💻	आविष्कारक, कोडर, छालाको प्रकार-५, छोरामान्छे, टेक्नोलोजिस्ट, पुरूष, पुरूष टेक्नोलोजिस्ट: छालाको प्रकार-५, विकासकर्ता, सफ्टवेयर
👨🏿‍💻	आविष्कारक, कोडर, छालाको प्रकार-६, छोरामान्छे, टेक्नोलोजिस्ट, पुरूष, पुरूष टेक्नोलोजिस्ट: छालाको प्रकार-६, विकासकर्ता, सफ्टवेयर
👩‍💻	आविष्कारक, कोडर, छोरीमान्छे, टेक्नोलोजिस्ट, महिला, महिला टेक्नोलोजिस्ट, विकासकर्ता, सफ्टवेयर
👩🏻‍💻	आविष्कारक, कोडर, छालाको प्रकार-१-२, छोरीमान्छे, टेक्नोलोजिस्ट, महिला, महिला टेक्नोलोजिस्ट: छालाको प्रकार-१-२, विकासकर्ता, सफ्टवेयर
👩🏼‍💻	आविष्कारक, कोडर, छालाको प्रकार-३, छोरीमान्छे, टेक्नोलोजिस्ट, महिला, महिला टेक्नोलोजिस्ट: छालाको प्रकार-३, विकासकर्ता, सफ्टवेयर
👩🏽‍💻	आविष्कारक, कोडर, छालाको प्रकार-४, छोरीमान्छे, टेक्नोलोजिस्ट, महिला, महिला टेक्नोलोजिस्ट: छालाको प्रकार-४, विकासकर्ता, सफ्टवेयर
👩🏾‍💻	आविष्कारक, कोडर, छालाको प्रकार-५, छोरीमान्छे, टेक्नोलोजिस्ट, महिला, महिला टेक्नोलोजिस्ट: छालाको प्रकार-५, विकासकर्ता, सफ्टवेयर
👩🏿‍💻	आविष्कारक, कोडर, छालाको प्रकार-६, छोरीमान्छे, टेक्नोलोजिस्ट, महिला, महिला टेक्नोलोजिस्ट: छालाको प्रकार-६, विकासकर्ता, सफ्टवेयर
👨‍🎤	कलाकार, गायक, छोरामान्छे, तारा, पुरूष, पुरूष गायक, मनोरञ्जक, रक
👨🏻‍🎤	कलाकार, गायक, छालाको प्रकार-१-२, छोरामान्छे, तारा, पुरूष, पुरूष गायक: छालाको प्रकार-१-२, मनोरञ्जक, रक
👨🏼‍🎤	कलाकार, गायक, छालाको प्रकार-३, छोरामान्छे, तारा, पुरूष, पुरूष गायक: छालाको प्रकार-३, मनोरञ्जक, रक
👨🏽‍🎤	कलाकार, गायक, छालाको प्रकार-४, छोरामान्छे, तारा, पुरूष, पुरूष गायक: छालाको प्रकार-४, मनोरञ्जक, रक
👨🏾‍🎤	कलाकार, गायक, छालाको प्रकार-५, छोरामान्छे, तारा, पुरूष, पुरूष गायक: छालाको प्रकार-५, मनोरञ्जक, रक
👨🏿‍🎤	कलाकार, गायक, छालाको प्रकार-६, छोरामान्छे, तारा, पुरूष, पुरूष गायक: छालाको प्रकार-६, मनोरञ्जक, रक
👩‍🎤	कलाकार, गायक, तारा, मनोरञ्जक, महिला, महिला गायिका, रक
👩🏻‍🎤	कलाकार, गायक, छालाको प्रकार-१-२, तारा, मनोरञ्जक, महिला, महिला गायिका, महिला गायिका: छालाको प्रकार-१-२, रक
👩🏼‍🎤	कलाकार, गायक, छालाको प्रकार-३, तारा, मनोरञ्जक, महिला, महिला गायिका, महिला गायिका: छालाको प्रकार-३, रक
👩🏽‍🎤	कलाकार, गायक, छालाको प्रकार-४, तारा, मनोरञ्जक, महिला, महिला गायिका, महिला गायिका: छालाको प्रकार-४, रक
👩🏾‍🎤	कलाकार, गायक, छालाको प्रकार-५, तारा, मनोरञ्जक, महिला, महिला गायिका, महिला गायिका: छालाको प्रकार-५, रक
👩🏿‍🎤	कलाकार, गायक, छालाको प्रकार-६, तारा, मनोरञ्जक, महिला, महिला गायिका, महिला गायिका: छालाको प्रकार-६, रक
👨‍🎨	कलाकार, छोरामान्छे, पुरूष, पुरूष कलाकार, प्यालेट
👨🏻‍🎨	कलाकार, छालाको प्रकार-१-२, छोरामान्छे, पुरूष, पुरूष कलाकार: छालाको प्रकार-१-२, प्यालेट
👨🏼‍🎨	कलाकार, छालाको प्रकार-३, छोरामान्छे, पुरूष, पुरूष कलाकार: छालाको प्रकार-३, प्यालेट
👨🏽‍🎨	कलाकार, छालाको प्रकार-४, छोरामान्छे, पुरूष, पुरूष कलाकार: छालाको प्रकार-४, प्यालेट
👨🏾‍🎨	कलाकार, छालाको प्रकार-५, छोरामान्छे, पुरूष, पुरूष कलाकार: छालाको प्रकार-५, प्यालेट
👨🏿‍🎨	कलाकार, छालाको प्रकार-६, छोरामान्छे, पुरूष, पुरूष कलाकार: छालाको प्रकार-६, प्यालेट
👩‍🎨	कलाकार, छोरीमान्छे, प्यालेट, महिला, महिला कलाकार
👩🏻‍🎨	कलाकार, छालाको प्रकार-१-२, छोरीमान्छे, प्यालेट, महिला, महिला कलाकार: छालाको प्रकार-१-२
👩🏼‍🎨	कलाकार, छालाको प्रकार-३, छोरीमान्छे, प्यालेट, महिला, महिला कलाकार: छालाको प्रकार-३
👩🏽‍🎨	कलाकार, छालाको प्रकार-४, छोरीमान्छे, प्यालेट, महिला, महिला कलाकार: छालाको प्रकार-४
