😀	guyu, rai, rai ngguyu
😿	kucing, kucing nangis, luh, nangis, rai, susah
😾	kucing, kucing mbesengut, mbesengut, rai
🙈	aja ndelengake sing ala, ala, larangan, munyuk, munyuk aja ndelengake sing ala, rai, weruh
🙉	aja ngrungokake sing ala, ala, krungu, larangan, munyuk, munyuk aja ngrungokake sing ala, rai
🙊	aja omong sing ala, ala, larangan, munyuk, munyuk aja omong sing ala, omong, rai
💋	ambung, lambe, tandha ambung
💌	ati, katresnan, layang, layang katresnan, surat
💘	ati katuncep panah, kupid, panah
💝	ati ditaleni pita, pita, valentin
💖	ati kinclong-kinclong, bungah, kinclong-kinclong
💗	ati nggembung, bungah, ewuh, mak ser, nggembung
💓	ati dheg-dhegan, dheg-dhegan, dheging ati, ser-seran
💞	ati mubeng-mubeng, mubeng
💕	ati loro, katresnan
💟	ati, dhekorasi ati
❣️	mbangetake, tandha, tandha penthung wujude ati, tandha wacan
💔	kelaran, lara, lara ati
❤️	ati, ati abang
🧡	ati kunir, kunir
💛	ati kuning, kuning
💚	ati ijo, ijo
💙	ati biru, biru
💜	ati wungu, wungu
🤎	ati, ati soklat, soklat
🖤	ala, ati ireng, culika, ireng
🤍	ati, ati putih, putih
💯	100, biji satus, kebak, satus, sekor
💢	komik, muring, nesu, simbol nesu
💥	komik, mak brak, tabrakan
💫	komik, lintang, ngelu
💦	komik, kringet, nyiprat, tesing kringet
💨	geblas, komik, mlayu, nggeblas
🕳️	bolongan
💣️	bom, komik
💬	balon, balon omongan, dhiyalog, komik, omongan, plendhungan
👁‍🗨	balon omongan, mata, mata ing njero balon omongan, seksi
🗨️	balon omongan sisih kiwa, dhiyalog, omongan
🗯️	balon, balon nesu sisih tengen, muring, nesu, plendhungan
💭	balon, balon pikiran, komik, pikiran, plendhungan
💤	komik, turu, zzzz
👋	awe-awe, tangan, tangan ngawe-awe
👋🏻	awe-awe, kulit putih, tangan, tangan ngawe-awe, tangan ngawe-awe: kulit putih
👋🏼	awe-awe, kulit putih langsep, tangan, tangan ngawe-awe, tangan ngawe-awe: kulit putih langsep
👋🏽	awe-awe, kulit kuning, tangan, tangan ngawe-awe, tangan ngawe-awe: kulit kuning
👋🏾	awe-awe, kulit sawo mateng, tangan, tangan ngawe-awe, tangan ngawe-awe: kulit sawo mateng
👋🏿	awe-awe, kulit ireng, tangan, tangan ngawe-awe, tangan ngawe-awe: kulit ireng
🤚	diangkat, geger tangan, tangan diangkat nuduhake gegere bae
🤚🏻	diangkat, geger tangan, kulit putih, tangan diangkat nuduhake gegere bae, tangan diangkat nuduhake gegere bae: kulit putih
🤚🏼	diangkat, geger tangan, kulit putih langsep, tangan diangkat nuduhake gegere bae, tangan diangkat nuduhake gegere bae: kulit putih langsep
🤚🏽	diangkat, geger tangan, kulit kuning, tangan diangkat nuduhake gegere bae, tangan diangkat nuduhake gegere bae: kulit kuning
🤚🏾	diangkat, geger tangan, kulit sawo mateng, tangan diangkat nuduhake gegere bae, tangan diangkat nuduhake gegere bae: kulit sawo mateng
🤚🏿	diangkat, geger tangan, kulit ireng, tangan diangkat nuduhake gegere bae, tangan diangkat nuduhake gegere bae: kulit ireng
🖐️	driji, megar, tangan, tangan sing driji-drijine megar
🖐🏻	driji, kulit putih, megar, tangan, tangan sing driji-drijine megar, tangan sing driji-drijine megar: kulit putih
🖐🏼	driji, kulit putih langsep, megar, tangan, tangan sing driji-drijine megar, tangan sing driji-drijine megar: kulit putih langsep
🖐🏽	driji, kulit kuning, megar, tangan, tangan sing driji-drijine megar, tangan sing driji-drijine megar: kulit kuning
🖐🏾	driji, kulit sawo mateng, megar, tangan, tangan sing driji-drijine megar, tangan sing driji-drijine megar: kulit sawo mateng
🖐🏿	driji, kulit ireng, megar, tangan, tangan sing driji-drijine megar, tangan sing driji-drijine megar: kulit ireng
✋	angkat, tangan, tangan diangkat
✋🏻	angkat, kulit putih, tangan, tangan diangkat, tangan diangkat: kulit putih
✋🏼	angkat, kulit putih langsep, tangan, tangan diangkat, tangan diangkat: kulit putih langsep
✋🏽	angkat, kulit kuning, tangan, tangan diangkat, tangan diangkat: kulit kuning
✋🏾	angkat, kulit sawo mateng, tangan, tangan diangkat, tangan diangkat: kulit sawo mateng
✋🏿	angkat, kulit ireng, tangan, tangan diangkat, tangan diangkat: kulit ireng
🖖	driji, ngurmat cara bangsa vulcan, spock, tangan, vulcan
🖖🏻	driji, kulit putih, ngurmat cara bangsa vulcan, ngurmat cara bangsa vulcan: kulit putih, spock, tangan, vulcan
🖖🏼	driji, kulit putih langsep, ngurmat cara bangsa vulcan, ngurmat cara bangsa vulcan: kulit putih langsep, spock, tangan, vulcan
🖖🏽	driji, kulit kuning, ngurmat cara bangsa vulcan, ngurmat cara bangsa vulcan: kulit kuning, spock, tangan, vulcan
🖖🏾	driji, kulit sawo mateng, ngurmat cara bangsa vulcan, ngurmat cara bangsa vulcan: kulit sawo mateng, spock, tangan, vulcan
🖖🏿	driji, kulit ireng, ngurmat cara bangsa vulcan, ngurmat cara bangsa vulcan: kulit ireng, spock, tangan, vulcan
👌	OK, tangan, tangan nuduhake tandha OK
👌🏻	OK, kulit putih, tangan, tangan nuduhake tandha OK, tangan nuduhake tandha OK: kulit putih
👌🏼	OK, kulit putih langsep, tangan, tangan nuduhake tandha OK, tangan nuduhake tandha OK: kulit putih langsep
👌🏽	OK, kulit kuning, tangan, tangan nuduhake tandha OK, tangan nuduhake tandha OK: kulit kuning
👌🏾	OK, kulit sawo mateng, tangan, tangan nuduhake tandha OK, tangan nuduhake tandha OK: kulit sawo mateng
👌🏿	OK, kulit ireng, tangan, tangan nuduhake tandha OK, tangan nuduhake tandha OK: kulit ireng
🤏	sethithik bae, tangan njiwit
🤏🏻	kulit putih, sethithik bae, tangan njiwit, tangan njiwit: kulit putih
🤏🏼	kulit putih langsep, sethithik bae, tangan njiwit, tangan njiwit: kulit putih langsep
🤏🏽	kulit kuning, sethithik bae, tangan njiwit, tangan njiwit: kulit kuning
🤏🏾	kulit sawo mateng, sethithik bae, tangan njiwit, tangan njiwit: kulit sawo mateng
🤏🏿	kulit ireng, sethithik bae, tangan njiwit, tangan njiwit: kulit ireng
✌️	kamenangan, tangan, tangan nuduhake tandha kamenangan, v
✌🏻	kamenangan, kulit putih, tangan, tangan nuduhake tandha kamenangan, tangan nuduhake tandha kamenangan: kulit putih, v
✌🏼	kamenangan, kulit putih langsep, tangan, tangan nuduhake tandha kamenangan, tangan nuduhake tandha kamenangan: kulit putih langsep, v
✌🏽	kamenangan, kulit kuning, tangan, tangan nuduhake tandha kamenangan, tangan nuduhake tandha kamenangan: kulit kuning, v
✌🏾	kamenangan, kulit sawo mateng, tangan, tangan nuduhake tandha kamenangan, tangan nuduhake tandha kamenangan: kulit sawo mateng, v
✌🏿	kamenangan, kulit ireng, tangan, tangan nuduhake tandha kamenangan, tangan nuduhake tandha kamenangan: kulit ireng, v
🤞	driji, driji loro tetalenan, kabegjan, tangan, tetalen
🤞🏻	driji, driji loro tetalenan, driji loro tetalenan: kulit putih, kabegjan, kulit putih, tangan, tetalen
