😀	muka, muka tersengih, sengih
🙈	kejahatan, lihat, monyet, monyet tak mahu terlibat, monyet tutup mata, muka, terlarang
🙉	jahat, monyet, monyet tak mahu dengar kejahatan, monyet tutup telinga, muka
🙊	jahat, monyet, monyet tutup mulut, muka, terlarang, tidak bercakap yang jahat
💋	bibir, cium, tanda ciuman
💌	cinta, hati, mel, percintaan, surat, surat cinta
💘	anak panah, dewa asmara, hati, hati ditembusi anak panah, percintaan
💝	hati, hati dengan reben, reben, valentine
💖	berkilau, hati, hati berkilauan, teruja
💗	denyutan jantung, gementar, hati, hati membesar, membesar, teruja
💓	berdegup, degupan jantung, denyut, hati, jantung berdegup
💞	berputar, hati, hati berputar
💕	cinta, dua hati, hati
💟	hati, hiasan hati
❣️	tanda, tanda baca, tanda seru, tanda seru hati
💔	hati, patah hati, retak
❤️	hati, hati merah
🧡	hati jingga, jingga
💛	hati, hati kuning, kuning
💚	hati, hati hijau, hijau
💙	biru, hati, hati biru
💜	hati, hati ungu, ungu
🤎	hati, hati perang, perang
🖤	hati, hati hitam, hitam, jahat
🤍	hati, hati putih, putih
💯	100, penuh, seratus, seratus mata, skor
💢	berang, komik, marah, simbol marah
💥	komik, ledakan, pelanggaran
💫	bintang, komik, pening
💦	komik, peluh, percikan, titis peluh
💨	berlari, komik, meluru
🕳️	lubang
💣️	bom, komik
💬	belon, dialog, gelembung, gelembung pertuturan, komik, ucapan
👁‍🗨	gelembung pertuturan, mata, mata dalam gelembung pertuturan, saksi
🗨️	dialog, gelembung pertuturan kiri, ucapan
🗯️	belon, berang, gelembung, gelembung marah kanan, marah
💭	belon, fikir, gelembung, gelembung fikir, komik
💤	komik, tidur, zzz
👋	badan, lambai, lambai tangan, melambai, tangan
👋🏻	badan, lambai, lambai tangan: ton kulit cerah, melambai, tangan, ton kulit cerah
👋🏼	badan, lambai, lambai tangan: ton kulit sederhana cerah, melambai, tangan, ton kulit sederhana cerah
👋🏽	badan, lambai, lambai tangan: ton kulit sederhana, melambai, tangan, ton kulit sederhana
👋🏾	badan, lambai, lambai tangan: ton kulit sederhana gelap, melambai, tangan, ton kulit sederhana gelap
👋🏿	badan, lambai, lambai tangan: ton kulit gelap, melambai, tangan, ton kulit gelap
🤚	angkat, angkat belakang tapak tangan, tapak tangan
🤚🏻	angkat, angkat belakang tapak tangan, angkat belakang tapak tangan: ton kulit cerah, tapak tangan, ton kulit cerah
🤚🏼	angkat, angkat belakang tapak tangan, angkat belakang tapak tangan: ton kulit sederhana cerah, tapak tangan, ton kulit sederhana cerah
🤚🏽	angkat, angkat belakang tapak tangan, angkat belakang tapak tangan: ton kulit sederhana, tapak tangan, ton kulit sederhana
🤚🏾	angkat, angkat belakang tapak tangan, angkat belakang tapak tangan: ton kulit sederhana gelap, tapak tangan, ton kulit sederhana gelap
🤚🏿	angkat, angkat belakang tapak tangan, angkat belakang tapak tangan: ton kulit gelap, tapak tangan, ton kulit gelap
🖐️	badan, jari, renggang, tangan, tangan dengan jari terkepak
🖐🏻	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit cerah, ton kulit cerah
🖐🏼	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit sederhana cerah, ton kulit sederhana cerah
🖐🏽	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit sederhana, ton kulit sederhana
🖐🏾	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit sederhana gelap, ton kulit sederhana gelap
🖐🏿	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit gelap, ton kulit gelap
✋	angkat tangan, badan, tangan
✋🏻	angkat tangan, angkat tangan: ton kulit cerah, badan, tangan, ton kulit cerah
✋🏼	angkat tangan, angkat tangan: ton kulit sederhana cerah, badan, tangan, ton kulit sederhana cerah
✋🏽	angkat tangan, angkat tangan: ton kulit sederhana, badan, tangan, ton kulit sederhana
✋🏾	angkat tangan, angkat tangan: ton kulit sederhana gelap, badan, tangan, ton kulit sederhana gelap
✋🏿	angkat tangan, angkat tangan: ton kulit gelap, badan, tangan, ton kulit gelap
🖖	badan, jari, spock, tabik vulcan, tangan, valkan
🖖🏻	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit cerah, tangan, ton kulit cerah, valkan
🖖🏼	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah, valkan
🖖🏽	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit sederhana, tangan, ton kulit sederhana, valkan
🖖🏾	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap, valkan
🖖🏿	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit gelap, tangan, ton kulit gelap, valkan
👌	okey, simbol OK, tangan
👌🏻	okey, simbol OK, simbol OK: ton kulit cerah, tangan, ton kulit cerah
👌🏼	okey, simbol OK, simbol OK: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
👌🏽	okey, simbol OK, simbol OK: ton kulit sederhana, tangan, ton kulit sederhana
👌🏾	okey, simbol OK, simbol OK: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
👌🏿	okey, simbol OK, simbol OK: ton kulit gelap, tangan, ton kulit gelap
🤏	sedikit, tangan mencubit
🤏🏻	sedikit, tangan mencubit, tangan mencubit: ton kulit cerah, ton kulit cerah
🤏🏼	sedikit, tangan mencubit, tangan mencubit: ton kulit sederhana cerah, ton kulit sederhana cerah
🤏🏽	sedikit, tangan mencubit, tangan mencubit: ton kulit sederhana, ton kulit sederhana
🤏🏾	sedikit, tangan mencubit, tangan mencubit: ton kulit sederhana gelap, ton kulit sederhana gelap
🤏🏿	sedikit, tangan mencubit, tangan mencubit: ton kulit gelap, ton kulit gelap
✌️	badan, kemenangan, simbol kemenangan, tangan, v
✌🏻	badan, kemenangan, simbol kemenangan, simbol kemenangan: ton kulit cerah, tangan, ton kulit cerah, v
✌🏼	badan, kemenangan, simbol kemenangan, simbol kemenangan: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah, v
✌🏽	badan, kemenangan, simbol kemenangan, simbol kemenangan: ton kulit sederhana, tangan, ton kulit sederhana, v
✌🏾	badan, kemenangan, simbol kemenangan, simbol kemenangan: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap, v
✌🏿	badan, kemenangan, simbol kemenangan, simbol kemenangan: ton kulit gelap, tangan, ton kulit gelap, v
🤞	jari, nasib, silang, silang jari, tangan
🤞🏻	jari, nasib, silang, silang jari: ton kulit cerah, tangan, ton kulit cerah
🤞🏼	jari, nasib, silang, silang jari: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
🤞🏽	jari, nasib, silang, silang jari: ton kulit sederhana, tangan, ton kulit sederhana
🤞🏾	jari, nasib, silang, silang jari: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
🤞🏿	jari, nasib, silang, silang jari: ton kulit gelap, tangan, ton kulit gelap
🤟	ACK, gerak isyarat cinta kamu, tangan
🤟🏻	ACK, gerak isyarat cinta kamu, gerak isyarat cinta kamu: ton kulit cerah, tangan, ton kulit cerah
🤟🏼	ACK, gerak isyarat cinta kamu, gerak isyarat cinta kamu: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
🤟🏽	ACK, gerak isyarat cinta kamu, gerak isyarat cinta kamu: ton kulit sederhana, tangan, ton kulit sederhana
🤟🏾	ACK, gerak isyarat cinta kamu, gerak isyarat cinta kamu: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
🤟🏿	ACK, gerak isyarat cinta kamu, gerak isyarat cinta kamu: ton kulit gelap, tangan, ton kulit gelap
🤘	badan, jari, rock, simbol tanduk, tanduk, tangan
🤘🏻	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit cerah, tanduk, tangan, ton kulit cerah
🤘🏼	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit sederhana cerah, tanduk, tangan, ton kulit sederhana cerah
🤘🏽	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit sederhana, tanduk, tangan, ton kulit sederhana
🤘🏾	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit sederhana gelap, tanduk, tangan, ton kulit sederhana gelap
🤘🏿	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit gelap, tanduk, tangan, ton kulit gelap
🤙	tangan, telefon, telefon saya
🤙🏻	tangan, telefon, telefon saya, telefon saya: ton kulit cerah, ton kulit cerah
🤙🏼	tangan, telefon, telefon saya, telefon saya: ton kulit sederhana cerah, ton kulit sederhana cerah
🤙🏽	tangan, telefon, telefon saya, telefon saya: ton kulit sederhana, ton kulit sederhana
🤙🏾	tangan, telefon, telefon saya, telefon saya: ton kulit sederhana gelap, ton kulit sederhana gelap
🤙🏿	tangan, telefon, telefon saya, telefon saya: ton kulit gelap, ton kulit gelap
👈️	jari telunjuk tunjuk kiri
👈🏻	jari telunjuk tunjuk kiri, jari telunjuk tunjuk kiri: ton kulit cerah, ton kulit cerah
👈🏼	jari telunjuk tunjuk kiri, jari telunjuk tunjuk kiri: ton kulit sederhana cerah, ton kulit sederhana cerah
👈🏽	jari telunjuk tunjuk kiri, jari telunjuk tunjuk kiri: ton kulit sederhana, ton kulit sederhana
👈🏾	jari telunjuk tunjuk kiri, jari telunjuk tunjuk kiri: ton kulit sederhana gelap, ton kulit sederhana gelap
👈🏿	jari telunjuk tunjuk kiri, jari telunjuk tunjuk kiri: ton kulit gelap, ton kulit gelap
👉️	belakang tangan, jari telunjuk tunjuk kanan, tunjuk
👉🏻	belakang tangan, jari telunjuk tunjuk kanan, jari telunjuk tunjuk kanan: ton kulit cerah, ton kulit cerah, tunjuk
👉🏼	belakang tangan, jari telunjuk tunjuk kanan, jari telunjuk tunjuk kanan: ton kulit sederhana cerah, ton kulit sederhana cerah, tunjuk
👉🏽	belakang tangan, jari telunjuk tunjuk kanan, jari telunjuk tunjuk kanan: ton kulit sederhana, ton kulit sederhana, tunjuk
👉🏾	belakang tangan, jari telunjuk tunjuk kanan, jari telunjuk tunjuk kanan: ton kulit sederhana gelap, ton kulit sederhana gelap, tunjuk
👉🏿	belakang tangan, jari telunjuk tunjuk kanan, jari telunjuk tunjuk kanan: ton kulit gelap, ton kulit gelap, tunjuk
👆️	atas, badan, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke atas, jari telunjuk tunjuk hala ke atas, tangan, telunjuk, tunjuk
👆🏻	atas, badan, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke atas, jari telunjuk tunjuk hala ke atas, jari telunjuk tunjuk hala ke atas: ton kulit cerah, tangan, telunjuk, ton kulit cerah, tunjuk
👆🏼	atas, badan, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke atas, jari telunjuk tunjuk hala ke atas, jari telunjuk tunjuk hala ke atas: ton kulit sederhana cerah, tangan, telunjuk, ton kulit sederhana cerah, tunjuk
👆🏽	atas, badan, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke atas, jari telunjuk tunjuk hala ke atas, jari telunjuk tunjuk hala ke atas: ton kulit sederhana, tangan, telunjuk, ton kulit sederhana, tunjuk
👆🏾	atas, badan, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke atas, jari telunjuk tunjuk hala ke atas, jari telunjuk tunjuk hala ke atas: ton kulit sederhana gelap, tangan, telunjuk, ton kulit sederhana gelap, tunjuk
👆🏿	atas, badan, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke atas, jari telunjuk tunjuk hala ke atas, jari telunjuk tunjuk hala ke atas: ton kulit gelap, tangan, telunjuk, ton kulit gelap, tunjuk
🖕	badan, jari, jari hantu, tangan
🖕🏻	badan, jari, jari hantu, jari hantu: ton kulit cerah, tangan, ton kulit cerah
🖕🏼	badan, jari, jari hantu, jari hantu: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
🖕🏽	badan, jari, jari hantu, jari hantu: ton kulit sederhana, tangan, ton kulit sederhana
🖕🏾	badan, jari, jari hantu, jari hantu: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
🖕🏿	badan, jari, jari hantu, jari hantu: ton kulit gelap, tangan, ton kulit gelap
👇️	badan, bawah, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke bawah, tangan, telunjuk, tunjuk
👇🏻	badan, bawah, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke bawah, jari telunjuk belakang tangan menunjuk ke bawah: ton kulit cerah, tangan, telunjuk, ton kulit cerah, tunjuk
👇🏼	badan, bawah, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke bawah, jari telunjuk belakang tangan menunjuk ke bawah: ton kulit sederhana cerah, tangan, telunjuk, ton kulit sederhana cerah, tunjuk
👇🏽	badan, bawah, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke bawah, jari telunjuk belakang tangan menunjuk ke bawah: ton kulit sederhana, tangan, telunjuk, ton kulit sederhana, tunjuk
👇🏾	badan, bawah, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke bawah, jari telunjuk belakang tangan menunjuk ke bawah: ton kulit sederhana gelap, tangan, telunjuk, ton kulit sederhana gelap, tunjuk
👇🏿	badan, bawah, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke bawah, jari telunjuk belakang tangan menunjuk ke bawah: ton kulit gelap, tangan, telunjuk, ton kulit gelap, tunjuk
☝️	hala ke atas, jari, jari telunjuk menunjuk ke atas, tangan, telunjuk
☝🏻	hala ke atas, jari, jari telunjuk menunjuk ke atas, jari telunjuk menunjuk ke atas: ton kulit cerah, tangan, telunjuk, ton kulit cerah
☝🏼	hala ke atas, jari, jari telunjuk menunjuk ke atas, jari telunjuk menunjuk ke atas: ton kulit sederhana cerah, tangan, telunjuk, ton kulit sederhana cerah
☝🏽	hala ke atas, jari, jari telunjuk menunjuk ke atas, jari telunjuk menunjuk ke atas: ton kulit sederhana, tangan, telunjuk, ton kulit sederhana
☝🏾	hala ke atas, jari, jari telunjuk menunjuk ke atas, jari telunjuk menunjuk ke atas: ton kulit sederhana gelap, tangan, telunjuk, ton kulit sederhana gelap
☝🏿	hala ke atas, jari, jari telunjuk menunjuk ke atas, jari telunjuk menunjuk ke atas: ton kulit gelap, tangan, telunjuk, ton kulit gelap
👍️	+1, atas, badan, ibu jari, simbol bagus, tangan
👍🏻	+1, atas, badan, ibu jari, simbol bagus, simbol bagus: ton kulit cerah, tangan, ton kulit cerah
👍🏼	+1, atas, badan, ibu jari, simbol bagus, simbol bagus: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
👍🏽	+1, atas, badan, ibu jari, simbol bagus, simbol bagus: ton kulit sederhana, tangan, ton kulit sederhana
👍🏾	+1, atas, badan, ibu jari, simbol bagus, simbol bagus: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
👍🏿	+1, atas, badan, ibu jari, simbol bagus, simbol bagus: ton kulit gelap, tangan, ton kulit gelap
👎️	-1, badan, bawah, ibu jari, simbol tidak bagus, tangan
👎🏻	-1, badan, bawah, ibu jari, simbol tidak bagus, simbol tidak bagus: ton kulit cerah, tangan, ton kulit cerah
👎🏼	-1, badan, bawah, ibu jari, simbol tidak bagus, simbol tidak bagus: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
👎🏽	-1, badan, bawah, ibu jari, simbol tidak bagus, simbol tidak bagus: ton kulit sederhana, tangan, ton kulit sederhana
👎🏾	-1, badan, bawah, ibu jari, simbol tidak bagus, simbol tidak bagus: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
👎🏿	-1, badan, bawah, ibu jari, simbol tidak bagus, simbol tidak bagus: ton kulit gelap, tangan, ton kulit gelap
✊	angkat penumbuk, badan, penumbuk, tangan, tergenggam, tumbuk
✊🏻	angkat penumbuk, angkat penumbuk: ton kulit cerah, badan, penumbuk, tangan, tergenggam, ton kulit cerah, tumbuk
✊🏼	angkat penumbuk, angkat penumbuk: ton kulit sederhana cerah, badan, penumbuk, tangan, tergenggam, ton kulit sederhana cerah, tumbuk
✊🏽	angkat penumbuk, angkat penumbuk: ton kulit sederhana, badan, penumbuk, tangan, tergenggam, ton kulit sederhana, tumbuk
✊🏾	angkat penumbuk, angkat penumbuk: ton kulit sederhana gelap, badan, penumbuk, tangan, tergenggam, ton kulit sederhana gelap, tumbuk
✊🏿	angkat penumbuk, angkat penumbuk: ton kulit gelap, badan, penumbuk, tangan, tergenggam, ton kulit gelap, tumbuk
👊	badan, penumbuk, penumbuk dari depan, tangan, tergenggam, tumbuk
👊🏻	badan, penumbuk, penumbuk dari depan, penumbuk dari depan: ton kulit cerah, tangan, tergenggam, ton kulit cerah, tumbuk
👊🏼	badan, penumbuk, penumbuk dari depan, penumbuk dari depan: ton kulit sederhana cerah, tangan, tergenggam, ton kulit sederhana cerah, tumbuk
👊🏽	badan, penumbuk, penumbuk dari depan, penumbuk dari depan: ton kulit sederhana, tangan, tergenggam, ton kulit sederhana, tumbuk
👊🏾	badan, penumbuk, penumbuk dari depan, penumbuk dari depan: ton kulit sederhana gelap, tangan, tergenggam, ton kulit sederhana gelap, tumbuk
👊🏿	badan, penumbuk, penumbuk dari depan, penumbuk dari depan: ton kulit gelap, tangan, tergenggam, ton kulit gelap, tumbuk
🤛	ke kiri, penumbuk, penumbuk ke kiri
🤛🏻	ke kiri, penumbuk, penumbuk ke kiri, penumbuk ke kiri: ton kulit cerah, ton kulit cerah
🤛🏼	ke kiri, penumbuk, penumbuk ke kiri, penumbuk ke kiri: ton kulit sederhana cerah, ton kulit sederhana cerah
🤛🏽	ke kiri, penumbuk, penumbuk ke kiri, penumbuk ke kiri: ton kulit sederhana, ton kulit sederhana
🤛🏾	ke kiri, penumbuk, penumbuk ke kiri, penumbuk ke kiri: ton kulit sederhana gelap, ton kulit sederhana gelap
🤛🏿	ke kiri, penumbuk, penumbuk ke kiri, penumbuk ke kiri: ton kulit gelap, ton kulit gelap
🤜	ke kanan, penumbuk, penumbuk ke kanan
🤜🏻	ke kanan, penumbuk, penumbuk ke kanan, penumbuk ke kanan: ton kulit cerah, ton kulit cerah
🤜🏼	ke kanan, penumbuk, penumbuk ke kanan, penumbuk ke kanan: ton kulit sederhana cerah, ton kulit sederhana cerah
🤜🏽	ke kanan, penumbuk, penumbuk ke kanan, penumbuk ke kanan: ton kulit sederhana, ton kulit sederhana
🤜🏾	ke kanan, penumbuk, penumbuk ke kanan, penumbuk ke kanan: ton kulit sederhana gelap, ton kulit sederhana gelap
🤜🏿	ke kanan, penumbuk, penumbuk ke kanan, penumbuk ke kanan: ton kulit gelap, ton kulit gelap
👏	badan, bertepuk tangan, tangan, tepuk
👏🏻	badan, bertepuk tangan, bertepuk tangan: ton kulit cerah, tangan, tepuk, ton kulit cerah
👏🏼	badan, bertepuk tangan, bertepuk tangan: ton kulit sederhana cerah, tangan, tepuk, ton kulit sederhana cerah
👏🏽	badan, bertepuk tangan, bertepuk tangan: ton kulit sederhana, tangan, tepuk, ton kulit sederhana
👏🏾	badan, bertepuk tangan, bertepuk tangan: ton kulit sederhana gelap, tangan, tepuk, ton kulit sederhana gelap
👏🏿	badan, bertepuk tangan, bertepuk tangan: ton kulit gelap, tangan, tepuk, ton kulit gelap
🙌	angkat, badan, hore, isyarat, orang mengangkat tangan, perayaan, tangan
🙌🏻	angkat, badan, hore, isyarat, orang mengangkat tangan, orang mengangkat tangan: ton kulit cerah, perayaan, tangan, ton kulit cerah
🙌🏼	angkat, badan, hore, isyarat, orang mengangkat tangan, orang mengangkat tangan: ton kulit sederhana cerah, perayaan, tangan, ton kulit sederhana cerah
🙌🏽	angkat, badan, hore, isyarat, orang mengangkat tangan, orang mengangkat tangan: ton kulit sederhana, perayaan, tangan, ton kulit sederhana
🙌🏾	angkat, badan, hore, isyarat, orang mengangkat tangan, orang mengangkat tangan: ton kulit sederhana gelap, perayaan, tangan, ton kulit sederhana gelap
🙌🏿	angkat, badan, hore, isyarat, orang mengangkat tangan, orang mengangkat tangan: ton kulit gelap, perayaan, tangan, ton kulit gelap
👐	badan, tangan, tangan terbuka, terbuka
👐🏻	badan, tangan, tangan terbuka: ton kulit cerah, terbuka, ton kulit cerah
👐🏼	badan, tangan, tangan terbuka: ton kulit sederhana cerah, terbuka, ton kulit sederhana cerah
👐🏽	badan, tangan, tangan terbuka: ton kulit sederhana, terbuka, ton kulit sederhana
👐🏾	badan, tangan, tangan terbuka: ton kulit sederhana gelap, terbuka, ton kulit sederhana gelap
👐🏿	badan, tangan, tangan terbuka: ton kulit gelap, terbuka, ton kulit gelap
🤲	berdoa, tapak tangan rapat
🤲🏻	berdoa, tapak tangan rapat, tapak tangan rapat: ton kulit cerah, ton kulit cerah
🤲🏼	berdoa, tapak tangan rapat, tapak tangan rapat: ton kulit sederhana cerah, ton kulit sederhana cerah
🤲🏽	berdoa, tapak tangan rapat, tapak tangan rapat: ton kulit sederhana, ton kulit sederhana
