😀	cara, cara sonriendo, divertido, feliz, sonrisa
💝	corazón, corazón con lazo, emoción, lazo, san valentín
💖	amor, brillante, corazón brillante, emoción
💗	corazón, corazón creciente, creciente, emocionado, latido, nervioso
💓	amor, corazón, corazón latiendo, emoción, latido
💞	corazones giratorios, corazón, giratorio
💕	amantes, amor, corazón, dos corazones
💟	adorno de corazón, corazón
❣️	corazón, exclamación, exclamación de corazón, puntuación
💔	corazón, corazón roto, emoción, partido, roto
❤️	corazón, corazón rojo, emoción, rojo
🧡	corazón, corazón naranja, emoción, naranja
💛	amarillo, corazón, corazón amarillo, emoción
💚	corazón, corazón verde, emoción, verde
💙	azul, corazón, corazón azul, emoción
💜	corazón, corazón morado, emoción, morado
🤎	corazón, corazón marrón, emoción, marrón
🖤	corazón, corazón negro, negro
🤍	blanco, corazón, corazón blanco, emoción
💯	100, cien puntos, pleno, puntos
💢	cómic, enfadado, enfado, símbolo de enfado
💥	colisión, cómic
💫	cómic, emoción, estrella, mareo, símbolo de mareo
💦	cómic, emoción, gotas de sudor, sudor
💨	carrera, correr, cómic, humo, salir corriendo
🕳️	agujero, orificio
💣️	bomba, cómic, emoción
💬	bocadillo, bocadillo de diálogo, conversación, cómic, diálogo
👁‍🗨	bocadillo de texto, ojo, ojo en bocadillo de texto, testigo
🗨️	bocadillo, bocadillo de diálogo por la izquierda, burbuja, conversación, diálogo
🗯️	bocadillo, bocadillo de enfado por la derecha, cabreo, enfado, rabia
💭	bocadillo, bocadillo de pensamiento, burbuja, cómic, pensamiento
💤	cómic, dormir, sueño, símbolo de sueño, zzz
👋	agitar, mano, mano saludando, saludar, saludo
👋🏻	agitar, mano, mano saludando, mano saludando: tono de piel claro, saludar, saludo, tono de piel claro
👋🏼	agitar, mano, mano saludando, mano saludando: tono de piel claro medio, saludar, saludo, tono de piel claro medio
👋🏽	agitar, mano, mano saludando, mano saludando: tono de piel medio, saludar, saludo, tono de piel medio
👋🏾	agitar, mano, mano saludando, mano saludando: tono de piel oscuro medio, saludar, saludo, tono de piel oscuro medio
👋🏿	agitar, mano, mano saludando, mano saludando: tono de piel oscuro, saludar, saludo, tono de piel oscuro
🤚	dorso, dorso de la mano, levantado, mano
🤚🏻	dorso, dorso de la mano, dorso de la mano: tono de piel claro, levantado, mano, tono de piel claro
🤚🏼	dorso, dorso de la mano, dorso de la mano: tono de piel claro medio, levantado, mano, tono de piel claro medio
🤚🏽	dorso, dorso de la mano, dorso de la mano: tono de piel medio, levantado, mano, tono de piel medio
🤚🏾	dorso, dorso de la mano, dorso de la mano: tono de piel oscuro medio, levantado, mano, tono de piel oscuro medio
🤚🏿	dorso, dorso de la mano, dorso de la mano: tono de piel oscuro, levantado, mano, tono de piel oscuro
🖐️	abierta, dedo, mano, mano abierta
🖐🏻	abierta, dedo, mano, mano abierta: tono de piel claro, tono de piel claro
🖐🏼	abierta, dedo, mano, mano abierta: tono de piel claro medio, tono de piel claro medio
🖐🏽	abierta, dedo, mano, mano abierta: tono de piel medio, tono de piel medio
🖐🏾	abierta, dedo, mano, mano abierta: tono de piel oscuro medio, tono de piel oscuro medio
🖐🏿	abierta, dedo, mano, mano abierta: tono de piel oscuro, tono de piel oscuro
✋	levantada, mano, mano levantada
✋🏻	levantada, mano, mano levantada: tono de piel claro, tono de piel claro
✋🏼	levantada, mano, mano levantada: tono de piel claro medio, tono de piel claro medio
✋🏽	levantada, mano, mano levantada: tono de piel medio, tono de piel medio
✋🏾	levantada, mano, mano levantada: tono de piel oscuro medio, tono de piel oscuro medio
✋🏿	levantada, mano, mano levantada: tono de piel oscuro, tono de piel oscuro
🖖	mano, saludo, saludo vulcano, spock, vulcano
🖖🏻	mano, saludo, saludo vulcano: tono de piel claro, spock, tono de piel claro, vulcano
🖖🏼	mano, saludo, saludo vulcano: tono de piel claro medio, spock, tono de piel claro medio, vulcano
🖖🏽	mano, saludo, saludo vulcano: tono de piel medio, spock, tono de piel medio, vulcano
🖖🏾	mano, saludo, saludo vulcano: tono de piel oscuro medio, spock, tono de piel oscuro medio, vulcano
🖖🏿	mano, saludo, saludo vulcano: tono de piel oscuro, spock, tono de piel oscuro, vulcano
👌	aprobación, mano, ok, señal de aprobación con la mano
👌🏻	aprobación, mano, ok, señal de aprobación con la mano, señal de aprobación con la mano: tono de piel claro, tono de piel claro
👌🏼	aprobación, mano, ok, señal de aprobación con la mano, señal de aprobación con la mano: tono de piel claro medio, tono de piel claro medio
👌🏽	aprobación, mano, ok, señal de aprobación con la mano, señal de aprobación con la mano: tono de piel medio, tono de piel medio
👌🏾	aprobación, mano, ok, señal de aprobación con la mano, señal de aprobación con la mano: tono de piel oscuro medio, tono de piel oscuro medio
👌🏿	aprobación, mano, ok, señal de aprobación con la mano, señal de aprobación con la mano: tono de piel oscuro, tono de piel oscuro
🤏	mano pellizcando, pellizco, poco, poquito
🤏🏻	mano pellizcando, mano pellizcando: tono de piel claro, pellizco, poco, poquito, tono de piel claro
🤏🏼	mano pellizcando, mano pellizcando: tono de piel claro medio, pellizco, poco, poquito, tono de piel claro medio
🤏🏽	mano pellizcando, mano pellizcando: tono de piel medio, pellizco, poco, poquito, tono de piel medio
🤏🏾	mano pellizcando, mano pellizcando: tono de piel oscuro medio, pellizco, poco, poquito, tono de piel oscuro medio
🤏🏿	mano pellizcando, mano pellizcando: tono de piel oscuro, pellizco, poco, poquito, tono de piel oscuro
✌️	mano, mano con señal de victoria, señal de victoria, victoria
✌🏻	mano, mano con señal de victoria, mano con señal de victoria: tono de piel claro, señal de victoria, tono de piel claro, victoria
✌🏼	mano, mano con señal de victoria, mano con señal de victoria: tono de piel claro medio, señal de victoria, tono de piel claro medio, victoria
✌🏽	mano, mano con señal de victoria, mano con señal de victoria: tono de piel medio, señal de victoria, tono de piel medio, victoria
✌🏾	mano, mano con señal de victoria, mano con señal de victoria: tono de piel oscuro medio, señal de victoria, tono de piel oscuro medio, victoria
✌🏿	mano, mano con señal de victoria, mano con señal de victoria: tono de piel oscuro, señal de victoria, tono de piel oscuro, victoria
🤞	cruzar, dedos, dedos cruzados, mano, suerte
🤞🏻	cruzar, dedos, dedos cruzados, dedos cruzados: tono de piel claro, mano, suerte, tono de piel claro
🤞🏼	cruzar, dedos, dedos cruzados, dedos cruzados: tono de piel claro medio, mano, suerte, tono de piel claro medio
🤞🏽	cruzar, dedos, dedos cruzados, dedos cruzados: tono de piel medio, mano, suerte, tono de piel medio
🤞🏾	cruzar, dedos, dedos cruzados, dedos cruzados: tono de piel oscuro medio, mano, suerte, tono de piel oscuro medio
🤞🏿	cruzar, dedos, dedos cruzados, dedos cruzados: tono de piel oscuro, mano, suerte, tono de piel oscuro
🤟	gesto de te quiero, mano, quiero
🤟🏻	gesto de te quiero, gesto de te quiero: tono de piel claro, mano, quiero, tono de piel claro
🤟🏼	gesto de te quiero, gesto de te quiero: tono de piel claro medio, mano, quiero, tono de piel claro medio
🤟🏽	gesto de te quiero, gesto de te quiero: tono de piel medio, mano, quiero, tono de piel medio
🤟🏾	gesto de te quiero, gesto de te quiero: tono de piel oscuro medio, mano, quiero, tono de piel oscuro medio
🤟🏿	gesto de te quiero, gesto de te quiero: tono de piel oscuro, mano, quiero, tono de piel oscuro
🤘	cuernos, dedo, mano, mano haciendo el signo de cuernos, rock
🤘🏻	cuernos, dedo, mano, mano haciendo el signo de cuernos, mano haciendo el signo de cuernos: tono de piel claro, rock, tono de piel claro
🤘🏼	cuernos, dedo, mano, mano haciendo el signo de cuernos, mano haciendo el signo de cuernos: tono de piel claro medio, rock, tono de piel claro medio
🤘🏽	cuernos, dedo, mano, mano haciendo el signo de cuernos, mano haciendo el signo de cuernos: tono de piel medio, rock, tono de piel medio
🤘🏾	cuernos, dedo, mano, mano haciendo el signo de cuernos, mano haciendo el signo de cuernos: tono de piel oscuro medio, rock, tono de piel oscuro medio
🤘🏿	cuernos, dedo, mano, mano haciendo el signo de cuernos, mano haciendo el signo de cuernos: tono de piel oscuro, rock, tono de piel oscuro
🤙	llamar, mano, mano haciendo el gesto de llamar, meñique, pulgar
🤙🏻	llamar, mano, mano haciendo el gesto de llamar, mano haciendo el gesto de llamar: tono de piel claro, meñique, pulgar, tono de piel claro
