😀	cara, cara sonriendo, contento, divertido, sonrisa
🖐🏼	dedos, mano, mano abierta, mano abierta: tono de piel claro medio, palma de la mano, tono de piel claro medio
🖐🏽	dedos, mano, mano abierta, mano abierta: tono de piel medio, palma de la mano, tono de piel medio
🖐🏾	dedos, mano, mano abierta, mano abierta: tono de piel oscuro medio, palma de la mano, tono de piel oscuro medio
🖐🏿	dedos, mano, mano abierta, mano abierta: tono de piel oscuro, palma de la mano, tono de piel oscuro
✋	mano, mano abierta, palma de la mano
✋🏻	mano, mano abierta, mano levantada: tono de piel claro, palma de la mano, tono de piel claro
✋🏼	mano, mano abierta, mano levantada: tono de piel claro medio, palma de la mano, tono de piel claro medio
✋🏽	mano, mano abierta, mano levantada: tono de piel medio, palma de la mano, tono de piel medio
✋🏾	mano, mano abierta, mano levantada: tono de piel oscuro medio, palma de la mano, tono de piel oscuro medio
✋🏿	mano, mano abierta, mano levantada: tono de piel oscuro, palma de la mano, tono de piel oscuro
🖖	saludo, spock, star, trek, vulcano
🖖🏻	saludo, saludo vulcano: tono de piel claro, spock, star, tono de piel claro, trek, vulcano
🖖🏼	saludo, saludo vulcano: tono de piel claro medio, spock, star, tono de piel claro medio, trek, vulcano
🖖🏽	saludo, saludo vulcano: tono de piel medio, spock, star, tono de piel medio, trek, vulcano
🖖🏾	saludo, saludo vulcano: tono de piel oscuro medio, spock, star, tono de piel oscuro medio, trek, vulcano
🖖🏿	saludo, saludo vulcano: tono de piel oscuro, spock, star, tono de piel oscuro, trek, vulcano
👌	señal de aprobación con la mano
👌🏻	señal de aprobación con la mano, señal de aprobación con la mano: tono de piel claro, tono de piel claro
👌🏼	señal de aprobación con la mano, señal de aprobación con la mano: tono de piel claro medio, tono de piel claro medio
👌🏽	señal de aprobación con la mano, señal de aprobación con la mano: tono de piel medio, tono de piel medio
👌🏾	señal de aprobación con la mano, señal de aprobación con la mano: tono de piel oscuro medio, tono de piel oscuro medio
👌🏿	señal de aprobación con la mano, señal de aprobación con la mano: tono de piel oscuro, tono de piel oscuro
🤏🏻	mano pellizcando, mano pellizcando: tono de piel claro, pellizco, poco, poquito, tono de piel claro
🤏🏼	mano pellizcando, mano pellizcando: tono de piel claro medio, pellizco, poco, poquito, tono de piel claro medio
🤏🏽	mano pellizcando, mano pellizcando: tono de piel medio, pellizco, poco, poquito, tono de piel medio
