😀	aurpegi, barre egiten ari den aurpegia, irribarre
🤬	ahoan ikurrak dituen aurpegia, izerditan
😈	adarrak, aurpegi, fantasia, ipuin, irribarre, irribarre egiten ari den aurpegi adarduna
👿	aurpegi, deabru, deabrua, fantasia, ipuin
💀	aurpegi, buru-hezurra, gorputz, heriotz, hil, ipuin, munstro
☠️	aurpegi, buru-hezur, buru-hezurra eta hezur gurutzatuak, gorputz, heriotza, hezur gurutzatuak, hil, munstro
💩	aurpegi, gorotz, kaka, kaka-mokordoa, komiki, monstruo
🤡	aurpegi, pailazo, pailazo-aurpegia
👹	aurpegi, fantasia, ipuin, izaki, japoniera, munstro, ogroa
👺	aurpegi, fantasia, ipuin, iratxoa, izaki, japoniera, munstro
👻	aurpegi, fantasia, ipuin, izaki, mamua, munstro
👽️	aurpegi, espazio, estralurtar, estralurtarra, fantasia, ipuin, izaki, munstro, ohe
👾	aurpegi, espazio, estralurtar, fantasia, ipuin, izaki, munstro, munstro estralurtarra, ohe
🤖	aurpegi, munstro, robot, robot-aurpegia
😺	aho, ahoa irekita duen eta irribarre egiten ari den katu-aurpegia, ahoa irekita duen katu-aurpegi irribarretsua, aurpegi, ireki, irribarre, katu
😸	aurpegi, barre, begi, begiez barre egiten ari den katu-aurpegia, katu
😹	aurpegi, katu, malko, poz, pozez negar ari den katu-aurpegia
😻	aurpegi, begi, bihotz, bihotz-itxurako begiak dituen eta irribarre egiten ari den katu-aurpegia, irribarre, katu, katu irribarretsua, bihotz-itxurako begiekin, maitasun
😼	aurpegi, ironiko, irribarre, irribarre maltzurra duen katu-aurpegia, katu, maltzur
😽	aurpegi, begi, begiak itxita dituen eta musuka ari den katu-aurpegia, begiak itxita musuka ari den katu-aurpegia, katu, musu
🙀	aurpegi, harritu, katu, leher eginda, leher eginda dagoen katu-aurpegia, nekatu
😿	aurpegi, katu, malko, negar, negarrez ari den katu-aurpegia, triste
😾	aurpegi, katu, katu-aurpegi muturtua, muturtu
🙈	aurpegi, debekatu, ez, gauza txarrik ikusi nahi ez duen tximua, ikusi, keinu, txar, tximu
