😀	ᎤᎧᏛ, ᎤᏤᏣᏍᏗ ᎤᎧᏛ, ᎤᏰᏍᎩ
🤮	ᎤᎧᏛ ᏚᎦᏍᏗᎲᎢ, ᎤᏓᏂᎸ, ᏚᎦᏍᏗᎲᎢ
🤧	ᎠᏗᏴᎳᏛᏍᎩ ᏗᏁᏟᏙᏗ, ᎤᎧᏛ, ᏚᏴᏍᏙᏍᎬᎢ, ᏧᏴᏍᏙᏍᎩ ᎤᎧᏔ
🥵	ᎠᎵ ᏓᏓᏑᎶ, ᎤᏗᎴᎬ ᎤᎸᏓᎸᏅ, ᎤᏗᎴᎲᏍᎩ, ᎤᏗᏞᎦ, ᎤᏗᏞᎦ ᎤᎧᏛ, ᎩᎦᎨ-ᎤᎧᏛᎢ
🥶	ᎤᏴᏜ, ᎤᏴᏜ ᎤᎧᏛ, ᏌᎪᏂᎨ-ᎤᎧᏛᎢ, ᏕᎦᏁᏍᏓᎳᏗᎠ, ᏚᎿᏍᏓᎥ, ᏧᏁᏍᏓᎶᏒ
🥴	ᎢᏧᎳᎭ ᏂᎨᏒᎾ ᏗᎦᏙᎵ, ᎤᎸᏕᎯ, ᎤᎸᏕᏍᏗ ᎤᎧᏛ, ᎤᏚᎩᏓ, ᎤᏥᏈᏗ ᎠᎰᎵ, ᎤᏴᏍᏕᏛᏉ
😵	ᎤᎧᏛ, ᎤᎸᏕᎯᏓ, ᎤᎸᏕᎯᏓ ᎤᎧᏛ
🤯	ᎠᏔᏍᎩᏍᎩ ᎠᎦᏍᏓᏛ, ᎤᏍᎦᏍᏓᏁᎸᎢ
🤠	ᎤᎧᏛ, ᎤᎵᏍᏇᏚᎩ, ᏗᏍᎳᏗᏍᎩ, ᏗᏍᎳᏗᏍᎩ ᎤᎵᏍᏇᏚᎩ ᎤᎧᏛ
🥳	ᎠᎵᏍᏇᏔᏬ, ᎤᎧᏛ ᎤᎾᏓᏡᎨᏍᎬ, ᎤᎾᏓᏡᎨᏍᎬ, ᎤᎾᏕᏘᏰᏍᎬ, ᎤᏲᎾ
😎	ᎠᎦᎵ, ᎤᎧᏛ, ᎤᏁᏏᏴᏞ, ᎤᏰᏗᏍᎩ ᎤᎧᏔ ᏅᏓ ᏗᎦᏛᏅᏙᏗ ᏗᎦᏛᏅᏗᏍᏗ, ᏅᏓ, ᏅᏓ ᏗᎦᏛᏅᏙᏗ
🤓	ᎠᎧᎾᏗ, ᎤᎦᎸᏗ, ᎤᎦᎸᏗ ᎤᎧᏛ, ᎤᎧᏛ
🧐	ᎠᎧᎵ, ᏗᎦᏛᏅᏙᏗ ᎤᎧᏛ
😕	ᎤᎧᏛ, ᎤᏎᎩᏲᏤᎸᎢ, ᎤᏎᎩᏲᏤᎸᎢ ᎤᎧᏛ
😟	ᎤᎧᏛ, ᎤᏪᎵᎯᏍᎩ, ᎤᏪᎵᎯᏍᎩ ᎤᎧᏛ
🙁	ᎤᎧᏛ, ᎤᏓᏁᎪᏳ, ᏍᏗᎩᏓ ᎤᏓᏁᎪᏳᏒ ᎤᎧᏛ
☹️	ᎤᎧᏛ, ᎤᏓᏁᎪᏳ, ᎤᏓᏁᎪᏳ ᎤᎧᏛ
😮	ᎠᎰᎵ, ᎠᏍᏚᎢᏓ, ᎤᎧᏛ, ᎤᎧᏛ ᎤᏠᏯᏍᏗ ᎤᏔᏠᎬᎢ, ᎤᏲ ᎠᏰᎸᎾ
😯	ᎠᏥᏎᎦᏍᏛᏅ, ᎠᏥᏰᎶᎢᏍᏔᏅ, ᎡᎶᏪ ᎤᎧᏛ, ᎡᎶᏪ ᏯᎬᏁᎸᎢ, ᎤᎧᏛ
😲	ᎠᏥᏎᎦᏍᏔᏅᎢ, ᎠᏥᏎᎦᏍᏔᏅᎢ ᎤᎧᏛ, ᎤᎧᏛ, ᎤᏍᏆᏂᎦᏘ ᎤᏰᎸᏅ, ᎧᎵᏬ
😳	ᎤᎧᏛ, ᎤᏎᎩᏲᏤ, ᎦᏃᎱᎪᏗ, ᎦᏃᎱᎪᏗ ᎤᎧᏛ
🥺	ᎠᏓᏙᎵᏍᏗ, ᎠᏚᎳᏗᏍᎬ, ᎦᏂᎳᏗᎠ ᎤᎧᏛ, ᎩᎵ ᎠᏗ ᏗᎦᏙᎵ
😦	ᎠᎰᎵ, ᎠᏍᏚᎢᏓ, ᎤᎧᏛ, ᎤᏓᏁᎪᏳ, ᎤᏓᏁᎪᏳᎲᎢ ᎤᎧᏛ ᎤᏔᏠᎩ
😧	ᎠᎩᏟᏲᎬᎢ, ᎠᎩᏟᏲᎬᎢ ᎤᎧᏛ, ᎤᎧᏛ
😨	ᎠᏍᎦᎢᎭ, ᎤᎧᏛ, ᎤᎾᏰᏌᏘ, ᎤᎾᏰᏌᏘ ᎤᎧᏛ, ᎤᏍᎦᎡᎯ
😰	ᎠᎵ, ᎠᏅᏍᏔᏅᎢ, ᎤᎧᏛ, ᎤᎷᎶ ᎤᎧᏛ ᎠᎵ, ᎤᏴᏜ, ᏌᎪᏂᎨ
😥	ᎡᏍᎦ, ᎡᏍᎦ ᎤᏰᎸᏅᎢ ᎠᏎᏃ ᎤᎵᎮᎵᏨᎢ ᎤᎧᏛ, ᎤᎧᏛ, ᎤᏯᏪᏐᏢ, ᏗᏁᏟᏙᏗ
😢	ᎠᏠᏱᎭ, ᎠᏠᏱᎭ ᎤᎧᏛ, ᎤᎧᏛ, ᎤᏩᏍᏉᎸ, ᎤᏲᎤᏰᎸᏅ
😭	ᎠᏠᏱᎭ, ᎠᏠᏱᏍᎩ, ᎤᎧᏛ, ᎤᏩᏍᏉᎸ, ᎤᏲᎭᏰᎸᏅ, ᏗᎭᎳᏓ ᎠᏠᏱᏍᎩ ᎤᎧᏛ
😱	ᎠᏍᎦᎢᎭ, ᎤᎧᏛ, ᎤᎧᏛᎢ ᎨᎷᎲᏍᎦ ᎾᏍᎩ ᎦᎾᏰᎯᏍᏗ, ᎤᏍᎦᎡᎯ, ᎤᏪᎷᎦ
😖	ᎤᎧᏛ, ᎤᎭᎾᎸ, ᎤᎭᎾᎸ ᎤᎧᏛ
😣	ᎤᎧᏛ, ᎤᎵᏏᏅᏗ, ᏥᎾᏛᏁᎰᎢ ᎤᎧᏛ
😞	ᎡᏍᎦ ᎤᏰᎸᏅᎢ, ᎡᏍᎦ ᎤᏰᎸᏅᎢ ᎤᎧᏛ, ᎤᎧᏛ
😓	ᎠᎵ, ᎤᎧᏛ, ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎤᏴᏟ ᎠᎵ, ᎤᏴᏝ
😩	ᎤᎧᏛ, ᏗᎦᏍᏗᏰᏍᏒ, ᏗᎦᏍᏗᏰᏍᏒ ᎤᎧᏓ, ᏧᏩᏪᎩ
😫	ᎤᎧᏛ, ᏚᏯᏪᎦ, ᏚᏯᏪᎦ ᎤᎧᏛ
🥱	ᎤᏔᎴᏒ, ᎦᎸᏍᎦ, ᎦᎸᏍᎦ ᎤᎧᏛ, ᏚᏯᏪᎦ
😤	ᎤᎧᏛ, ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎾᏍᎩᎾ ᎧᏴᏐᎵ, ᎤᏓᎵᏁᎯᏛ, ᎤᏓᏠᏒ
😡	ᎠᎵᏍᎦᏃᏍᎦ, ᎤᎧᏛ, ᎤᎵᏍᎦᎮᏗ, ᎤᎿᎸᎯ, ᎤᏓᏁᎯᏳ, ᎤᏓᏁᎯᏳ ᎤᎧᏛ, ᎩᎦᎨ
😠	ᎠᎿᎸᎯ, ᎤᎧᏛ, ᎤᎿᎸᎯ, ᎤᎿᎸᎯ ᎤᎧᏛ
🤬	ᎠᏎᎵᏙᏗ, ᎤᎧᏛ ᎤᏙᏪᎸ ᎤᏭᏝᎢ ᎠᎰᎵ
😈	ᎤᎧᏛ, ᎤᏤᏣᏍᏗ, ᎤᏰᏗᏍᎩ ᎤᎧᏔ ᎤᎵᎪᏓ ᏚᏲᎾ, ᎥᏓᏅᏖᏢᏍᎬ ᎰᏩᏂᎨᏒᎾ, ᎰᏩᏂᎨᏒᎾ, ᏧᏲᎾ
👿	ᎠᏍᎩᎾ, ᎤᎧᏛ, ᎤᎿᎸᎢ ᎤᎧᏛ ᏧᏟᎩ, ᎤᎿᎸᎢ ᎤᎧᏛ ᏧᏲᎾ, ᎤᏍᏗ ᎠᏍᎩᎾ, ᎰᏩᏂᎨᏒᎾ, ᏧᏲᎾ
💀	ᎠᏲᎱᎯᏍᏗ, ᎤᎧᏛ, ᎦᏂᏰᎩ, ᎪᎳᎭ ᎤᏍᎦ, ᎰᏩᏂᎨᏒᎾ
☠️	ᎠᏲᎱᎯᏍᏗ, ᎤᎧᏛ, ᎦᏂᏰᎩ, ᎪᎳᎭ ᎤᏍᎦ, ᎪᎳᎭ ᎤᏍᎦ ᎠᎴ ᏧᏓᎿᏫᏓ ᏧᎪᎳ, ᏧᏓᎿᏫᏓ ᏧᎪᎳ
💩	ᎢᎩᏏ, ᎤᎧᏛ, ᎤᏍᏗ ᎢᎩᏏ, ᎤᏔᎾ ᎢᎩᏏ, ᎦᏂᏰᎩ, ᎦᏒᏛ Ꮎ ᎢᎩᏏ
🤡	ᎤᎧᏛ, ᏧᎦᎸᏓ, ᏧᎦᎸᏓ ᎤᎧᏛ
👹	ᎠᏏᏴᏫ, ᎤᎧᏛ, ᎥᏓᏅᏖᏢᏍᎬ ᎰᏩᏂᎨᏒᎾ, ᎦᏂᏰᎩ, ᎰᏩᏂᎨᏒᎾ, ᏴᏫ ᎢᏳᏍᏗ
👺	ᎠᏏᏴᏫ, ᎤᎧᏛ, ᎥᏓᏅᏖᏢᏍᎬ ᎰᏩᏂᎨᏒᎾ, ᎦᏂᏰᎩ, ᎩᎦᎨ ᏴᏫ, ᎰᏩᏂᎨᏒᎾ
👻	ᎠᏏᏴᏫ, ᎠᏥᏍᎩᎵ, ᎤᎧᏛ, ᎥᏓᏅᏖᏢᏍᎬ ᎰᏩᏂᎨᏒᎾ, ᎦᏂᏰᎩ, ᎰᏩᏂᎨᏒᎾ
👽️	ᎠᏏᏴᏫ, ᎢᎾ ᏂᏓᏳᎶᏒ, ᎢᎾ ᏂᏓᏳᎶᏒᎢ, ᎤᎧᏛ, ᎪᏟᏍᏗ ᏂᎨᏒᎾ ᎦᏃᎯᎵᏙᎯ, ᎰᏩᏂᎨᏒᎾ
👾	ᎠᏏᏴᏫ, ᎢᎾ ᏂᏓᏳᎶᏒ, ᎢᎾ ᏂᏓᏳᎶᏒᎢ, ᎢᎾ ᏂᏓᏳᎶᏒᎢ ᎦᏂᏰᎩ, ᎤᎧᏛ, ᎦᏂᏰᎩ, ᎪᏟᏍᏗ ᏂᎨᏒᎾ ᎦᏃᎯᎵᏙᎯ
🤖	ᎤᎧᏛ, ᎦᏂᏰᎩ, ᏔᎷᎩᏍᎩ ᏴᏫ, ᏔᎷᎩᏍᎩ ᏴᏫ ᎤᎧᏛ
😺	ᎠᎰᎵ, ᎠᏍᎢᏓ, ᎤᎧᏛ, ᎤᏤᏣᏍᏗ, ᎤᏤᏣᏍᏗ ᏪᏌ ᎤᎧᏛ, ᏪᏌ
😸	ᎠᎦᏘ, ᎤᎧᏛ, ᎤᎭᏁ, ᎤᏤᏣᏍᏗ, ᎤᏤᏣᏍᏗ ᏪᏌ ᎤᎧᏛ ᎾᏍᎩ ᎤᏤᏣᏍᏗ ᏓᎧᏅᎢ, ᏪᏌ
😹	ᎤᎦᏔᏬᎸ, ᎤᎧᏛ, ᎤᎵᎮᎵᏨ, ᏪᏌ, ᏪᏌ ᎤᎧᏛᎢ ᎠᎵᎮᎵᎬᎢ ᎤᎧᏛᎢ
😻	ᎠᎦᏘ, ᎤᎧᏛ, ᎤᏤᏣᏍᏗ, ᎦᎸᏉᏗ, ᏪᏌ, ᏪᏌ ᎤᏰᏗᏍᎬ ᎤᎧᏔ ᏧᎾᏫ-ᏗᎧᏂ
😼	ᎤᎧᏛ, ᎤᎧᏲᏓ, ᎤᏤᏣᏍᏗ, ᏃᎵᏍᎬᎾ, ᏪᏌ, ᏪᏌ ᎤᎧᏛᎢ ᎠᏓᏰᎵᎠ ᎤᏤᏣᏍᏛᎢ
😽	ᎠᎦᏘ, ᎠᏓᏔᏪᏙᏍᎩ ᏪᏌ ᎤᎧᏛ, ᎠᏔᏪᏙᎢᏍᏗ, ᎤᎧᏛ, ᏪᏌ
🙀	Ꭳ, ᎤᎧᏛ, ᏗᎦᏍᏗᏰᏍᎩ, ᏗᎦᏍᏗᏰᏍᎩ ᏪᏌ ᎤᎧᏓ, ᏧᏍᏔᏰᏒ, ᏪᏌ
😿	ᎠᏠᎯᎭ, ᎠᏠᏱᎭ ᏪᏌ ᎤᎧᏛ, ᎤᎦᏔᏬᎸ, ᎤᎧᏛ, ᎤᏲ ᎤᏓᏅᏔ, ᏪᏌ
😾	ᎤᎧᏛ, ᎤᏓᏁᎯᏳ, ᎤᏓᏁᎯᏳ ᏪᏌ ᎤᎧᏛ, ᏪᏌ
🙈	ᎠᎪᏩᏛᏗ, ᎠᏍᎩᎾ, ᎠᏓᎴᏍᎩᏱᏍᎩ, ᎢᏯᏛᏁᏗ ᏂᎨᏒᎾ, ᎤᎧᏛ, Ꮭ ᎾᎪᏫᏘᎲᎾ-ᎤᏁᎫᏥᏓ- ᎠᏓᎴᏍᎩᏱᏍᎩ
🙉	ᎠᏍᎩᎾ, ᎠᏓᎴᏍᎩᏱᏍᎩ, ᎠᏛᎩᏍᎩ-ᏂᎨᏒᎾ-ᎤᏲ ᎠᏓᎴᏍᎩᏱᏍᎩ, ᎠᏛᎪᏗ, ᎢᏯᏛᏁᏗ ᏂᎨᏒᎾ, ᎤᎧᏛ
🙊	ᎠᏍᎩᎾ, ᎠᏓᎴᏍᎩᏱᏍᎩ, ᎢᏯᏛᏁᏗ ᏂᎨᏒᎾ, ᎤᎧᏛ, ᎦᏬᏂᎯᏍᏗ, ᏂᎦᏬᏂᏍᎬᎾ ᎤᏲ ᎠᏓᎴᏍᎩᏱᏍᎩ
💋	ᎠᏔᏪᏙᏅᎢ, ᎠᏔᏪᏙᏅᎢ ᎤᏙᏪᎸᎢ, ᎤᎭᏁᎦᎸᎢ
💌	ᎠᏓᎨᏳᏗ, ᎠᏓᎸᏉᎪᏪᎳᏅ, ᎤᎿᏫ, ᎪᏪᎵ
💘	ᎤᎿᏫ ᎦᏝᏗ ᎬᏗ, ᎦᏝᏗ, ᎫᏈᏛ
💝	ᎠᏇᏡᏍᏗ, ᎤᎾᏓᎸᏉᏙᏗ, ᎤᎿᏫ ᎠᏇᏡᏍᏗ
💖	ᎠᏔᎷᎩᎠ, ᎠᏔᎷᎩᏍᎩ ᎠᏓᏅᏙ, ᎤᎳᎾᎩᏍᎬ
💗	ᎠᎵᏌᎳᏗᎲᎢ ᎤᎿᏫ, ᎠᏓᎿᏫᏍᎬ, ᎠᏛᏍᎬᎢ, ᎤᎳᎾᎩᏍᎬ, ᎤᏓᏅᏖᏗᏍᎩ
💓	ᎠᏓᎿᏫᏍᎦ, ᎠᏓᏅᏫᏍᎦ, ᎤᎿᏫ ᎠᏓᎾᏫᏍᎬ, ᎤᎿᏫ ᎠᏓᎿᏫᏍᎦ
💞	ᏗᏕᏲ, ᏗᏕᏲ ᏚᏓᏅᏛ
💕	ᎠᏓᎨᏳᏗ, ᏔᎵ ᏗᏓᏅᏙ
💟	ᎤᎿᏫ, ᎤᎿᏫ ᏗᏟᎶᏍᏔᏅ
❣️	ᎤᏓᎨᏓ ᎤᎿᏫ ᏍᏓᏱ ᎥᎧᏁᎬᎢ, ᎪᏪᎸ, ᏍᏓᏱ ᎥᎧᏁᎬᎢ, ᏚᏙᏪᎸᎢ
💔	ᎤᏲᏨᎢ, ᎤᏲᏨᎢ ᎤᎿᏫ, ᎯᏲᏍᏓ
❤️	ᎤᎿᏫ, ᎩᎦᎨ ᎤᎿᏫ
🧡	ᎠᏓᎶᏂᎨ, ᎠᏓᎶᏂᎨ ᎤᎿᏫ
💛	ᏓᎶᏂᎨ, ᏓᎶᏂᎨ ᎤᎿᏫ
💚	ᎢᏤᏳᏍᏗ, ᎢᏤᏳᏍᏗ ᎤᎿᏫ
💙	ᏌᎪᏂᎨ, ᏌᎪᏂᎨ ᎤᎿᏫ
💜	ᎠᏓᎲᎵᎨ, ᎠᏓᎲᎵᎨ ᎤᎿᏫ
🤎	ᎤᎾᏫ, ᎤᏬᏗᎨ, ᎤᏬᏗᎨ ᎤᎾᏫ
🖤	ᎤᏲ, ᎤᏲᎢᏳᎢ, ᎬᎿᎨ, ᎬᎿᎨ ᎤᎾᏫ
🤍	ᎤᎾᏫ, ᎤᏁᎦ, ᎤᏁᎦ ᎤᎾᏫ
💯	100, ᎠᎪᎯᏧᏈ ᎬᏅᏅᎢ, ᎤᏅᏅᎢ, ᎧᎵᎢ, ᏍᎪᎯᏧᏈ
💢	ᎤᎿᎸᎯ, ᎤᎿᎸᎯ ᏓᏟᎶᏍᏛᎢ, ᎤᏬᏟᏗ
💥	ᎤᏬᏟᏗ, ᏍᏓᏱ ᎤᏃᏴᎩ, ᏚᎾᏓᏛᏂᎸ
💫	ᎤᎸᏕᎯᏓ, ᎤᏬᏟᏗ, ᏃᏈᏏ
💦	ᎠᎵ, ᎠᎵ ᏧᏩᏬᏨ, ᎤᏬᏟᏗ, ᏗᏍᏚᏟᏥᏙᎲᎢ
