😀	andlit, glott, glottandi andlit
🙅🏽	bannað, ekki gott, ekki gott: millihúðlitur, hendur í kross, millihúðlitur
🙅🏾	bannað, ekki gott, ekki gott: meðaldökkur húðlitur, hendur í kross, meðaldökkur húðlitur
🙅🏿	bannað, dökkur húðlitur, ekki gott, ekki gott: dökkur húðlitur, hendur í kross
🙅‍♂	bannað, ekki, karl, maður segir ekki í lagi, nei
🙅🏻‍♂	bannað, ekki, karl, ljós húðlitur, maður segir ekki í lagi, maður segir ekki í lagi: ljós húðlitur, nei
🙅🏼‍♂	bannað, ekki, karl, maður segir ekki í lagi, maður segir ekki í lagi: meðalljós húðlitur, meðalljós húðlitur, nei
🙅🏽‍♂	bannað, ekki, karl, maður segir ekki í lagi, maður segir ekki í lagi: millihúðlitur, millihúðlitur, nei
🙅🏾‍♂	bannað, ekki, karl, maður segir ekki í lagi, maður segir ekki í lagi: meðaldökkur húðlitur, meðaldökkur húðlitur, nei
🙅🏿‍♂	bannað, dökkur húðlitur, ekki, karl, maður segir ekki í lagi, maður segir ekki í lagi: dökkur húðlitur, nei
🙅‍♀	bannað, ekki, kona, kona segir ekki í lagi, nei
🙅🏻‍♀	bannað, ekki, kona, kona segir ekki í lagi, kona segir ekki í lagi: ljós húðlitur, ljós húðlitur, nei
🙅🏼‍♀	bannað, ekki, kona, kona segir ekki í lagi, kona segir ekki í lagi: meðalljós húðlitur, meðalljós húðlitur, nei
🙅🏽‍♀	bannað, ekki, kona, kona segir ekki í lagi, kona segir ekki í lagi: millihúðlitur, millihúðlitur, nei
🙅🏾‍♀	bannað, ekki, kona, kona segir ekki í lagi, kona segir ekki í lagi: meðaldökkur húðlitur, meðaldökkur húðlitur, nei
🙅🏿‍♀	bannað, dökkur húðlitur, ekki, kona, kona segir ekki í lagi, kona segir ekki í lagi: dökkur húðlitur, nei
🙆	allt í lagi, í lagi
🙆🏻	allt í lagi, allt í lagi: ljós húðlitur, ljós húðlitur, í lagi
🙆🏼	allt í lagi, allt í lagi: meðalljós húðlitur, meðalljós húðlitur, í lagi
🙆🏽	allt í lagi, allt í lagi: millihúðlitur, millihúðlitur, í lagi
🙆🏾	allt í lagi, allt í lagi: meðaldökkur húðlitur, meðaldökkur húðlitur, í lagi
🙆🏿	allt í lagi, allt í lagi: dökkur húðlitur, dökkur húðlitur, í lagi
🙆‍♂	já, karl, maður segir allt í lagi, í lagi, ókei
🙆🏻‍♂	já, karl, ljós húðlitur, maður segir allt í lagi, maður segir allt í lagi: ljós húðlitur, í lagi, ókei
🙆🏼‍♂	já, karl, maður segir allt í lagi, maður segir allt í lagi: meðalljós húðlitur, meðalljós húðlitur, í lagi, ókei
🙆🏽‍♂	já, karl, maður segir allt í lagi, maður segir allt í lagi: millihúðlitur, millihúðlitur, í lagi, ókei
🙆🏾‍♂	já, karl, maður segir allt í lagi, maður segir allt í lagi: meðaldökkur húðlitur, meðaldökkur húðlitur, í lagi, ókei
🙆🏿‍♂	dökkur húðlitur, já, karl, maður segir allt í lagi, maður segir allt í lagi: dökkur húðlitur, í lagi, ókei
🙆‍♀	já, kona, kona segir allt í lagi, í lagi, ókei
🙆🏻‍♀	já, kona, kona segir allt í lagi, kona segir allt í lagi: ljós húðlitur, ljós húðlitur, í lagi, ókei
🙆🏼‍♀	já, kona, kona segir allt í lagi, kona segir allt í lagi: meðalljós húðlitur, meðalljós húðlitur, í lagi, ókei
🙆🏽‍♀	já, kona, kona segir allt í lagi, kona segir allt í lagi: millihúðlitur, millihúðlitur, í lagi, ókei
🙆🏾‍♀	já, kona, kona segir allt í lagi, kona segir allt í lagi: meðaldökkur húðlitur, meðaldökkur húðlitur, í lagi, ókei
🙆🏿‍♀	dökkur húðlitur, já, kona, kona segir allt í lagi, kona segir allt í lagi: dökkur húðlitur, í lagi, ókei
💁	aðstoð, fólk, hjálp, upplýsingaborð, upplýsingar
💁🏻	aðstoð, fólk, hjálp, ljós húðlitur, upplýsingaborð, upplýsingaborð: ljós húðlitur, upplýsingar
💁🏼	aðstoð, fólk, hjálp, meðalljós húðlitur, upplýsingaborð, upplýsingaborð: meðalljós húðlitur, upplýsingar
💁🏽	aðstoð, fólk, hjálp, millihúðlitur, upplýsingaborð, upplýsingaborð: millihúðlitur, upplýsingar
💁🏾	aðstoð, fólk, hjálp, meðaldökkur húðlitur, upplýsingaborð, upplýsingaborð: meðaldökkur húðlitur, upplýsingar
💁🏿	aðstoð, dökkur húðlitur, fólk, hjálp, upplýsingaborð, upplýsingaborð: dökkur húðlitur, upplýsingar
💁‍♂	karl, léttur, lófi, maður réttir út lófa
💁🏻‍♂	karl, ljós húðlitur, léttur, lófi, maður réttir út lófa, maður réttir út lófa: ljós húðlitur
💁🏼‍♂	karl, léttur, lófi, maður réttir út lófa, maður réttir út lófa: meðalljós húðlitur, meðalljós húðlitur
💁🏽‍♂	karl, léttur, lófi, maður réttir út lófa, maður réttir út lófa: millihúðlitur, millihúðlitur
💁🏾‍♂	karl, léttur, lófi, maður réttir út lófa, maður réttir út lófa: meðaldökkur húðlitur, meðaldökkur húðlitur
💁🏿‍♂	dökkur húðlitur, karl, léttur, lófi, maður réttir út lófa, maður réttir út lófa: dökkur húðlitur
💁‍♀	kona, kona réttir út lófa, létt, lófi
💁🏻‍♀	kona, kona réttir út lófa, kona réttir út lófa: ljós húðlitur, ljós húðlitur, létt, lófi
💁🏼‍♀	kona, kona réttir út lófa, kona réttir út lófa: meðalljós húðlitur, létt, lófi, meðalljós húðlitur
💁🏽‍♀	kona, kona réttir út lófa, kona réttir út lófa: millihúðlitur, létt, lófi, millihúðlitur
💁🏾‍♀	kona, kona réttir út lófa, kona réttir út lófa: meðaldökkur húðlitur, létt, lófi, meðaldökkur húðlitur
💁🏿‍♀	dökkur húðlitur, kona, kona réttir út lófa, kona réttir út lófa: dökkur húðlitur, létt, lófi
🙋	gleði, upprétt hönd, önnur hönd
🙋🏻	gleði, gleði: ljós húðlitur, ljós húðlitur, upprétt hönd, önnur hönd
🙋🏼	gleði, gleði: meðalljós húðlitur, meðalljós húðlitur, upprétt hönd, önnur hönd
🙋🏽	gleði, gleði: millihúðlitur, millihúðlitur, upprétt hönd, önnur hönd
🙋🏾	gleði, gleði: meðaldökkur húðlitur, meðaldökkur húðlitur, upprétt hönd, önnur hönd
🙋🏿	dökkur húðlitur, gleði, gleði: dökkur húðlitur, upprétt hönd, önnur hönd
🙋‍♂	karl, maður réttir upp hönd, rétta upp hönd, upprétt hönd
🙋🏻‍♂	karl, ljós húðlitur, maður réttir upp hönd, maður réttir upp hönd: ljós húðlitur, rétta upp hönd, upprétt hönd
🙋🏼‍♂	karl, maður réttir upp hönd, maður réttir upp hönd: meðalljós húðlitur, meðalljós húðlitur, rétta upp hönd, upprétt hönd
🙋🏽‍♂	karl, maður réttir upp hönd, maður réttir upp hönd: millihúðlitur, millihúðlitur, rétta upp hönd, upprétt hönd
🙋🏾‍♂	karl, maður réttir upp hönd, maður réttir upp hönd: meðaldökkur húðlitur, meðaldökkur húðlitur, rétta upp hönd, upprétt hönd
🙋🏿‍♂	dökkur húðlitur, karl, maður réttir upp hönd, maður réttir upp hönd: dökkur húðlitur, rétta upp hönd, upprétt hönd
🙋‍♀	kona, kona réttir upp hönd, rétta upp hönd, upprétt hönd
🙋🏻‍♀	kona, kona réttir upp hönd, kona réttir upp hönd: ljós húðlitur, ljós húðlitur, rétta upp hönd, upprétt hönd
🙋🏼‍♀	kona, kona réttir upp hönd, kona réttir upp hönd: meðalljós húðlitur, meðalljós húðlitur, rétta upp hönd, upprétt hönd
🙋🏽‍♀	kona, kona réttir upp hönd, kona réttir upp hönd: millihúðlitur, millihúðlitur, rétta upp hönd, upprétt hönd
🙋🏾‍♀	kona, kona réttir upp hönd, kona réttir upp hönd: meðaldökkur húðlitur, meðaldökkur húðlitur, rétta upp hönd, upprétt hönd
🙋🏿‍♀	dökkur húðlitur, kona, kona réttir upp hönd, kona réttir upp hönd: dökkur húðlitur, rétta upp hönd, upprétt hönd
🧏	aðgengi, eyra, heyra, heyrnarlaus
🧏🏻	aðgengi, eyra, heyra, heyrnarlaus, heyrnarlaus: ljós húðlitur, ljós húðlitur
🧏🏼	aðgengi, eyra, heyra, heyrnarlaus, heyrnarlaus: meðalljós húðlitur, meðalljós húðlitur
🧏🏽	aðgengi, eyra, heyra, heyrnarlaus, heyrnarlaus: millihúðlitur, millihúðlitur
🧏🏾	aðgengi, eyra, heyra, heyrnarlaus, heyrnarlaus: meðaldökkur húðlitur, meðaldökkur húðlitur
🧏🏿	aðgengi, dökkur húðlitur, eyra, heyra, heyrnarlaus, heyrnarlaus: dökkur húðlitur
🧏‍♂	heyrnarlaus, heyrnarlaus karl, maður
🧏🏻‍♂	heyrnarlaus, heyrnarlaus karl, heyrnarlaus karl: ljós húðlitur, ljós húðlitur, maður
🧏🏼‍♂	heyrnarlaus, heyrnarlaus karl, heyrnarlaus karl: meðalljós húðlitur, maður, meðalljós húðlitur
🧏🏽‍♂	heyrnarlaus, heyrnarlaus karl, heyrnarlaus karl: millihúðlitur, maður, millihúðlitur
🧏🏾‍♂	heyrnarlaus, heyrnarlaus karl, heyrnarlaus karl: meðaldökkur húðlitur, maður, meðaldökkur húðlitur
🧏🏿‍♂	dökkur húðlitur, heyrnarlaus, heyrnarlaus karl, heyrnarlaus karl: dökkur húðlitur, maður
🧏‍♀	heyrnarlaus, heyrnarlaus kona, kona
🧏🏻‍♀	heyrnarlaus, heyrnarlaus kona: ljós húðlitur, kona, ljós húðlitur
🧏🏼‍♀	heyrnarlaus, heyrnarlaus kona: meðalljós húðlitur, kona, meðalljós húðlitur
🧏🏽‍♀	heyrnarlaus, heyrnarlaus kona: millihúðlitur, kona, millihúðlitur
🧏🏾‍♀	heyrnarlaus, heyrnarlaus kona: meðaldökkur húðlitur, kona, meðaldökkur húðlitur
🧏🏿‍♀	dökkur húðlitur, heyrnarlaus, heyrnarlaus kona: dökkur húðlitur, kona
🙇	auðmýkt, fyrirgefðu, hneiging, hneigja
🙇🏻	auðmýkt, fyrirgefðu, fyrirgefðu: ljós húðlitur, hneiging, hneigja, ljós húðlitur
🙇🏼	auðmýkt, fyrirgefðu, fyrirgefðu: meðalljós húðlitur, hneiging, hneigja, meðalljós húðlitur
🙇🏽	auðmýkt, fyrirgefðu, fyrirgefðu: millihúðlitur, hneiging, hneigja, millihúðlitur
🙇🏾	auðmýkt, fyrirgefðu, fyrirgefðu: meðaldökkur húðlitur, hneiging, hneigja, meðaldökkur húðlitur
🙇🏿	auðmýkt, dökkur húðlitur, fyrirgefðu, fyrirgefðu: dökkur húðlitur, hneiging, hneigja
🙇‍♂	afsakið, auðmýkt, hneiging, karl, maður hneigir sig
🙇🏻‍♂	afsakið, auðmýkt, hneiging, karl, ljós húðlitur, maður hneigir sig, maður hneigir sig: ljós húðlitur
🙇🏼‍♂	afsakið, auðmýkt, hneiging, karl, maður hneigir sig, maður hneigir sig: meðalljós húðlitur, meðalljós húðlitur
🙇🏽‍♂	afsakið, auðmýkt, hneiging, karl, maður hneigir sig, maður hneigir sig: millihúðlitur, millihúðlitur
🙇🏾‍♂	afsakið, auðmýkt, hneiging, karl, maður hneigir sig, maður hneigir sig: meðaldökkur húðlitur, meðaldökkur húðlitur
🙇🏿‍♂	afsakið, auðmýkt, dökkur húðlitur, hneiging, karl, maður hneigir sig, maður hneigir sig: dökkur húðlitur
🙇‍♀	afsakið, auðmýkt, hneiging, kona, kona hneigir sig
🙇🏻‍♀	afsakið, auðmýkt, hneiging, kona, kona hneigir sig, kona hneigir sig: ljós húðlitur, ljós húðlitur
🙇🏼‍♀	afsakið, auðmýkt, hneiging, kona, kona hneigir sig, kona hneigir sig: meðalljós húðlitur, meðalljós húðlitur
🙇🏽‍♀	afsakið, auðmýkt, hneiging, kona, kona hneigir sig, kona hneigir sig: millihúðlitur, millihúðlitur
🙇🏾‍♀	afsakið, auðmýkt, hneiging, kona, kona hneigir sig, kona hneigir sig: meðaldökkur húðlitur, meðaldökkur húðlitur
🙇🏿‍♀	afsakið, auðmýkt, dökkur húðlitur, hneiging, kona, kona hneigir sig, kona hneigir sig: dökkur húðlitur
🤦	andlit, hönd, hönd fyrir andlit, lófi
🤦🏻	andlit, hönd, hönd fyrir andlit, hönd fyrir andlit: ljós húðlitur, ljós húðlitur, lófi
🤦🏼	andlit, hönd, hönd fyrir andlit, hönd fyrir andlit: meðalljós húðlitur, lófi, meðalljós húðlitur
🤦🏽	andlit, hönd, hönd fyrir andlit, hönd fyrir andlit: millihúðlitur, lófi, millihúðlitur
🤦🏾	andlit, hönd, hönd fyrir andlit, hönd fyrir andlit: meðaldökkur húðlitur, lófi, meðaldökkur húðlitur
🤦🏿	andlit, dökkur húðlitur, hönd, hönd fyrir andlit, hönd fyrir andlit: dökkur húðlitur, lófi
🤦‍♂	andlit, hönd, karl, lófi, maður með hönd fyrir andlit
🤦🏻‍♂	andlit, hönd, karl, ljós húðlitur, lófi, maður með hönd fyrir andlit, maður með hönd fyrir andlit: ljós húðlitur
🤦🏼‍♂	andlit, hönd, karl, lófi, maður með hönd fyrir andlit, maður með hönd fyrir andlit: meðalljós húðlitur, meðalljós húðlitur
🤦🏽‍♂	andlit, hönd, karl, lófi, maður með hönd fyrir andlit, maður með hönd fyrir andlit: millihúðlitur, millihúðlitur
🤦🏾‍♂	andlit, hönd, karl, lófi, maður með hönd fyrir andlit, maður með hönd fyrir andlit: meðaldökkur húðlitur, meðaldökkur húðlitur
🤦🏿‍♂	andlit, dökkur húðlitur, hönd, karl, lófi, maður með hönd fyrir andlit, maður með hönd fyrir andlit: dökkur húðlitur
🤦‍♀	andlit, hönd, kona, kona með hönd fyrir andlit, lófi
🤦🏻‍♀	andlit, hönd, kona, kona með hönd fyrir andlit, kona með hönd fyrir andlit: ljós húðlitur, ljós húðlitur, lófi
🤦🏼‍♀	andlit, hönd, kona, kona með hönd fyrir andlit, kona með hönd fyrir andlit: meðalljós húðlitur, lófi, meðalljós húðlitur
🤦🏽‍♀	andlit, hönd, kona, kona með hönd fyrir andlit, kona með hönd fyrir andlit: millihúðlitur, lófi, millihúðlitur
🤦🏾‍♀	andlit, hönd, kona, kona með hönd fyrir andlit, kona með hönd fyrir andlit: meðaldökkur húðlitur, lófi, meðaldökkur húðlitur
🤦🏿‍♀	andlit, dökkur húðlitur, hönd, kona, kona með hönd fyrir andlit, kona með hönd fyrir andlit: dökkur húðlitur, lófi
🤷	axlir, yppa, yppir öxlum
🤷🏻	axlir, ljós húðlitur, yppa, yppir öxlum, yppir öxlum: ljós húðlitur
🤷🏼	axlir, meðalljós húðlitur, yppa, yppir öxlum, yppir öxlum: meðalljós húðlitur
🤷🏽	axlir, millihúðlitur, yppa, yppir öxlum, yppir öxlum: millihúðlitur
🤷🏾	axlir, meðaldökkur húðlitur, yppa, yppir öxlum, yppir öxlum: meðaldökkur húðlitur
🤷🏿	axlir, dökkur húðlitur, yppa, yppir öxlum, yppir öxlum: dökkur húðlitur
🤷‍♂	karl, maður yppir öxlum, yppa, öxlum
🤷🏻‍♂	karl, ljós húðlitur, maður yppir öxlum, maður yppir öxlum: ljós húðlitur, yppa, öxlum
🤷🏼‍♂	karl, maður yppir öxlum, maður yppir öxlum: meðalljós húðlitur, meðalljós húðlitur, yppa, öxlum
🤷🏽‍♂	karl, maður yppir öxlum, maður yppir öxlum: millihúðlitur, millihúðlitur, yppa, öxlum
🤷🏾‍♂	karl, maður yppir öxlum, maður yppir öxlum: meðaldökkur húðlitur, meðaldökkur húðlitur, yppa, öxlum
🤷🏿‍♂	dökkur húðlitur, karl, maður yppir öxlum, maður yppir öxlum: dökkur húðlitur, yppa, öxlum
🤷‍♀	kona, kona yppir öxlum, yppa, öxlum
🤷🏻‍♀	kona, kona yppir öxlum, kona yppir öxlum: ljós húðlitur, ljós húðlitur, yppa, öxlum
🤷🏼‍♀	kona, kona yppir öxlum, kona yppir öxlum: meðalljós húðlitur, meðalljós húðlitur, yppa, öxlum
🤷🏽‍♀	kona, kona yppir öxlum, kona yppir öxlum: millihúðlitur, millihúðlitur, yppa, öxlum
🤷🏾‍♀	kona, kona yppir öxlum, kona yppir öxlum: meðaldökkur húðlitur, meðaldökkur húðlitur, yppa, öxlum
🤷🏿‍♀	dökkur húðlitur, kona, kona yppir öxlum, kona yppir öxlum: dökkur húðlitur, yppa, öxlum
👨‍⚕	heilsa, hjúkrunarfræðingur, karl, karlkyns heilbrigðisstarfsmaður, læknir
👨🏻‍⚕	heilsa, hjúkrunarfræðingur, karl, karlkyns heilbrigðisstarfsmaður, karlkyns heilbrigðisstarfsmaður: ljós húðlitur, ljós húðlitur, læknir
👨🏼‍⚕	heilsa, hjúkrunarfræðingur, karl, karlkyns heilbrigðisstarfsmaður, karlkyns heilbrigðisstarfsmaður: meðalljós húðlitur, læknir, meðalljós húðlitur
👨🏽‍⚕	heilsa, hjúkrunarfræðingur, karl, karlkyns heilbrigðisstarfsmaður, karlkyns heilbrigðisstarfsmaður: millihúðlitur, læknir, millihúðlitur
👨🏾‍⚕	heilsa, hjúkrunarfræðingur, karl, karlkyns heilbrigðisstarfsmaður, karlkyns heilbrigðisstarfsmaður: meðaldökkur húðlitur, læknir, meðaldökkur húðlitur
👨🏿‍⚕	dökkur húðlitur, heilsa, hjúkrunarfræðingur, karl, karlkyns heilbrigðisstarfsmaður, karlkyns heilbrigðisstarfsmaður: dökkur húðlitur, læknir
👩‍⚕	heilsa, hjúkrunarfræðingur, kona, kvenkyns heilbrigðisstarfsmaður, læknir
👩🏻‍⚕	heilsa, hjúkrunarfræðingur, kona, kvenkyns heilbrigðisstarfsmaður, kvenkyns heilbrigðisstarfsmaður: ljós húðlitur, ljós húðlitur, læknir
👩🏼‍⚕	heilsa, hjúkrunarfræðingur, kona, kvenkyns heilbrigðisstarfsmaður, kvenkyns heilbrigðisstarfsmaður: meðalljós húðlitur, læknir, meðalljós húðlitur
👩🏽‍⚕	heilsa, hjúkrunarfræðingur, kona, kvenkyns heilbrigðisstarfsmaður, kvenkyns heilbrigðisstarfsmaður: millihúðlitur, læknir, millihúðlitur
👩🏾‍⚕	heilsa, hjúkrunarfræðingur, kona, kvenkyns heilbrigðisstarfsmaður, kvenkyns heilbrigðisstarfsmaður: meðaldökkur húðlitur, læknir, meðaldökkur húðlitur
👩🏿‍⚕	dökkur húðlitur, heilsa, hjúkrunarfræðingur, kona, kvenkyns heilbrigðisstarfsmaður, kvenkyns heilbrigðisstarfsmaður: dökkur húðlitur, læknir
👨‍🎓	karl, karlkyns námsmaður, nemandi, námsmaður, útskrift
👨🏻‍🎓	karl, karlkyns námsmaður, karlkyns námsmaður: ljós húðlitur, ljós húðlitur, nemandi, námsmaður, útskrift
👨🏼‍🎓	karl, karlkyns námsmaður, karlkyns námsmaður: meðalljós húðlitur, meðalljós húðlitur, nemandi, námsmaður, útskrift
👨🏽‍🎓	karl, karlkyns námsmaður, karlkyns námsmaður: millihúðlitur, millihúðlitur, nemandi, námsmaður, útskrift
👨🏾‍🎓	karl, karlkyns námsmaður, karlkyns námsmaður: meðaldökkur húðlitur, meðaldökkur húðlitur, nemandi, námsmaður, útskrift
👨🏿‍🎓	dökkur húðlitur, karl, karlkyns námsmaður, karlkyns námsmaður: dökkur húðlitur, nemandi, námsmaður, útskrift
👩‍🎓	kona, kvenkyns námsmaður, nemandi, námsmaður, útskrift
👩🏻‍🎓	kona, kvenkyns námsmaður, kvenkyns námsmaður: ljós húðlitur, ljós húðlitur, nemandi, námsmaður, útskrift
👩🏼‍🎓	kona, kvenkyns námsmaður, kvenkyns námsmaður: meðalljós húðlitur, meðalljós húðlitur, nemandi, námsmaður, útskrift
👩🏽‍🎓	kona, kvenkyns námsmaður, kvenkyns námsmaður: millihúðlitur, millihúðlitur, nemandi, námsmaður, útskrift
👩🏾‍🎓	kona, kvenkyns námsmaður, kvenkyns námsmaður: meðaldökkur húðlitur, meðaldökkur húðlitur, nemandi, námsmaður, útskrift
👩🏿‍🎓	dökkur húðlitur, kona, kvenkyns námsmaður, kvenkyns námsmaður: dökkur húðlitur, nemandi, námsmaður, útskrift
👨‍🏫	karl, karlkyns kennari, kennari, leiðbeinandi, skóli
👨🏻‍🏫	karl, karlkyns kennari, karlkyns kennari: ljós húðlitur, kennari, leiðbeinandi, ljós húðlitur, skóli
👨🏼‍🏫	karl, karlkyns kennari, karlkyns kennari: meðalljós húðlitur, kennari, leiðbeinandi, meðalljós húðlitur, skóli
👨🏽‍🏫	karl, karlkyns kennari, karlkyns kennari: millihúðlitur, kennari, leiðbeinandi, millihúðlitur, skóli
👨🏾‍🏫	karl, karlkyns kennari, karlkyns kennari: meðaldökkur húðlitur, kennari, leiðbeinandi, meðaldökkur húðlitur, skóli
👨🏿‍🏫	dökkur húðlitur, karl, karlkyns kennari, karlkyns kennari: dökkur húðlitur, kennari, leiðbeinandi, skóli
👩‍🏫	kennari, kona, kvenkyns kennari, leiðbeinandi, skóli
👩🏻‍🏫	kennari, kona, kvenkyns kennari, kvenkyns kennari: ljós húðlitur, leiðbeinandi, ljós húðlitur, skóli
👩🏼‍🏫	kennari, kona, kvenkyns kennari, kvenkyns kennari: meðalljós húðlitur, leiðbeinandi, meðalljós húðlitur, skóli
👩🏽‍🏫	kennari, kona, kvenkyns kennari, kvenkyns kennari: millihúðlitur, leiðbeinandi, millihúðlitur, skóli
👩🏾‍🏫	kennari, kona, kvenkyns kennari, kvenkyns kennari: meðaldökkur húðlitur, leiðbeinandi, meðaldökkur húðlitur, skóli
👩🏿‍🏫	dökkur húðlitur, kennari, kona, kvenkyns kennari, kvenkyns kennari: dökkur húðlitur, leiðbeinandi, skóli
👨‍⚖	dómari, dómur, karl, karlkyns dómari, réttur
👨🏻‍⚖	dómari, dómur, karl, karlkyns dómari, karlkyns dómari: ljós húðlitur, ljós húðlitur, réttur
👨🏼‍⚖	dómari, dómur, karl, karlkyns dómari, karlkyns dómari: meðalljós húðlitur, meðalljós húðlitur, réttur
👨🏽‍⚖	dómari, dómur, karl, karlkyns dómari, karlkyns dómari: millihúðlitur, millihúðlitur, réttur
👨🏾‍⚖	dómari, dómur, karl, karlkyns dómari, karlkyns dómari: meðaldökkur húðlitur, meðaldökkur húðlitur, réttur
👨🏿‍⚖	dómari, dómur, dökkur húðlitur, karl, karlkyns dómari, karlkyns dómari: dökkur húðlitur, réttur
👩‍⚖	dómari, dómur, kona, kvenkyns dómari, réttur
👩🏻‍⚖	dómari, dómur, kona, kvenkyns dómari, kvenkyns dómari: ljós húðlitur, ljós húðlitur, réttur
👩🏼‍⚖	dómari, dómur, kona, kvenkyns dómari, kvenkyns dómari: meðalljós húðlitur, meðalljós húðlitur, réttur
👩🏽‍⚖	dómari, dómur, kona, kvenkyns dómari, kvenkyns dómari: millihúðlitur, millihúðlitur, réttur
👩🏾‍⚖	dómari, dómur, kona, kvenkyns dómari, kvenkyns dómari: meðaldökkur húðlitur, meðaldökkur húðlitur, réttur
👩🏿‍⚖	dómari, dómur, dökkur húðlitur, kona, kvenkyns dómari, kvenkyns dómari: dökkur húðlitur, réttur
👨‍🌾	bóndi, garðyrkjumaður, karl, karlkyns bóndi
👨🏻‍🌾	bóndi, garðyrkjumaður, karl, karlkyns bóndi, karlkyns bóndi: ljós húðlitur, ljós húðlitur
👨🏼‍🌾	bóndi, garðyrkjumaður, karl, karlkyns bóndi, karlkyns bóndi: meðalljós húðlitur, meðalljós húðlitur
👨🏽‍🌾	bóndi, garðyrkjumaður, karl, karlkyns bóndi, karlkyns bóndi: millihúðlitur, millihúðlitur
👨🏾‍🌾	bóndi, garðyrkjumaður, karl, karlkyns bóndi, karlkyns bóndi: meðaldökkur húðlitur, meðaldökkur húðlitur
👨🏿‍🌾	bóndi, dökkur húðlitur, garðyrkjumaður, karl, karlkyns bóndi, karlkyns bóndi: dökkur húðlitur
👩‍🌾	bóndi, garðyrkjumaður, kona, kvenkyns bóndi
👩🏻‍🌾	bóndi, garðyrkjumaður, kona, kvenkyns bóndi, kvenkyns bóndi: ljós húðlitur, ljós húðlitur
👩🏼‍🌾	bóndi, garðyrkjumaður, kona, kvenkyns bóndi, kvenkyns bóndi: meðalljós húðlitur, meðalljós húðlitur
👩🏽‍🌾	bóndi, garðyrkjumaður, kona, kvenkyns bóndi, kvenkyns bóndi: millihúðlitur, millihúðlitur
👩🏾‍🌾	bóndi, garðyrkjumaður, kona, kvenkyns bóndi, kvenkyns bóndi: meðaldökkur húðlitur, meðaldökkur húðlitur
👩🏿‍🌾	bóndi, dökkur húðlitur, garðyrkjumaður, kona, kvenkyns bóndi, kvenkyns bóndi: dökkur húðlitur
👨‍🍳	elda, karl, karlkyns kokkur, kokkur, matreiðsla
👨🏻‍🍳	elda, karl, karlkyns kokkur, karlkyns kokkur: ljós húðlitur, kokkur, ljós húðlitur, matreiðsla
👨🏼‍🍳	elda, karl, karlkyns kokkur, karlkyns kokkur: meðalljós húðlitur, kokkur, matreiðsla, meðalljós húðlitur
👨🏽‍🍳	elda, karl, karlkyns kokkur, karlkyns kokkur: millihúðlitur, kokkur, matreiðsla, millihúðlitur
👨🏾‍🍳	elda, karl, karlkyns kokkur, karlkyns kokkur: meðaldökkur húðlitur, kokkur, matreiðsla, meðaldökkur húðlitur
👨🏿‍🍳	dökkur húðlitur, elda, karl, karlkyns kokkur, karlkyns kokkur: dökkur húðlitur, kokkur, matreiðsla
👩‍🍳	elda, kokkur, kona, kvenkyns kokkur, matreiðsla
👩🏻‍🍳	elda, kokkur, kona, kvenkyns kokkur, kvenkyns kokkur: ljós húðlitur, ljós húðlitur, matreiðsla
👩🏼‍🍳	elda, kokkur, kona, kvenkyns kokkur, kvenkyns kokkur: meðalljós húðlitur, matreiðsla, meðalljós húðlitur
👩🏽‍🍳	elda, kokkur, kona, kvenkyns kokkur, kvenkyns kokkur: millihúðlitur, matreiðsla, millihúðlitur
👩🏾‍🍳	elda, kokkur, kona, kvenkyns kokkur, kvenkyns kokkur: meðaldökkur húðlitur, matreiðsla, meðaldökkur húðlitur
👩🏿‍🍳	dökkur húðlitur, elda, kokkur, kona, kvenkyns kokkur, kvenkyns kokkur: dökkur húðlitur, matreiðsla
👨‍🔧	karl, karl með skiptilykil, verkfæri, viðgerð, viðhald
👨🏻‍🔧	karl, karl með skiptilykil, karl með skiptilykil: ljós húðlitur, ljós húðlitur, verkfæri, viðgerð, viðhald
👨🏼‍🔧	karl, karl með skiptilykil, karl með skiptilykil: meðalljós húðlitur, meðalljós húðlitur, verkfæri, viðgerð, viðhald
👨🏽‍🔧	karl, karl með skiptilykil, karl með skiptilykil: millihúðlitur, millihúðlitur, verkfæri, viðgerð, viðhald
👨🏾‍🔧	karl, karl með skiptilykil, karl með skiptilykil: meðaldökkur húðlitur, meðaldökkur húðlitur, verkfæri, viðgerð, viðhald
👨🏿‍🔧	dökkur húðlitur, karl, karl með skiptilykil, karl með skiptilykil: dökkur húðlitur, verkfæri, viðgerð, viðhald
👩‍🔧	kona, kona með skiptilykil, verkfæri, viðgerð, viðhald
👩🏻‍🔧	kona, kona með skiptilykil, kona með skiptilykil: ljós húðlitur, ljós húðlitur, verkfæri, viðgerð, viðhald
👩🏼‍🔧	kona, kona með skiptilykil, kona með skiptilykil: meðalljós húðlitur, meðalljós húðlitur, verkfæri, viðgerð, viðhald
👩🏽‍🔧	kona, kona með skiptilykil, kona með skiptilykil: millihúðlitur, millihúðlitur, verkfæri, viðgerð, viðhald
👩🏾‍🔧	kona, kona með skiptilykil, kona með skiptilykil: meðaldökkur húðlitur, meðaldökkur húðlitur, verkfæri, viðgerð, viðhald
👩🏿‍🔧	dökkur húðlitur, kona, kona með skiptilykil, kona með skiptilykil: dökkur húðlitur, verkfæri, viðgerð, viðhald
