😀	bahagia, gembira, muka, senang, wajah, wajah gembira
👽️	alien, ekstraterestrial, fantasi, makhluk, ufo, wajah
👾	alien, ekstraterestrial, makhluk, monster, monster alien, ufo, wajah
🤖	monster, muka, robot, wajah, wajah robot
😺	kucing, muka, mulut, senyum, terbuka, wajah, wajah kucing tersenyum lebar
😸	gembira, kucing, mata, muka, senyum, seringai, wajah, wajah kucing gembira dengan mata bahagia
😹	air, bahagia, gembira, kucing, mata, muka, senang, wajah, wajah kucing gembira berurai air mata
😻	cinta, hati, kucing, mata, muka, senyum, wajah, wajah kucing gembira bermata hati
😼	ejek, kucing, muka, senyum, sinis, sombong, wajah, wajah kucing tersenyum sombong
😽	cium, kucing, mata, muka, wajah, wajah kucing memberikan ciuman dengan mata tertutup
🙀	kaget, kucing, lelah, muka, oh, takut, wajah, wajah kucing ketakutan
😿	air, kucing, mata, muka, nangis, sedih, wajah, wajah kucing menangis
😾	kucing, marah, muka, wajah, wajah kucing marah
🙈	dilarang, jahat, lihat, monyet, monyet tidak melihat, tidak melihat, wajah
🙉	dengar, dilarang, jahat, monyet, monyet tidak mendengar, tidak mendengar, wajah
🙊	bicara, dilarang, jahat, monyet, monyet tidak berbicara, tidak bicara, wajah
💋	bibir, cium, hati, romantis, tanda ciuman
💌	cinta, hati, romantis, surat, surat cinta
💘	asmara, hati, hati terpanah, panah, romantis
💝	hati, hati berpita, pita, valentine
💖	bahagia, bersinar, hati, hati bersinar
💗	deg, detak, gembira, gugup, hati, hati membesar, jantung
💓	denyut, detak, hati, hati berdetak, jantung
💞	berputar, hati, hati berputar
💕	cinta, dua hati, hati
💟	dekorasi hati, hati
❣️	hati, seru, tanda, tanda seru berbentuk hati
💔	hati, patah, patah hati, putus
❤️	hati, hati merah
🧡	hati, hati oranye, oranye
💛	hati, hati kuning, kuning
💚	hati, hati hijau, hijau
💙	biru, hati, hati biru
💜	hati, hati ungu, ungu
🤎	cokelat, hati, hati cokelat
🖤	hati, hati hitam, hitam, jahat, kejam
🤍	hati, hati putih, putih
💯	100, lengkap, nilai seratus, seratus, skor
💢	komik, marah
💥	komik, nabrak, tabrakan
💫	bintang, komik, pusing
💦	ciprat, keringat, komik
💨	berlari, kabur, komik, lari
🕳️	lobang, lubang
💣️	bom, komik
💬	balon, balon ucapan, dialog, gelembung, komik, ucapan
👁‍🗨	gelembung, mata, mata di dalam gelembung ucapan, ucapan
🗨️	dialog, gelembung ucapan kiri, ucapan
🗯️	balon, gelembung, gelembung marah kanan, marah
💭	balon, gelembung, gelembung pikiran, komik, mikir, pikir
💤	komik, tidur, zzz
👋	badan, lambai, tangan, tangan melambai, tubuh
👋🏻	badan, lambai, tangan, tangan melambai, tangan melambai: warna kulit cerah, tubuh, warna kulit cerah
👋🏼	badan, lambai, tangan, tangan melambai, tangan melambai: warna kulit cerah-sedang, tubuh, warna kulit cerah-sedang
👋🏽	badan, lambai, tangan, tangan melambai, tangan melambai: warna kulit sedang, tubuh, warna kulit sedang
👋🏾	badan, lambai, tangan, tangan melambai, tangan melambai: warna kulit gelap-sedang, tubuh, warna kulit gelap-sedang
👋🏿	badan, lambai, tangan, tangan melambai, tangan melambai: warna kulit gelap, tubuh, warna kulit gelap
🤚	angkat tangan, berhenti, jangan, stop
🤚🏻	angkat tangan, angkat tangan: warna kulit cerah, berhenti, jangan, stop, warna kulit cerah
🤚🏼	angkat tangan, angkat tangan: warna kulit cerah-sedang, berhenti, jangan, stop, warna kulit cerah-sedang
🤚🏽	angkat tangan, angkat tangan: warna kulit sedang, berhenti, jangan, stop, warna kulit sedang
🤚🏾	angkat tangan, angkat tangan: warna kulit gelap-sedang, berhenti, jangan, stop, warna kulit gelap-sedang
🤚🏿	angkat tangan, angkat tangan: warna kulit gelap, berhenti, jangan, stop, warna kulit gelap
🖐️	badan, jari, tangan, telapak tangan terbuka, terbuka, tos, tubuh
🖐🏻	badan, jari, tangan, telapak tangan terbuka, telapak tangan terbuka: warna kulit cerah, terbuka, tos, tubuh, warna kulit cerah
🖐🏼	badan, jari, tangan, telapak tangan terbuka, telapak tangan terbuka: warna kulit cerah-sedang, terbuka, tos, tubuh, warna kulit cerah-sedang
🖐🏽	badan, jari, tangan, telapak tangan terbuka, telapak tangan terbuka: warna kulit sedang, terbuka, tos, tubuh, warna kulit sedang
🖐🏾	badan, jari, tangan, telapak tangan terbuka, telapak tangan terbuka: warna kulit gelap-sedang, terbuka, tos, tubuh, warna kulit gelap-sedang
🖐🏿	badan, jari, tangan, telapak tangan terbuka, telapak tangan terbuka: warna kulit gelap, terbuka, tos, tubuh, warna kulit gelap
✋	badan, rapat, tangan, telapak tangan terbuka dengan jari rapat, tubuh
✋🏻	badan, rapat, tangan, telapak tangan terbuka dengan jari rapat, telapak tangan terbuka dengan jari rapat: warna kulit cerah, tubuh, warna kulit cerah
✋🏼	badan, rapat, tangan, telapak tangan terbuka dengan jari rapat, telapak tangan terbuka dengan jari rapat: warna kulit cerah-sedang, tubuh, warna kulit cerah-sedang
✋🏽	badan, rapat, tangan, telapak tangan terbuka dengan jari rapat, telapak tangan terbuka dengan jari rapat: warna kulit sedang, tubuh, warna kulit sedang
✋🏾	badan, rapat, tangan, telapak tangan terbuka dengan jari rapat, telapak tangan terbuka dengan jari rapat: warna kulit gelap-sedang, tubuh, warna kulit gelap-sedang
✋🏿	badan, rapat, tangan, telapak tangan terbuka dengan jari rapat, telapak tangan terbuka dengan jari rapat: warna kulit gelap, tubuh, warna kulit gelap
🖖	badan, jari, salam vulcan, spock, tangan, tubuh, vulcan
🖖🏻	badan, jari, salam vulcan, salam vulcan: warna kulit cerah, spock, tangan, tubuh, vulcan, warna kulit cerah
🖖🏼	badan, jari, salam vulcan, salam vulcan: warna kulit cerah-sedang, spock, tangan, tubuh, vulcan, warna kulit cerah-sedang
🖖🏽	badan, jari, salam vulcan, salam vulcan: warna kulit sedang, spock, tangan, tubuh, vulcan, warna kulit sedang
🖖🏾	badan, jari, salam vulcan, salam vulcan: warna kulit gelap-sedang, spock, tangan, tubuh, vulcan, warna kulit gelap-sedang
🖖🏿	badan, jari, salam vulcan, salam vulcan: warna kulit gelap, spock, tangan, tubuh, vulcan, warna kulit gelap
👌	badan, oke, tangan, tubuh
👌🏻	badan, oke, oke: warna kulit cerah, tangan, tubuh, warna kulit cerah
👌🏼	badan, oke, oke: warna kulit cerah-sedang, tangan, tubuh, warna kulit cerah-sedang
👌🏽	badan, oke, oke: warna kulit sedang, tangan, tubuh, warna kulit sedang
👌🏾	badan, oke, oke: warna kulit gelap-sedang, tangan, tubuh, warna kulit gelap-sedang
👌🏿	badan, oke, oke: warna kulit gelap, tangan, tubuh, warna kulit gelap
