😀	gezicht, grijns, grijnzend gezicht
🙇🏾‍♀	buigen, buigende vrouw, buigende vrouw: donkergetinte huidskleur, donkergetinte huidskleur, excuses, gebaar, gunst, sorry, vrouw
🙇🏿‍♀	buigen, buigende vrouw, buigende vrouw: donkere huidskleur, donkere huidskleur, excuses, gebaar, gunst, sorry, vrouw
🤦	ergernis, gezicht, ongeloof, palm, persoon die het gezicht met de hand bedekt
🤦🏻	ergernis, gezicht, lichte huidskleur, ongeloof, palm, persoon die het gezicht met de hand bedekt, persoon die het gezicht met de hand bedekt: lichte huidskleur
🤦🏼	ergernis, gezicht, lichtgetinte huidskleur, ongeloof, palm, persoon die het gezicht met de hand bedekt, persoon die het gezicht met de hand bedekt: lichtgetinte huidskleur
🤦🏽	ergernis, getinte huidskleur, gezicht, ongeloof, palm, persoon die het gezicht met de hand bedekt, persoon die het gezicht met de hand bedekt: getinte huidskleur
🤦🏾	donkergetinte huidskleur, ergernis, gezicht, ongeloof, palm, persoon die het gezicht met de hand bedekt, persoon die het gezicht met de hand bedekt: donkergetinte huidskleur
🤦🏿	donkere huidskleur, ergernis, gezicht, ongeloof, palm, persoon die het gezicht met de hand bedekt, persoon die het gezicht met de hand bedekt: donkere huidskleur
🤦‍♂	ergernis, facepalm, man, man die het gezicht met de hand bedekt, ongeloof
🤦🏻‍♂	ergernis, facepalm, lichte huidskleur, man, man die het gezicht met de hand bedekt, man die het gezicht met de hand bedekt: lichte huidskleur, ongeloof
🤦🏼‍♂	ergernis, facepalm, lichtgetinte huidskleur, man, man die het gezicht met de hand bedekt, man die het gezicht met de hand bedekt: lichtgetinte huidskleur, ongeloof
🤦🏽‍♂	ergernis, facepalm, getinte huidskleur, man, man die het gezicht met de hand bedekt, man die het gezicht met de hand bedekt: getinte huidskleur, ongeloof
🤦🏾‍♂	donkergetinte huidskleur, ergernis, facepalm, man, man die het gezicht met de hand bedekt, man die het gezicht met de hand bedekt: donkergetinte huidskleur, ongeloof
🤦🏿‍♂	donkere huidskleur, ergernis, facepalm, man, man die het gezicht met de hand bedekt, man die het gezicht met de hand bedekt: donkere huidskleur, ongeloof
🤦‍♀	ergernis, facepalm, ongeloof, vrouw, vrouw die het gezicht met de hand bedekt
🤦🏻‍♀	ergernis, facepalm, lichte huidskleur, ongeloof, vrouw, vrouw die het gezicht met de hand bedekt, vrouw die het gezicht met de hand bedekt: lichte huidskleur
🤦🏼‍♀	ergernis, facepalm, lichtgetinte huidskleur, ongeloof, vrouw, vrouw die het gezicht met de hand bedekt, vrouw die het gezicht met de hand bedekt: lichtgetinte huidskleur
🤦🏽‍♀	ergernis, facepalm, getinte huidskleur, ongeloof, vrouw, vrouw die het gezicht met de hand bedekt, vrouw die het gezicht met de hand bedekt: getinte huidskleur
🤦🏾‍♀	donkergetinte huidskleur, ergernis, facepalm, ongeloof, vrouw, vrouw die het gezicht met de hand bedekt, vrouw die het gezicht met de hand bedekt: donkergetinte huidskleur
🤦🏿‍♀	donkere huidskleur, ergernis, facepalm, ongeloof, vrouw, vrouw die het gezicht met de hand bedekt, vrouw die het gezicht met de hand bedekt: donkere huidskleur
🤷	onverschilligheid, onwetendheid, persoon die schouders ophaalt, schouderophalen, twijfel
🤷🏻	lichte huidskleur, onverschilligheid, onwetendheid, persoon die schouders ophaalt, persoon die schouders ophaalt: lichte huidskleur, schouderophalen, twijfel
🤷🏼	lichtgetinte huidskleur, onverschilligheid, onwetendheid, persoon die schouders ophaalt, persoon die schouders ophaalt: lichtgetinte huidskleur, schouderophalen, twijfel
🤷🏽	getinte huidskleur, onverschilligheid, onwetendheid, persoon die schouders ophaalt, persoon die schouders ophaalt: getinte huidskleur, schouderophalen, twijfel
🤷🏾	donkergetinte huidskleur, onverschilligheid, onwetendheid, persoon die schouders ophaalt, persoon die schouders ophaalt: donkergetinte huidskleur, schouderophalen, twijfel
🤷🏿	donkere huidskleur, onverschilligheid, onwetendheid, persoon die schouders ophaalt, persoon die schouders ophaalt: donkere huidskleur, schouderophalen, twijfel
🤷‍♂	man, man die schouders ophaalt, onverschilligheid, onwetendheid, schouderophalen, twijfel
🤷🏻‍♂	lichte huidskleur, man, man die schouders ophaalt, man die schouders ophaalt: lichte huidskleur, onverschilligheid, onwetendheid, schouderophalen, twijfel
🤷🏼‍♂	lichtgetinte huidskleur, man, man die schouders ophaalt, man die schouders ophaalt: lichtgetinte huidskleur, onverschilligheid, onwetendheid, schouderophalen, twijfel
🤷🏽‍♂	getinte huidskleur, man, man die schouders ophaalt, man die schouders ophaalt: getinte huidskleur, onverschilligheid, onwetendheid, schouderophalen, twijfel
🤷🏾‍♂	donkergetinte huidskleur, man, man die schouders ophaalt, man die schouders ophaalt: donkergetinte huidskleur, onverschilligheid, onwetendheid, schouderophalen, twijfel
🤷🏿‍♂	donkere huidskleur, man, man die schouders ophaalt, man die schouders ophaalt: donkere huidskleur, onverschilligheid, onwetendheid, schouderophalen, twijfel
🤷‍♀	onverschilligheid, onwetendheid, schouderophalen, twijfel, vrouw, vrouw die schouders ophaalt
🤷🏻‍♀	lichte huidskleur, onverschilligheid, onwetendheid, schouderophalen, twijfel, vrouw, vrouw die schouders ophaalt, vrouw die schouders ophaalt: lichte huidskleur
🤷🏼‍♀	lichtgetinte huidskleur, onverschilligheid, onwetendheid, schouderophalen, twijfel, vrouw, vrouw die schouders ophaalt, vrouw die schouders ophaalt: lichtgetinte huidskleur
🤷🏽‍♀	getinte huidskleur, onverschilligheid, onwetendheid, schouderophalen, twijfel, vrouw, vrouw die schouders ophaalt, vrouw die schouders ophaalt: getinte huidskleur
🤷🏾‍♀	donkergetinte huidskleur, onverschilligheid, onwetendheid, schouderophalen, twijfel, vrouw, vrouw die schouders ophaalt, vrouw die schouders ophaalt: donkergetinte huidskleur
🤷🏿‍♀	donkere huidskleur, onverschilligheid, onwetendheid, schouderophalen, twijfel, vrouw, vrouw die schouders ophaalt, vrouw die schouders ophaalt: donkere huidskleur
👨‍⚕	dokter, gezondheidsmedewerker, gezondheidszorg, man, therapeut, verpleger
👨🏻‍⚕	dokter, gezondheidsmedewerker, gezondheidsmedewerker: lichte huidskleur, gezondheidszorg, lichte huidskleur, man, therapeut, verpleger
👨🏼‍⚕	dokter, gezondheidsmedewerker, gezondheidsmedewerker: lichtgetinte huidskleur, gezondheidszorg, lichtgetinte huidskleur, man, therapeut, verpleger
👨🏽‍⚕	dokter, getinte huidskleur, gezondheidsmedewerker, gezondheidsmedewerker: getinte huidskleur, gezondheidszorg, man, therapeut, verpleger
👨🏾‍⚕	dokter, donkergetinte huidskleur, gezondheidsmedewerker, gezondheidsmedewerker: donkergetinte huidskleur, gezondheidszorg, man, therapeut, verpleger
👨🏿‍⚕	dokter, donkere huidskleur, gezondheidsmedewerker, gezondheidsmedewerker: donkere huidskleur, gezondheidszorg, man, therapeut, verpleger
👩‍⚕	dokter, gezondheidsmedewerkster, gezondheidszorg, therapeute, verpleegster, vrouw
👩🏻‍⚕	dokter, gezondheidsmedewerkster, gezondheidsmedewerkster: lichte huidskleur, gezondheidszorg, lichte huidskleur, therapeute, verpleegster, vrouw
👩🏼‍⚕	dokter, gezondheidsmedewerkster, gezondheidsmedewerkster: lichtgetinte huidskleur, gezondheidszorg, lichtgetinte huidskleur, therapeute, verpleegster, vrouw
👩🏽‍⚕	dokter, getinte huidskleur, gezondheidsmedewerkster, gezondheidsmedewerkster: getinte huidskleur, gezondheidszorg, therapeute, verpleegster, vrouw
👩🏾‍⚕	dokter, donkergetinte huidskleur, gezondheidsmedewerkster, gezondheidsmedewerkster: donkergetinte huidskleur, gezondheidszorg, therapeute, verpleegster, vrouw
👩🏿‍⚕	dokter, donkere huidskleur, gezondheidsmedewerkster, gezondheidsmedewerkster: donkere huidskleur, gezondheidszorg, therapeute, verpleegster, vrouw
👨‍🎓	jongen, man, scholier, student
👨🏻‍🎓	jongen, lichte huidskleur, man, scholier, student, student: lichte huidskleur
👨🏼‍🎓	jongen, lichtgetinte huidskleur, man, scholier, student, student: lichtgetinte huidskleur
👨🏽‍🎓	getinte huidskleur, jongen, man, scholier, student, student: getinte huidskleur
👨🏾‍🎓	donkergetinte huidskleur, jongen, man, scholier, student, student: donkergetinte huidskleur
👨🏿‍🎓	donkere huidskleur, jongen, man, scholier, student, student: donkere huidskleur
👩‍🎓	meisje, scholiere, studente, vrouw
👩🏻‍🎓	lichte huidskleur, meisje, scholiere, studente, studente: lichte huidskleur, vrouw
👩🏼‍🎓	lichtgetinte huidskleur, meisje, scholiere, studente, studente: lichtgetinte huidskleur, vrouw
👩🏽‍🎓	getinte huidskleur, meisje, scholiere, studente, studente: getinte huidskleur, vrouw
👩🏾‍🎓	donkergetinte huidskleur, meisje, scholiere, studente, studente: donkergetinte huidskleur, vrouw
👩🏿‍🎓	donkere huidskleur, meisje, scholiere, studente, studente: donkere huidskleur, vrouw
👨‍🏫	docent, leraar, meester, professor
👨🏻‍🏫	docent, docent: lichte huidskleur, leraar, lichte huidskleur, meester, professor
👨🏼‍🏫	docent, docent: lichtgetinte huidskleur, leraar, lichtgetinte huidskleur, meester, professor
👨🏽‍🏫	docent, docent: getinte huidskleur, getinte huidskleur, leraar, meester, professor
👨🏾‍🏫	docent, docent: donkergetinte huidskleur, donkergetinte huidskleur, leraar, meester, professor
👨🏿‍🏫	docent, docent: donkere huidskleur, donkere huidskleur, leraar, meester, professor
👩‍🏫	docente, juf, lerares, professor
👩🏻‍🏫	docente, docente: lichte huidskleur, juf, lerares, lichte huidskleur, professor
👩🏼‍🏫	docente, docente: lichtgetinte huidskleur, juf, lerares, lichtgetinte huidskleur, professor
👩🏽‍🏫	docente, docente: getinte huidskleur, getinte huidskleur, juf, lerares, professor
👩🏾‍🏫	docente, docente: donkergetinte huidskleur, donkergetinte huidskleur, juf, lerares, professor
👩🏿‍🏫	docente, docente: donkere huidskleur, donkere huidskleur, juf, lerares, professor
👨‍⚖	man, mannelijke rechter, rechter
👨🏻‍⚖	lichte huidskleur, man, mannelijke rechter, mannelijke rechter: lichte huidskleur, rechter
👨🏼‍⚖	lichtgetinte huidskleur, man, mannelijke rechter, mannelijke rechter: lichtgetinte huidskleur, rechter
👨🏽‍⚖	getinte huidskleur, man, mannelijke rechter, mannelijke rechter: getinte huidskleur, rechter
👨🏾‍⚖	donkergetinte huidskleur, man, mannelijke rechter, mannelijke rechter: donkergetinte huidskleur, rechter
👨🏿‍⚖	donkere huidskleur, man, mannelijke rechter, mannelijke rechter: donkere huidskleur, rechter
👩‍⚖	rechter, vrouw, vrouwelijke rechter
👩🏻‍⚖	lichte huidskleur, rechter, vrouw, vrouwelijke rechter, vrouwelijke rechter: lichte huidskleur
👩🏼‍⚖	lichtgetinte huidskleur, rechter, vrouw, vrouwelijke rechter, vrouwelijke rechter: lichtgetinte huidskleur
👩🏽‍⚖	getinte huidskleur, rechter, vrouw, vrouwelijke rechter, vrouwelijke rechter: getinte huidskleur
👩🏾‍⚖	donkergetinte huidskleur, rechter, vrouw, vrouwelijke rechter, vrouwelijke rechter: donkergetinte huidskleur
👩🏿‍⚖	donkere huidskleur, rechter, vrouw, vrouwelijke rechter, vrouwelijke rechter: donkere huidskleur
👨‍🌾	boer, man, tuinder, veehouder
👨🏻‍🌾	boer, boer: lichte huidskleur, lichte huidskleur, man, tuinder, veehouder
👨🏼‍🌾	boer, boer: lichtgetinte huidskleur, lichtgetinte huidskleur, man, tuinder, veehouder
👨🏽‍🌾	boer, boer: getinte huidskleur, getinte huidskleur, man, tuinder, veehouder
👨🏾‍🌾	boer, boer: donkergetinte huidskleur, donkergetinte huidskleur, man, tuinder, veehouder
👨🏿‍🌾	boer, boer: donkere huidskleur, donkere huidskleur, man, tuinder, veehouder
👩‍🌾	boerin, tuinder, veehouder, vrouw
👩🏻‍🌾	boerin, boerin: lichte huidskleur, lichte huidskleur, tuinder, veehouder, vrouw
👩🏼‍🌾	boerin, boerin: lichtgetinte huidskleur, lichtgetinte huidskleur, tuinder, veehouder, vrouw
👩🏽‍🌾	boerin, boerin: getinte huidskleur, getinte huidskleur, tuinder, veehouder, vrouw
👩🏾‍🌾	boerin, boerin: donkergetinte huidskleur, donkergetinte huidskleur, tuinder, veehouder, vrouw
👩🏿‍🌾	boerin, boerin: donkere huidskleur, donkere huidskleur, tuinder, veehouder, vrouw
👨‍🍳	chef-kok, kok, man
👨🏻‍🍳	chef-kok, kok, kok: lichte huidskleur, lichte huidskleur, man
👨🏼‍🍳	chef-kok, kok, kok: lichtgetinte huidskleur, lichtgetinte huidskleur, man
👨🏽‍🍳	chef-kok, getinte huidskleur, kok, kok: getinte huidskleur, man
👨🏾‍🍳	chef-kok, donkergetinte huidskleur, kok, kok: donkergetinte huidskleur, man
👨🏿‍🍳	chef-kok, donkere huidskleur, kok, kok: donkere huidskleur, man
👩‍🍳	chef-kok, kokkin, vrouw
👩🏻‍🍳	chef-kok, kokkin, kokkin: lichte huidskleur, lichte huidskleur, vrouw
👩🏼‍🍳	chef-kok, kokkin, kokkin: lichtgetinte huidskleur, lichtgetinte huidskleur, vrouw
👩🏽‍🍳	chef-kok, getinte huidskleur, kokkin, kokkin: getinte huidskleur, vrouw
👩🏾‍🍳	chef-kok, donkergetinte huidskleur, kokkin, kokkin: donkergetinte huidskleur, vrouw
👩🏿‍🍳	chef-kok, donkere huidskleur, kokkin, kokkin: donkere huidskleur, vrouw
👨‍🔧	elektricien, handelsman, loodgieter, man, monteur
👨🏻‍🔧	elektricien, handelsman, lichte huidskleur, loodgieter, man, monteur, monteur: lichte huidskleur
👨🏼‍🔧	elektricien, handelsman, lichtgetinte huidskleur, loodgieter, man, monteur, monteur: lichtgetinte huidskleur
👨🏽‍🔧	elektricien, getinte huidskleur, handelsman, loodgieter, man, monteur, monteur: getinte huidskleur
👨🏾‍🔧	donkergetinte huidskleur, elektricien, handelsman, loodgieter, man, monteur, monteur: donkergetinte huidskleur
👨🏿‍🔧	donkere huidskleur, elektricien, handelsman, loodgieter, man, monteur, monteur: donkere huidskleur
👩‍🔧	elektricien, handelsvrouw, loodgieter, monteuse, vrouw
👩🏻‍🔧	elektricien, handelsvrouw, lichte huidskleur, loodgieter, monteuse, monteuse: lichte huidskleur, vrouw
👩🏼‍🔧	elektricien, handelsvrouw, lichtgetinte huidskleur, loodgieter, monteuse, monteuse: lichtgetinte huidskleur, vrouw
👩🏽‍🔧	elektricien, getinte huidskleur, handelsvrouw, loodgieter, monteuse, monteuse: getinte huidskleur, vrouw
👩🏾‍🔧	donkergetinte huidskleur, elektricien, handelsvrouw, loodgieter, monteuse, monteuse: donkergetinte huidskleur, vrouw
👩🏿‍🔧	donkere huidskleur, elektricien, handelsvrouw, loodgieter, monteuse, monteuse: donkere huidskleur, vrouw
👨‍🏭	arbeider, fabriek, fabrieksarbeider, industrieel, lopende band, man
👨🏻‍🏭	arbeider, fabriek, fabrieksarbeider, fabrieksarbeider: lichte huidskleur, industrieel, lichte huidskleur, lopende band, man
👨🏼‍🏭	arbeider, fabriek, fabrieksarbeider, fabrieksarbeider: lichtgetinte huidskleur, industrieel, lichtgetinte huidskleur, lopende band, man
👨🏽‍🏭	arbeider, fabriek, fabrieksarbeider, fabrieksarbeider: getinte huidskleur, getinte huidskleur, industrieel, lopende band, man
👨🏾‍🏭	arbeider, donkergetinte huidskleur, fabriek, fabrieksarbeider, fabrieksarbeider: donkergetinte huidskleur, industrieel, lopende band, man
👨🏿‍🏭	arbeider, donkere huidskleur, fabriek, fabrieksarbeider, fabrieksarbeider: donkere huidskleur, industrieel, lopende band, man
👩‍🏭	arbeidster, fabriek, fabrieksarbeidster, industrieel, lopende band, vrouw
👩🏻‍🏭	arbeidster, fabriek, fabrieksarbeidster, fabrieksarbeidster: lichte huidskleur, industrieel, lichte huidskleur, lopende band, vrouw
👩🏼‍🏭	arbeidster, fabriek, fabrieksarbeidster, fabrieksarbeidster: lichtgetinte huidskleur, industrieel, lichtgetinte huidskleur, lopende band, vrouw
👩🏽‍🏭	arbeidster, fabriek, fabrieksarbeidster, fabrieksarbeidster: getinte huidskleur, getinte huidskleur, industrieel, lopende band, vrouw
👩🏾‍🏭	arbeidster, donkergetinte huidskleur, fabriek, fabrieksarbeidster, fabrieksarbeidster: donkergetinte huidskleur, industrieel, lopende band, vrouw
👩🏿‍🏭	arbeidster, donkere huidskleur, fabriek, fabrieksarbeidster, fabrieksarbeidster: donkere huidskleur, industrieel, lopende band, vrouw
👨‍💼	architect, bedrijf, kantoor, kantoormedewerker, man, manager
👨🏻‍💼	architect, bedrijf, kantoor, kantoormedewerker, kantoormedewerker: lichte huidskleur, lichte huidskleur, man, manager
👨🏼‍💼	architect, bedrijf, kantoor, kantoormedewerker, kantoormedewerker: lichtgetinte huidskleur, lichtgetinte huidskleur, man, manager
👨🏽‍💼	architect, bedrijf, getinte huidskleur, kantoor, kantoormedewerker, kantoormedewerker: getinte huidskleur, man, manager
👨🏾‍💼	architect, bedrijf, donkergetinte huidskleur, kantoor, kantoormedewerker, kantoormedewerker: donkergetinte huidskleur, man, manager
👨🏿‍💼	architect, bedrijf, donkere huidskleur, kantoor, kantoormedewerker, kantoormedewerker: donkere huidskleur, man, manager
👩‍💼	architecte, bedrijf, kantoor, kantoormedewerkster, manager, vrouw
👩🏻‍💼	architecte, bedrijf, kantoor, kantoormedewerkster, kantoormedewerkster: lichte huidskleur, lichte huidskleur, manager, vrouw
👩🏼‍💼	architecte, bedrijf, kantoor, kantoormedewerkster, kantoormedewerkster: lichtgetinte huidskleur, lichtgetinte huidskleur, manager, vrouw
👩🏽‍💼	architecte, bedrijf, getinte huidskleur, kantoor, kantoormedewerkster, kantoormedewerkster: getinte huidskleur, manager, vrouw
👩🏾‍💼	architecte, bedrijf, donkergetinte huidskleur, kantoor, kantoormedewerkster, kantoormedewerkster: donkergetinte huidskleur, manager, vrouw
👩🏿‍💼	architecte, bedrijf, donkere huidskleur, kantoor, kantoormedewerkster, kantoormedewerkster: donkere huidskleur, manager, vrouw
👨‍🔬	bioloog, ingenieur, man, natuurkundige, scheikundige, wetenschapper, wiskundige
👨🏻‍🔬	bioloog, ingenieur, lichte huidskleur, man, natuurkundige, scheikundige, wetenschapper, wetenschapper: lichte huidskleur, wiskundige
👨🏼‍🔬	bioloog, ingenieur, lichtgetinte huidskleur, man, natuurkundige, scheikundige, wetenschapper, wetenschapper: lichtgetinte huidskleur, wiskundige
👨🏽‍🔬	bioloog, getinte huidskleur, ingenieur, man, natuurkundige, scheikundige, wetenschapper, wetenschapper: getinte huidskleur, wiskundige
👨🏾‍🔬	bioloog, donkergetinte huidskleur, ingenieur, man, natuurkundige, scheikundige, wetenschapper, wetenschapper: donkergetinte huidskleur, wiskundige
👨🏿‍🔬	bioloog, donkere huidskleur, ingenieur, man, natuurkundige, scheikundige, wetenschapper, wetenschapper: donkere huidskleur, wiskundige
👩‍🔬	biologe, ingenieur, natuurkundige, scheikundige, vrouw, wetenschapster, wiskundige
👩🏻‍🔬	biologe, ingenieur, lichte huidskleur, natuurkundige, scheikundige, vrouw, wetenschapster, wetenschapster: lichte huidskleur, wiskundige
👩🏼‍🔬	biologe, ingenieur, lichtgetinte huidskleur, natuurkundige, scheikundige, vrouw, wetenschapster, wetenschapster: lichtgetinte huidskleur, wiskundige
👩🏽‍🔬	biologe, getinte huidskleur, ingenieur, natuurkundige, scheikundige, vrouw, wetenschapster, wetenschapster: getinte huidskleur, wiskundige
👩🏾‍🔬	biologe, donkergetinte huidskleur, ingenieur, natuurkundige, scheikundige, vrouw, wetenschapster, wetenschapster: donkergetinte huidskleur, wiskundige
👩🏿‍🔬	biologe, donkere huidskleur, ingenieur, natuurkundige, scheikundige, vrouw, wetenschapster, wetenschapster: donkere huidskleur, wiskundige
👨‍💻	man, ontwikkelaar, programmeur, techneut, technoloog
👨🏻‍💻	lichte huidskleur, man, ontwikkelaar, programmeur, techneut, technoloog, technoloog: lichte huidskleur
👨🏼‍💻	lichtgetinte huidskleur, man, ontwikkelaar, programmeur, techneut, technoloog, technoloog: lichtgetinte huidskleur
👨🏽‍💻	getinte huidskleur, man, ontwikkelaar, programmeur, techneut, technoloog, technoloog: getinte huidskleur
👨🏾‍💻	donkergetinte huidskleur, man, ontwikkelaar, programmeur, techneut, technoloog, technoloog: donkergetinte huidskleur
👨🏿‍💻	donkere huidskleur, man, ontwikkelaar, programmeur, techneut, technoloog, technoloog: donkere huidskleur
👩‍💻	ontwikkelaar, programmeur, techneut, technologe, vrouw
👩🏻‍💻	lichte huidskleur, ontwikkelaar, programmeur, techneut, technologe, technologe: lichte huidskleur, vrouw
👩🏼‍💻	lichtgetinte huidskleur, ontwikkelaar, programmeur, techneut, technologe, technologe: lichtgetinte huidskleur, vrouw
👩🏽‍💻	getinte huidskleur, ontwikkelaar, programmeur, techneut, technologe, technologe: getinte huidskleur, vrouw
👩🏾‍💻	donkergetinte huidskleur, ontwikkelaar, programmeur, techneut, technologe, technologe: donkergetinte huidskleur, vrouw
👩🏿‍💻	donkere huidskleur, ontwikkelaar, programmeur, techneut, technologe, technologe: donkere huidskleur, vrouw
👨‍🎤	acteur, entertainer, man, rock, ster, zanger
👨🏻‍🎤	acteur, entertainer, lichte huidskleur, man, rock, ster, zanger, zanger: lichte huidskleur
👨🏼‍🎤	acteur, entertainer, lichtgetinte huidskleur, man, rock, ster, zanger, zanger: lichtgetinte huidskleur
👨🏽‍🎤	acteur, entertainer, getinte huidskleur, man, rock, ster, zanger, zanger: getinte huidskleur
👨🏾‍🎤	acteur, donkergetinte huidskleur, entertainer, man, rock, ster, zanger, zanger: donkergetinte huidskleur
👨🏿‍🎤	acteur, donkere huidskleur, entertainer, man, rock, ster, zanger, zanger: donkere huidskleur
👩‍🎤	actrice, entertainer, rock, ster, vrouw, zangeres
👩🏻‍🎤	actrice, entertainer, lichte huidskleur, rock, ster, vrouw, zangeres, zangeres: lichte huidskleur
👩🏼‍🎤	actrice, entertainer, lichtgetinte huidskleur, rock, ster, vrouw, zangeres, zangeres: lichtgetinte huidskleur
👩🏽‍🎤	actrice, entertainer, getinte huidskleur, rock, ster, vrouw, zangeres, zangeres: getinte huidskleur
👩🏾‍🎤	actrice, donkergetinte huidskleur, entertainer, rock, ster, vrouw, zangeres, zangeres: donkergetinte huidskleur
👩🏿‍🎤	actrice, donkere huidskleur, entertainer, rock, ster, vrouw, zangeres, zangeres: donkere huidskleur
👨‍🎨	kunstenaar, man, palet
👨🏻‍🎨	kunstenaar, kunstenaar: lichte huidskleur, lichte huidskleur, man, palet
👨🏼‍🎨	kunstenaar, kunstenaar: lichtgetinte huidskleur, lichtgetinte huidskleur, man, palet
👨🏽‍🎨	getinte huidskleur, kunstenaar, kunstenaar: getinte huidskleur, man, palet
👨🏾‍🎨	donkergetinte huidskleur, kunstenaar, kunstenaar: donkergetinte huidskleur, man, palet
👨🏿‍🎨	donkere huidskleur, kunstenaar, kunstenaar: donkere huidskleur, man, palet
👩‍🎨	kunstenares, palet, vrouw
👩🏻‍🎨	kunstenares, kunstenares: lichte huidskleur, lichte huidskleur, palet, vrouw
👩🏼‍🎨	kunstenares, kunstenares: lichtgetinte huidskleur, lichtgetinte huidskleur, palet, vrouw
👩🏽‍🎨	getinte huidskleur, kunstenares, kunstenares: getinte huidskleur, palet, vrouw
👩🏾‍🎨	donkergetinte huidskleur, kunstenares, kunstenares: donkergetinte huidskleur, palet, vrouw
👩🏿‍🎨	donkere huidskleur, kunstenares, kunstenares: donkere huidskleur, palet, vrouw
👨‍✈	man, piloot, vliegtuig
👨🏻‍✈	lichte huidskleur, man, piloot, piloot: lichte huidskleur, vliegtuig
👨🏼‍✈	lichtgetinte huidskleur, man, piloot, piloot: lichtgetinte huidskleur, vliegtuig
👨🏽‍✈	getinte huidskleur, man, piloot, piloot: getinte huidskleur, vliegtuig
👨🏾‍✈	donkergetinte huidskleur, man, piloot, piloot: donkergetinte huidskleur, vliegtuig
👨🏿‍✈	donkere huidskleur, man, piloot, piloot: donkere huidskleur, vliegtuig
👩‍✈	pilote, vliegtuig, vrouw
👩🏻‍✈	lichte huidskleur, pilote, pilote: lichte huidskleur, vliegtuig, vrouw
👩🏼‍✈	lichtgetinte huidskleur, pilote, pilote: lichtgetinte huidskleur, vliegtuig, vrouw
👩🏽‍✈	getinte huidskleur, pilote, pilote: getinte huidskleur, vliegtuig, vrouw
👩🏾‍✈	donkergetinte huidskleur, pilote, pilote: donkergetinte huidskleur, vliegtuig, vrouw
👩🏿‍✈	donkere huidskleur, pilote, pilote: donkere huidskleur, vliegtuig, vrouw
👨‍🚀	astronaut, man, raket
👨🏻‍🚀	astronaut, astronaut: lichte huidskleur, lichte huidskleur, man, raket
👨🏼‍🚀	astronaut, astronaut: lichtgetinte huidskleur, lichtgetinte huidskleur, man, raket
👨🏽‍🚀	astronaut, astronaut: getinte huidskleur, getinte huidskleur, man, raket
👨🏾‍🚀	astronaut, astronaut: donkergetinte huidskleur, donkergetinte huidskleur, man, raket
👨🏿‍🚀	astronaut, astronaut: donkere huidskleur, donkere huidskleur, man, raket
👩‍🚀	astronaute, raket, vrouw
👩🏻‍🚀	astronaute, astronaute: lichte huidskleur, lichte huidskleur, raket, vrouw
👩🏼‍🚀	astronaute, astronaute: lichtgetinte huidskleur, lichtgetinte huidskleur, raket, vrouw
👩🏽‍🚀	astronaute, astronaute: getinte huidskleur, getinte huidskleur, raket, vrouw
👩🏾‍🚀	astronaute, astronaute: donkergetinte huidskleur, donkergetinte huidskleur, raket, vrouw
👩🏿‍🚀	astronaute, astronaute: donkere huidskleur, donkere huidskleur, raket, vrouw
👨‍🚒	brandweerman, brandweerwagen, man
👨🏻‍🚒	brandweerman, brandweerman: lichte huidskleur, brandweerwagen, lichte huidskleur, man
👨🏼‍🚒	brandweerman, brandweerman: lichtgetinte huidskleur, brandweerwagen, lichtgetinte huidskleur, man
👨🏽‍🚒	brandweerman, brandweerman: getinte huidskleur, brandweerwagen, getinte huidskleur, man
👨🏾‍🚒	brandweerman, brandweerman: donkergetinte huidskleur, brandweerwagen, donkergetinte huidskleur, man
👨🏿‍🚒	brandweerman, brandweerman: donkere huidskleur, brandweerwagen, donkere huidskleur, man
👩‍🚒	brandweervrouw, brandweerwagen, vrouw
👩🏻‍🚒	brandweervrouw, brandweervrouw: lichte huidskleur, brandweerwagen, lichte huidskleur, vrouw
👩🏼‍🚒	brandweervrouw, brandweervrouw: lichtgetinte huidskleur, brandweerwagen, lichtgetinte huidskleur, vrouw
👩🏽‍🚒	brandweervrouw, brandweervrouw: getinte huidskleur, brandweerwagen, getinte huidskleur, vrouw
👩🏾‍🚒	brandweervrouw, brandweervrouw: donkergetinte huidskleur, brandweerwagen, donkergetinte huidskleur, vrouw
👩🏿‍🚒	brandweervrouw, brandweervrouw: donkere huidskleur, brandweerwagen, donkere huidskleur, vrouw
👮	agent, mensen, politie, politieagent
👮🏻	agent, lichte huidskleur, mensen, politie, politieagent, politieagent: lichte huidskleur
👮🏼	agent, lichtgetinte huidskleur, mensen, politie, politieagent, politieagent: lichtgetinte huidskleur
👮🏽	agent, getinte huidskleur, mensen, politie, politieagent, politieagent: getinte huidskleur
👮🏾	agent, donkergetinte huidskleur, mensen, politie, politieagent, politieagent: donkergetinte huidskleur
👮🏿	agent, donkere huidskleur, mensen, politie, politieagent, politieagent: donkere huidskleur
👮‍♂	agent, man, politie, politieman
👮🏻‍♂	agent, lichte huidskleur, man, politie, politieman, politieman: lichte huidskleur
👮🏼‍♂	agent, lichtgetinte huidskleur, man, politie, politieman, politieman: lichtgetinte huidskleur
👮🏽‍♂	agent, getinte huidskleur, man, politie, politieman, politieman: getinte huidskleur
👮🏾‍♂	agent, donkergetinte huidskleur, man, politie, politieman, politieman: donkergetinte huidskleur
