😀	lledwenu, wyneb, wyneb yn gwenu â cheg agored
😺	agored, cath, ceg, gwên, wyneb cath yn gwenu â cheg agored
😸	cath, gwenu, lledwenu, llygaid, wyneb cath yn gwenu â cheg agored a gwên yn y llygaid
😹	cath, deigryn, hapusrwydd, wyneb, wyneb cath â dagrau o hapusrwydd
😻	calonnau, cariad, cath, cath yn gwenu â chalonnau yn y llygaid, llygaid, wyneb cath yn gwenu â chalonnau yn y llygaid
😼	ar gam, cath, eironig, gwên, wyneb cath â gwên ar gam
😽	cath, cusan, llygad, wyneb, wyneb cath yn cusanu â llygaid ynghau
🙀	cath, lluddedig, syfrdanol, wyneb, wyneb cath luddedig
😿	cath, crio, deigryn, trist, wyneb cath yn crio
😾	cath, pwdu, wyneb, wyneb cath yn pwdu
🙈	drwg, gweld, gweld dim drwg, mwnci, wyneb
🙉	clywed, clywed dim drwg, drwg, mwnci, wyneb
🙊	drwg, mwnci, siarad, siarad dim drwg, wyneb
💋	cusan, gwefusau, ôl cusan
💌	calon, cariad, llythyr, llythyr caru, post
💘	calon, calon â saeth trwyddi, saeth
💝	calon, calon â rhuban, ffolant, rhuban
💖	calon, calon yn disgleirio, cynhyrfu, disgleirio
💗	calon, calon yn tyfu, cynhyrfu, nerfus, tyfu
💓	calon, calon yn curo, curo
💞	calon, calonnau yn troelli, troelli
💕	calon, cariad, dwy galon
💟	addurn calon, calon
❣️	atalnodiad, calon, ebychiad, ebychiad trwm galon, marc
💔	calon, calon wedi torri, torri
❤️	calon, calon goch
🧡	calon oren, oren
💛	calon, calon felen, melyn
💚	calon, calon werdd, gwyrdd
💙	calon, calon las, glas
💜	calon, calon borffor, porffor
🤎	calon, calon frown, frown
🖤	calon, calon du, drwg, du, maleisus
🤍	calon, calon wen, wen
💯	100, cant, cant o bwyntiau, llawn, sgôr
💢	comig, dig, gwallgof, symbol dicter
💥	comig, trawiad, trwst
💫	comig, penysgafn, seren
💦	chwys, comig, defnynnau chwys, splash
💨	comig, rhedeg, rhuthro
🕳️	twll
💣️	bom, comig
💬	balŵn, balŵn deialog, comig, deialog, swigen
👁‍🗨	llygad, llygad mewn cwmwl, mewn cwmwl, tyst
🗨️	deialog, siarad, swigen yn siarad i’r chwith
🗯️	balŵn, dig, swigen, swigen ddig i’r dde
💭	balŵn, comig, cwmwl meddwl, swigen
💤	comig, cysgu, zzz
👋	chwifio, corff, llaw, llaw yn chwifio
👋🏻	arlliw croen golau, chwifio, corff, llaw, llaw yn chwifio, llaw yn chwifio: arlliw croen golau
👋🏼	arlliw croen canolig-golau, chwifio, corff, llaw, llaw yn chwifio, llaw yn chwifio: arlliw croen canolig-golau
👋🏽	arlliw croen canolog, chwifio, corff, llaw, llaw yn chwifio, llaw yn chwifio: arlliw croen canolog
👋🏾	arlliw croen canolig-tywyll, chwifio, corff, llaw, llaw yn chwifio, llaw yn chwifio: arlliw croen canolig-tywyll
👋🏿	arlliw croen tywyll, chwifio, corff, llaw, llaw yn chwifio, llaw yn chwifio: arlliw croen tywyll
🤚	cefn llaw, cefn llaw wedi’i chodi, wedi’i chodi
🤚🏻	arlliw croen golau, cefn llaw, cefn llaw wedi’i chodi, cefn llaw wedi’i chodi: arlliw croen golau, wedi’i chodi
🤚🏼	arlliw croen canolig-golau, cefn llaw, cefn llaw wedi’i chodi, cefn llaw wedi’i chodi: arlliw croen canolig-golau, wedi’i chodi
🤚🏽	arlliw croen canolog, cefn llaw, cefn llaw wedi’i chodi, cefn llaw wedi’i chodi: arlliw croen canolog, wedi’i chodi
🤚🏾	arlliw croen canolig-tywyll, cefn llaw, cefn llaw wedi’i chodi, cefn llaw wedi’i chodi: arlliw croen canolig-tywyll, wedi’i chodi
🤚🏿	arlliw croen tywyll, cefn llaw, cefn llaw wedi’i chodi, cefn llaw wedi’i chodi: arlliw croen tywyll, wedi’i chodi
🖐️	bys, corff, llaw, llaw wedi ei chodi â bysedd wedi eu lledu, wedi lledu
🖐🏻	arlliw croen golau, bys, corff, llaw, llaw wedi ei chodi â bysedd wedi eu lledu, llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen golau, wedi lledu
🖐🏼	arlliw croen canolig-golau, bys, corff, llaw, llaw wedi ei chodi â bysedd wedi eu lledu, llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen canolig-golau, wedi lledu
🖐🏽	arlliw croen canolog, bys, corff, llaw, llaw wedi ei chodi â bysedd wedi eu lledu, llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen canolog, wedi lledu
🖐🏾	arlliw croen canolig-tywyll, bys, corff, llaw, llaw wedi ei chodi â bysedd wedi eu lledu, llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen canolig-tywyll, wedi lledu
🖐🏿	arlliw croen tywyll, bys, corff, llaw, llaw wedi ei chodi â bysedd wedi eu lledu, llaw wedi ei chodi â bysedd wedi eu lledu: arlliw croen tywyll, wedi lledu
✋	corff, llaw, llaw wedi codi
✋🏻	arlliw croen golau, corff, llaw, llaw wedi codi, llaw wedi codi: arlliw croen golau
✋🏼	arlliw croen canolig-golau, corff, llaw, llaw wedi codi, llaw wedi codi: arlliw croen canolig-golau
✋🏽	arlliw croen canolog, corff, llaw, llaw wedi codi, llaw wedi codi: arlliw croen canolog
✋🏾	arlliw croen canolig-tywyll, corff, llaw, llaw wedi codi, llaw wedi codi: arlliw croen canolig-tywyll
✋🏿	arlliw croen tywyll, corff, llaw, llaw wedi codi, llaw wedi codi: arlliw croen tywyll
🖖	bys, corff, llaw, saliwt fulcanaidd, spock
🖖🏻	arlliw croen golau, bys, corff, llaw, saliwt fulcanaidd, saliwt fulcanaidd: arlliw croen golau, spock
🖖🏼	arlliw croen canolig-golau, bys, corff, llaw, saliwt fulcanaidd, saliwt fulcanaidd: arlliw croen canolig-golau, spock
