😀	lol, rindo, risada, rosto, rosto risonho
😽	beijo, gato, olho fechado, rosto, rosto de gato mandando um beijo
🙀	gato, muito surpreso, oh!, rosto, rosto de gato desolado
😿	chorar, choro, gato, lágrima, rosto, rosto de gato chorando, triste
😾	fazendo bico, gato, rosto, rosto de gato, rosto de gato mal-humorado
🙈	macaco, macaco com olhos tapados, macaco que não vê nada, olhos tapados
🙉	macaco, macaco com ouvidos tapados, macaco que não ouve nada, ouvidos tapados
🙊	boca tapada, macaco, macaco com as mãos tapando a boca, macaco que não fala nada
💋	beijo, lábios, marca de beijo, romance
💌	carta, carta de amor, coração, correspondência com coração, romance
💘	amor, coração, coração com flecha, emoção, flecha
💝	coração, coração com fita, dia dos namorados, emoção, fita
💖	amor, brilhante, coração brilhante, emocionante, emoção
💗	amor, coração, coração crescendo, emoção, nervosismo
💓	amor, batendo, coração, coração pulsante, emoção, pulsante
💞	corações girando, girando
💕	amantes, amor, dois corações, emoção
💟	coração, coração decorativo
❣️	exclamação, exclamação de coração, exclamação em forma de coração, pontuação, sinal
💔	coração, coração partido, decepção amorosa, emoção, rompimento
❤️	amor, coração, coração vermelho
🧡	coração, coração laranja, emoção, laranja
💛	amarelo, coração, coração amarelo, emoção
💚	coração, coração verde, emoção, verde
💙	azul, coração, coração azul, emoção
💜	coração, coração roxo, emoção, roxo
🤎	coração marrom
🖤	coração, coração preto, negro, preto
🤍	coração branco
💯	100, 100 pontos, cem pontos, pontuação, pontuação total
💢	com raiva, emoção, engraçado, símbolo de raiva
💥	colisão, emoção, engraçado, símbolo de colisão
💫	emoção, engraçado, estrelas, olhando para as estrelas, zonzo
💦	com suor, emoção, engraçado, pingos de suor, suor
💨	correr, emoção, engraçado, fugir, rapidez
🕳️	buraco, buraco no chão
💣️	bomba, emoção, engraçado
💬	balão, balão de conversa, balão de diálogo, diálogo, engraçado
👁‍🗨	balão de diálogo, olho, olho no balão de diálogo, testemunha
🗨️	balão de diálogo, balão de diálogo à esquerda
🗯️	balão de diálogo, balão de raiva à direita, discurso furioso, enérgico, irado, raiva
💭	balão, balão de pensamento, engraçado, pensamento
💤	Zzz, dormindo, emoção, engraçado, roncando, zzz
👋	aceno, mão, mão acenando
👋🏻	aceno, mão, mão acenando, mão acenando: pele clara, pele clara
👋🏼	aceno, mão, mão acenando, mão acenando: pele morena clara, pele morena clara
👋🏽	aceno, mão, mão acenando, mão acenando: pele morena, pele morena
👋🏾	aceno, mão, mão acenando, mão acenando: pele morena escura, pele morena escura
👋🏿	aceno, mão, mão acenando, mão acenando: pele escura, pele escura
🤚	dorso da mão levantado, levantada, mão, palma, pare
🤚🏻	dorso da mão levantado, dorso da mão levantado: pele clara, levantada, mão, palma, pare, pele clara
🤚🏼	dorso da mão levantado, dorso da mão levantado: pele morena clara, levantada, mão, palma, pare, pele morena clara
🤚🏽	dorso da mão levantado, dorso da mão levantado: pele morena, levantada, mão, palma, pare, pele morena
🤚🏾	dorso da mão levantado, dorso da mão levantado: pele morena escura, levantada, mão, palma, pare, pele morena escura
🤚🏿	dorso da mão levantado, dorso da mão levantado: pele escura, levantada, mão, palma, pare, pele escura
🖐️	cinco dedos, dedos, mão, mão aberta com os dedos separados, mão aberta indicando cinco, palma da mão
🖐🏻	cinco dedos, dedos, mão, mão aberta com os dedos separados, mão aberta com os dedos separados: pele clara, mão aberta indicando cinco, palma da mão, pele clara
🖐🏼	cinco dedos, dedos, mão, mão aberta com os dedos separados, mão aberta com os dedos separados: pele morena clara, mão aberta indicando cinco, palma da mão, pele morena clara
🖐🏽	cinco dedos, dedos, mão, mão aberta com os dedos separados, mão aberta com os dedos separados: pele morena, mão aberta indicando cinco, palma da mão, pele morena
🖐🏾	cinco dedos, dedos, mão, mão aberta com os dedos separados, mão aberta com os dedos separados: pele morena escura, mão aberta indicando cinco, palma da mão, pele morena escura
🖐🏿	cinco dedos, dedos, mão, mão aberta com os dedos separados, mão aberta com os dedos separados: pele escura, mão aberta indicando cinco, palma da mão, pele escura
✋	mão erguida, mão levantada
✋🏻	mão erguida, mão levantada, mão levantada: pele clara, pele clara
✋🏼	mão erguida, mão levantada, mão levantada: pele morena clara, pele morena clara
✋🏽	mão erguida, mão levantada, mão levantada: pele morena, pele morena
✋🏾	mão erguida, mão levantada, mão levantada: pele morena escura, pele morena escura
✋🏿	mão erguida, mão levantada, mão levantada: pele escura, pele escura
🖖	dedos, jornada nas estrelas, mão, saudação, saudação vulcana, spock, star trek
🖖🏻	dedos, jornada nas estrelas, mão, pele clara, saudação, saudação vulcana, saudação vulcana: pele clara, spock, star trek
🖖🏼	dedos, jornada nas estrelas, mão, pele morena clara, saudação, saudação vulcana, saudação vulcana: pele morena clara, spock, star trek
🖖🏽	dedos, jornada nas estrelas, mão, pele morena, saudação, saudação vulcana, saudação vulcana: pele morena, spock, star trek
🖖🏾	dedos, jornada nas estrelas, mão, pele morena escura, saudação, saudação vulcana, saudação vulcana: pele morena escura, spock, star trek
🖖🏿	dedos, jornada nas estrelas, mão, pele escura, saudação, saudação vulcana, saudação vulcana: pele escura, spock, star trek
👌	mão, mão sinalizando ok, ok, sinal, sinal de ok
👌🏻	mão, mão sinalizando ok, ok, pele clara, sinal, sinal de ok, sinal de ok: pele clara
👌🏼	mão, mão sinalizando ok, ok, pele morena clara, sinal, sinal de ok, sinal de ok: pele morena clara
👌🏽	mão, mão sinalizando ok, ok, pele morena, sinal, sinal de ok, sinal de ok: pele morena
👌🏾	mão, mão sinalizando ok, ok, pele morena escura, sinal, sinal de ok, sinal de ok: pele morena escura
👌🏿	mão, mão sinalizando ok, ok, pele escura, sinal, sinal de ok, sinal de ok: pele escura
🤏	mão beliscando, pequena quantidade
🤏🏻	mão beliscando, mão beliscando: pele clara, pele clara, pequena quantidade
🤏🏼	mão beliscando, mão beliscando: pele morena clara, pele morena clara, pequena quantidade
🤏🏽	mão beliscando, mão beliscando: pele morena, pele morena, pequena quantidade
🤏🏾	mão beliscando, mão beliscando: pele morena escura, pele morena escura, pequena quantidade
🤏🏿	mão beliscando, mão beliscando: pele escura, pele escura, pequena quantidade
✌️	mão com sinal de vitória, mão em V de vitória, sim!, vitória
✌🏻	mão com sinal de vitória, mão em V de vitória, mão em V de vitória: pele clara, pele clara, sim!, vitória
✌🏼	mão com sinal de vitória, mão em V de vitória, mão em V de vitória: pele morena clara, pele morena clara, sim!, vitória
✌🏽	mão com sinal de vitória, mão em V de vitória, mão em V de vitória: pele morena, pele morena, sim!, vitória
✌🏾	mão com sinal de vitória, mão em V de vitória, mão em V de vitória: pele morena escura, pele morena escura, sim!, vitória
✌🏿	mão com sinal de vitória, mão em V de vitória, mão em V de vitória: pele escura, pele escura, sim!, vitória
🤞	cruzados, dedos, dedos cruzados, mão, sorte
🤞🏻	cruzados, dedos, dedos cruzados: pele clara, mão, pele clara, sorte
🤞🏼	cruzados, dedos, dedos cruzados: pele morena clara, mão, pele morena clara, sorte
🤞🏽	cruzados, dedos, dedos cruzados: pele morena, mão, pele morena, sorte
🤞🏾	cruzados, dedos, dedos cruzados: pele morena escura, mão, pele morena escura, sorte
🤞🏿	cruzados, dedos, dedos cruzados: pele escura, mão, pele escura, sorte
🤟	gesto de "te amo", mão, te amo
🤟🏻	gesto de "te amo", gesto de "te amo": pele clara, mão, pele clara, te amo
🤟🏼	gesto de "te amo", gesto de "te amo": pele morena clara, mão, pele morena clara, te amo
🤟🏽	gesto de "te amo", gesto de "te amo": pele morena, mão, pele morena, te amo
🤟🏾	gesto de "te amo", gesto de "te amo": pele morena escura, mão, pele morena escura, te amo
🤟🏿	gesto de "te amo", gesto de "te amo": pele escura, mão, pele escura, te amo
🤘	chifres, dedos, mão, saudação do rock
🤘🏻	chifres, dedos, mão, pele clara, saudação do rock, saudação do rock: pele clara
🤘🏼	chifres, dedos, mão, pele morena clara, saudação do rock, saudação do rock: pele morena clara
🤘🏽	chifres, dedos, mão, pele morena, saudação do rock, saudação do rock: pele morena
🤘🏾	chifres, dedos, mão, pele morena escura, saudação do rock, saudação do rock: pele morena escura
🤘🏿	chifres, dedos, mão, pele escura, saudação do rock, saudação do rock: pele escura
🤙	ligar, sinal "me liga"
🤙🏻	ligar, pele clara, sinal "me liga", sinal "me liga": pele clara
🤙🏼	ligar, pele morena clara, sinal "me liga", sinal "me liga": pele morena clara
🤙🏽	ligar, pele morena, sinal "me liga", sinal "me liga": pele morena
🤙🏾	ligar, pele morena escura, sinal "me liga", sinal "me liga": pele morena escura
🤙🏿	ligar, pele escura, sinal "me liga", sinal "me liga": pele escura
👈️	costas da mão, dedo, dedo apontado para esquerda, dedo indicador, dorso da mão com dedo indicador apontando para a esquerda
👈🏻	costas da mão, dedo, dedo apontado para esquerda, dedo indicador, dorso da mão com dedo indicador apontando para a esquerda, dorso da mão com dedo indicador apontando para a esquerda: pele clara, pele clara
👈🏼	costas da mão, dedo, dedo apontado para esquerda, dedo indicador, dorso da mão com dedo indicador apontando para a esquerda, dorso da mão com dedo indicador apontando para a esquerda: pele morena clara, pele morena clara
👈🏽	costas da mão, dedo, dedo apontado para esquerda, dedo indicador, dorso da mão com dedo indicador apontando para a esquerda, dorso da mão com dedo indicador apontando para a esquerda: pele morena, pele morena
👈🏾	costas da mão, dedo, dedo apontado para esquerda, dedo indicador, dorso da mão com dedo indicador apontando para a esquerda, dorso da mão com dedo indicador apontando para a esquerda: pele morena escura, pele morena escura
👈🏿	costas da mão, dedo, dedo apontado para esquerda, dedo indicador, dorso da mão com dedo indicador apontando para a esquerda, dorso da mão com dedo indicador apontando para a esquerda: pele escura, pele escura
👉️	costas da mão, dedo, dedo apontado para direita, dedo indicador, dorso da mão com dedo indicador apontando para a direita
👉🏻	costas da mão, dedo, dedo apontado para direita, dedo indicador, dorso da mão com dedo indicador apontando para a direita, dorso da mão com dedo indicador apontando para a direita: pele clara, pele clara
👉🏼	costas da mão, dedo, dedo apontado para direita, dedo indicador, dorso da mão com dedo indicador apontando para a direita, dorso da mão com dedo indicador apontando para a direita: pele morena clara, pele morena clara
👉🏽	costas da mão, dedo, dedo apontado para direita, dedo indicador, dorso da mão com dedo indicador apontando para a direita, dorso da mão com dedo indicador apontando para a direita: pele morena, pele morena
