😀	бет, ырсай, ырсайган бет
👩🏽‍⚕	аял, аял медицина кызматкери, аял медицина кызматкери: орточо, доктор, медайым, орточо, саламаттыкты сактоо, терапевт
👩🏾‍⚕	аял, аял медицина кызматкери, аял медицина кызматкери: кара тору, доктор, кара тору, медайым, саламаттыкты сактоо, терапевт
👩🏿‍⚕	аял, аял медицина кызматкери, аял медицина кызматкери: кара, доктор, кара, медайым, саламаттыкты сактоо, терапевт
👨‍🎓	бүтүрүүчү, студент, эркек, эркек студент
👨🏻‍🎓	акжуумал, бүтүрүүчү, студент, эркек, эркек студент: акжуумал
👨🏼‍🎓	буудай жүздүү, бүтүрүүчү, студент, эркек, эркек студент: буудай жүздүү
👨🏽‍🎓	бүтүрүүчү, орточо, студент, эркек, эркек студент: орточо
👨🏾‍🎓	бүтүрүүчү, кара тору, студент, эркек, эркек студент: кара тору
👨🏿‍🎓	бүтүрүүчү, кара, студент, эркек, эркек студент: кара
👩‍🎓	аял, аял студент, бүтүрүүчү, студент
👩🏻‍🎓	акжуумал, аял, аял студент: акжуумал, бүтүрүүчү, студент
👩🏼‍🎓	аял, аял студент: буудай жүздүү, буудай жүздүү, бүтүрүүчү, студент
👩🏽‍🎓	аял, аял студент: орточо, бүтүрүүчү, орточо, студент
👩🏾‍🎓	аял, аял студент: кара тору, бүтүрүүчү, кара тору, студент
👩🏿‍🎓	аял, аял студент: кара, бүтүрүүчү, кара, студент
👨‍🏫	мугалим, окутуучу, профессор, эркек, эркек мугалим
👨🏻‍🏫	акжуумал, мугалим, окутуучу, профессор, эркек, эркек мугалим: акжуумал
👨🏼‍🏫	буудай жүздүү, мугалим, окутуучу, профессор, эркек, эркек мугалим: буудай жүздүү
👨🏽‍🏫	мугалим, окутуучу, орточо, профессор, эркек, эркек мугалим: орточо
👨🏾‍🏫	кара тору, мугалим, окутуучу, профессор, эркек, эркек мугалим: кара тору
👨🏿‍🏫	кара, мугалим, окутуучу, профессор, эркек, эркек мугалим: кара
👩‍🏫	аял, аял мугалим, мугалим, окутуучу, профессор
👩🏻‍🏫	акжуумал, аял, аял мугалим: акжуумал, мугалим, окутуучу, профессор
👩🏼‍🏫	аял, аял мугалим: буудай жүздүү, буудай жүздүү, мугалим, окутуучу, профессор
👩🏽‍🏫	аял, аял мугалим: орточо, мугалим, окутуучу, орточо, профессор
👩🏾‍🏫	аял, аял мугалим: кара тору, кара тору, мугалим, окутуучу, профессор
👩🏿‍🏫	аял, аял мугалим: кара, кара, мугалим, окутуучу, профессор
👨‍⚖	сот, тараза, эркек, эркек сот
👨🏻‍⚖	акжуумал, сот, тараза, эркек, эркек сот: акжуумал
👨🏼‍⚖	буудай жүздүү, сот, тараза, эркек, эркек сот: буудай жүздүү
👨🏽‍⚖	орточо, сот, тараза, эркек, эркек сот: орточо
👨🏾‍⚖	кара тору, сот, тараза, эркек, эркек сот: кара тору
👨🏿‍⚖	кара, сот, тараза, эркек, эркек сот: кара
👩‍⚖	аял, аял сот, сот, тараза
👩🏻‍⚖	акжуумал, аял, аял сот: акжуумал, сот, тараза
👩🏼‍⚖	аял, аял сот: буудай жүздүү, буудай жүздүү, сот, тараза
👩🏽‍⚖	аял, аял сот: орточо, орточо, сот, тараза
👩🏾‍⚖	аял, аял сот: кара тору, кара тору, сот, тараза
👩🏿‍⚖	аял, аял сот: кара, кара, сот, тараза
👨‍🌾	багбан, малчы, фермер, эркек, эркек фермер
👨🏻‍🌾	акжуумал, багбан, малчы, фермер, эркек, эркек фермер: акжуумал
👨🏼‍🌾	багбан, буудай жүздүү, малчы, фермер, эркек, эркек фермер: буудай жүздүү
👨🏽‍🌾	багбан, малчы, орточо, фермер, эркек, эркек фермер: орточо
👨🏾‍🌾	багбан, кара тору, малчы, фермер, эркек, эркек фермер: кара тору
👨🏿‍🌾	багбан, кара, малчы, фермер, эркек, эркек фермер: кара
👩‍🌾	аял, аял фермер, багбан, малчы, фермер
👩🏻‍🌾	акжуумал, аял, аял фермер: акжуумал, багбан, малчы, фермер
👩🏼‍🌾	аял, аял фермер: буудай жүздүү, багбан, буудай жүздүү, малчы, фермер
👩🏽‍🌾	аял, аял фермер: орточо, багбан, малчы, орточо, фермер
👩🏾‍🌾	аял, аял фермер: кара тору, багбан, кара тору, малчы, фермер
👩🏿‍🌾	аял, аял фермер: кара, багбан, кара, малчы, фермер
👨‍🍳	ашпозчу, эркек, эркек ашпозчу
👨🏻‍🍳	акжуумал, ашпозчу, эркек, эркек ашпозчу: акжуумал
👨🏼‍🍳	ашпозчу, буудай жүздүү, эркек, эркек ашпозчу: буудай жүздүү
👨🏽‍🍳	ашпозчу, орточо, эркек, эркек ашпозчу: орточо
👨🏾‍🍳	ашпозчу, кара тору, эркек, эркек ашпозчу: кара тору
👨🏿‍🍳	ашпозчу, кара, эркек, эркек ашпозчу: кара
👩‍🍳	ашпозчу, аял, аял ашпозчу
👩🏻‍🍳	акжуумал, ашпозчу, аял, аял ашпозчу: акжуумал
👩🏼‍🍳	ашпозчу, аял, аял ашпозчу: буудай жүздүү, буудай жүздүү
👩🏽‍🍳	ашпозчу, аял, аял ашпозчу: орточо, орточо
👩🏾‍🍳	ашпозчу, аял, аял ашпозчу: кара тору, кара тору
👩🏿‍🍳	ашпозчу, аял, аял ашпозчу: кара, кара
👨‍🔧	механик, сантехник, соодагер, электрик, эркек, эркек механик
👨🏻‍🔧	акжуумал, механик, сантехник, соодагер, электрик, эркек, эркек механик: акжуумал
👨🏼‍🔧	буудай жүздүү, механик, сантехник, соодагер, электрик, эркек, эркек механик: буудай жүздүү
👨🏽‍🔧	механик, орточо, сантехник, соодагер, электрик, эркек, эркек механик: орточо
👨🏾‍🔧	кара тору, механик, сантехник, соодагер, электрик, эркек, эркек механик: кара тору
👨🏿‍🔧	кара, механик, сантехник, соодагер, электрик, эркек, эркек механик: кара
👩‍🔧	аял, аял механик, механик, сантехник, соодагер, электрик
👩🏻‍🔧	акжуумал, аял, аял механик: акжуумал, механик, сантехник, соодагер, электрик
👩🏼‍🔧	аял, аял механик: буудай жүздүү, буудай жүздүү, механик, сантехник, соодагер, электрик
👩🏽‍🔧	аял, аял механик: орточо, механик, орточо, сантехник, соодагер, электрик
👩🏾‍🔧	аял, аял механик: кара тору, кара тору, механик, сантехник, соодагер, электрик
👩🏿‍🔧	аял, аял механик: кара, кара, механик, сантехник, соодагер, электрик
👨‍🏭	жумушчу, завод, фабрика, цех, эркек, эркек завод жумушчусу
👨🏻‍🏭	акжуумал, жумушчу, завод, фабрика, цех, эркек, эркек завод жумушчусу, эркек завод жумушчусу: акжуумал
👨🏼‍🏭	буудай жүздүү, жумушчу, завод, фабрика, цех, эркек, эркек завод жумушчусу, эркек завод жумушчусу: буудай жүздүү
👨🏽‍🏭	жумушчу, завод, орточо, фабрика, цех, эркек, эркек завод жумушчусу, эркек завод жумушчусу: орточо
👨🏾‍🏭	жумушчу, завод, кара тору, фабрика, цех, эркек, эркек завод жумушчусу, эркек завод жумушчусу: кара тору
👨🏿‍🏭	жумушчу, завод, кара, фабрика, цех, эркек, эркек завод жумушчусу, эркек завод жумушчусу: кара
👩‍🏭	аял, аял завод жумушчусу, жумушчу, завод, фабрика, цех
👩🏻‍🏭	акжуумал, аял, аял завод жумушчусу, аял завод жумушчусу: акжуумал, жумушчу, завод, фабрика, цех
👩🏼‍🏭	аял, аял завод жумушчусу, аял завод жумушчусу: буудай жүздүү, буудай жүздүү, жумушчу, завод, фабрика, цех
👩🏽‍🏭	аял, аял завод жумушчусу, аял завод жумушчусу: орточо, жумушчу, завод, орточо, фабрика, цех
👩🏾‍🏭	аял, аял завод жумушчусу, аял завод жумушчусу: кара тору, жумушчу, завод, кара тору, фабрика, цех
👩🏿‍🏭	аял, аял завод жумушчусу, аял завод жумушчусу: кара, жумушчу, завод, кара, фабрика, цех
👨‍💼	архитектор, бизнес, мамлекеттик кызматкер, офис менеджер, эркек, эркек офис жумушчусу
👨🏻‍💼	акжуумал, архитектор, бизнес, мамлекеттик кызматкер, офис менеджер, эркек, эркек офис жумушчусу, эркек офис жумушчусу: акжуумал
👨🏼‍💼	архитектор, бизнес, буудай жүздүү, мамлекеттик кызматкер, офис менеджер, эркек, эркек офис жумушчусу, эркек офис жумушчусу: буудай жүздүү
👨🏽‍💼	архитектор, бизнес, мамлекеттик кызматкер, орточо, офис менеджер, эркек, эркек офис жумушчусу, эркек офис жумушчусу: орточо
👨🏾‍💼	архитектор, бизнес, кара тору, мамлекеттик кызматкер, офис менеджер, эркек, эркек офис жумушчусу, эркек офис жумушчусу: кара тору
👨🏿‍💼	архитектор, бизнес, кара, мамлекеттик кызматкер, офис менеджер, эркек, эркек офис жумушчусу, эркек офис жумушчусу: кара
👩‍💼	архитектор, аял, аял офис жумушчусу, бизнес, мамлекеттик кызматкер, офис менеджер
👩🏻‍💼	акжуумал, архитектор, аял, аял офис жумушчусу, аял офис жумушчусу: акжуумал, бизнес, мамлекеттик кызматкер, офис менеджер
👩🏼‍💼	архитектор, аял, аял офис жумушчусу, аял офис жумушчусу: буудай жүздүү, бизнес, буудай жүздүү, мамлекеттик кызматкер, офис менеджер
👩🏽‍💼	архитектор, аял, аял офис жумушчусу, аял офис жумушчусу: орточо, бизнес, мамлекеттик кызматкер, орточо, офис менеджер
👩🏾‍💼	архитектор, аял, аял офис жумушчусу, аял офис жумушчусу: кара тору, бизнес, кара тору, мамлекеттик кызматкер, офис менеджер
👩🏿‍💼	архитектор, аял, аял офис жумушчусу, аял офис жумушчусу: кара, бизнес, кара, мамлекеттик кызматкер, офис менеджер
👨‍🔬	биолог, инженер, окумуштуу, химик, эркек, эркек илимпоз
👨🏻‍🔬	акжуумал, биолог, инженер, окумуштуу, химик, эркек, эркек илимпоз, эркек илимпоз: акжуумал
👨🏼‍🔬	биолог, буудай жүздүү, инженер, окумуштуу, химик, эркек, эркек илимпоз, эркек илимпоз: буудай жүздүү
👨🏽‍🔬	биолог, инженер, окумуштуу, орточо, химик, эркек, эркек илимпоз, эркек илимпоз: орточо
👨🏾‍🔬	биолог, инженер, кара тору, окумуштуу, химик, эркек, эркек илимпоз, эркек илимпоз: кара тору
👨🏿‍🔬	биолог, инженер, кара, окумуштуу, химик, эркек, эркек илимпоз, эркек илимпоз: кара
👩‍🔬	аял, аял илимпоз, инженер, окумуштуу, химик
👩🏻‍🔬	акжуумал, аял, аял илимпоз, аял илимпоз: акжуумал, инженер, окумуштуу, химик
👩🏼‍🔬	аял, аял илимпоз, аял илимпоз: буудай жүздүү, буудай жүздүү, инженер, окумуштуу, химик
👩🏽‍🔬	аял, аял илимпоз, аял илимпоз: орточо, инженер, окумуштуу, орточо, химик
👩🏾‍🔬	аял, аял илимпоз, аял илимпоз: кара тору, инженер, кара тору, окумуштуу, химик
👩🏿‍🔬	аял, аял илимпоз, аял илимпоз: кара, инженер, кара, окумуштуу, химик
👨‍💻	иштеп чыгуучу, коддогуч, ойлоп тапкыч, программачы, эркек, эркек технолог
👨🏻‍💻	акжуумал, иштеп чыгуучу, коддогуч, ойлоп тапкыч, программачы, эркек, эркек технолог, эркек технолог: акжуумал
👨🏼‍💻	буудай жүздүү, иштеп чыгуучу, коддогуч, ойлоп тапкыч, программачы, эркек, эркек технолог, эркек технолог: буудай жүздүү
👨🏽‍💻	иштеп чыгуучу, коддогуч, ойлоп тапкыч, орточо, программачы, эркек, эркек технолог, эркек технолог: орточо
👨🏾‍💻	иштеп чыгуучу, кара тору, коддогуч, ойлоп тапкыч, программачы, эркек, эркек технолог, эркек технолог: кара тору
👨🏿‍💻	иштеп чыгуучу, кара, коддогуч, ойлоп тапкыч, программачы, эркек, эркек технолог, эркек технолог: кара
👩‍💻	аял, аял технолог, иштеп чыгуучу, коддогуч, ойлоп тапкыч, программачы
👩🏻‍💻	акжуумал, аял, аял технолог, аял технолог: акжуумал, иштеп чыгуучу, коддогуч, ойлоп тапкыч, программачы
👩🏼‍💻	аял, аял технолог, аял технолог: буудай жүздүү, буудай жүздүү, иштеп чыгуучу, коддогуч, ойлоп тапкыч, программачы
👩🏽‍💻	аял, аял технолог, аял технолог: орточо, иштеп чыгуучу, коддогуч, ойлоп тапкыч, орточо, программачы
👩🏾‍💻	аял, аял технолог, аял технолог: кара тору, иштеп чыгуучу, кара тору, коддогуч, ойлоп тапкыч, программачы
👩🏿‍💻	аял, аял технолог, аял технолог: кара, иштеп чыгуучу, кара, коддогуч, ойлоп тапкыч, программачы
👨‍🎤	актер, алып баруучу, рок, ырчы, эркек, эркек ырчы
👨🏻‍🎤	акжуумал, актер, алып баруучу, рок, ырчы, эркек, эркек ырчы: акжуумал
👨🏼‍🎤	актер, алып баруучу, буудай жүздүү, рок, ырчы, эркек, эркек ырчы: буудай жүздүү
👨🏽‍🎤	актер, алып баруучу, орточо, рок, ырчы, эркек, эркек ырчы: орточо
👨🏾‍🎤	актер, алып баруучу, кара тору, рок, ырчы, эркек, эркек ырчы: кара тору
👨🏿‍🎤	актер, алып баруучу, кара, рок, ырчы, эркек, эркек ырчы: кара
👩‍🎤	актриса, алып баруучу, аял, аял ырчы, рок, ырчы
👩🏻‍🎤	акжуумал, актриса, алып баруучу, аял, аял ырчы: акжуумал, рок, ырчы
👩🏼‍🎤	актриса, алып баруучу, аял, аял ырчы: буудай жүздүү, буудай жүздүү, рок, ырчы
👩🏽‍🎤	актриса, алып баруучу, аял, аял ырчы: орточо, орточо, рок, ырчы
👩🏾‍🎤	актриса, алып баруучу, аял, аял ырчы: кара тору, кара тору, рок, ырчы
👩🏿‍🎤	актриса, алып баруучу, аял, аял ырчы: кара, кара, рок, ырчы
👨‍🎨	боектор, сүрөтчү, эркек, эркек сүрөтчү
👨🏻‍🎨	акжуумал, боектор, сүрөтчү, эркек, эркек сүрөтчү: акжуумал
👨🏼‍🎨	боектор, буудай жүздүү, сүрөтчү, эркек, эркек сүрөтчү: буудай жүздүү
👨🏽‍🎨	боектор, орточо, сүрөтчү, эркек, эркек сүрөтчү: орточо
👨🏾‍🎨	боектор, кара тору, сүрөтчү, эркек, эркек сүрөтчү: кара тору
👨🏿‍🎨	боектор, кара, сүрөтчү, эркек, эркек сүрөтчү: кара
👩‍🎨	аял, аял сүрөтчү, боектор, сүрөтчү
👩🏻‍🎨	акжуумал, аял, аял сүрөтчү: акжуумал, боектор, сүрөтчү
👩🏼‍🎨	аял, аял сүрөтчү: буудай жүздүү, боектор, буудай жүздүү, сүрөтчү
👩🏽‍🎨	аял, аял сүрөтчү: орточо, боектор, орточо, сүрөтчү
👩🏾‍🎨	аял, аял сүрөтчү: кара тору, боектор, кара тору, сүрөтчү
👩🏿‍🎨	аял, аял сүрөтчү: кара, боектор, кара, сүрөтчү
👨‍✈	учак, учкуч, эркек, эркек учкуч
👨🏻‍✈	акжуумал, учак, учкуч, эркек, эркек учкуч: акжуумал
👨🏼‍✈	буудай жүздүү, учак, учкуч, эркек, эркек учкуч: буудай жүздүү
👨🏽‍✈	орточо, учак, учкуч, эркек, эркек учкуч: орточо
👨🏾‍✈	кара тору, учак, учкуч, эркек, эркек учкуч: кара тору
👨🏿‍✈	кара, учак, учкуч, эркек, эркек учкуч: кара
👩‍✈	аял, аял учкуч, учак, учкуч
👩🏻‍✈	акжуумал, аял, аял учкуч: акжуумал, учак, учкуч
👩🏼‍✈	аял, аял учкуч: буудай жүздүү, буудай жүздүү, учак, учкуч
👩🏽‍✈	аял, аял учкуч: орточо, орточо, учак, учкуч
👩🏾‍✈	аял, аял учкуч: кара тору, кара тору, учак, учкуч
👩🏿‍✈	аял, аял учкуч: кара, кара, учак, учкуч
👨‍🚀	космонавт, ракета, эркек, эркек космонавт
👨🏻‍🚀	акжуумал, космонавт, ракета, эркек, эркек космонавт: акжуумал
👨🏼‍🚀	буудай жүздүү, космонавт, ракета, эркек, эркек космонавт: буудай жүздүү
👨🏽‍🚀	космонавт, орточо, ракета, эркек, эркек космонавт: орточо
👨🏾‍🚀	кара тору, космонавт, ракета, эркек, эркек космонавт: кара тору
👨🏿‍🚀	кара, космонавт, ракета, эркек, эркек космонавт: кара
👩‍🚀	аял, аял космонавт, космонавт, ракета
👩🏻‍🚀	акжуумал, аял, аял космонавт: акжуумал, космонавт, ракета
👩🏼‍🚀	аял, аял космонавт: буудай жүздүү, буудай жүздүү, космонавт, ракета
👩🏽‍🚀	аял, аял космонавт: орточо, космонавт, орточо, ракета
👩🏾‍🚀	аял, аял космонавт: кара тору, кара тору, космонавт, ракета
👩🏿‍🚀	аял, аял космонавт: кара, кара, космонавт, ракета
👨‍🚒	эркек, эркек өрт өчүргүч, өрт өчүргүч, өрт өчүрүүчү унаа
👨🏻‍🚒	акжуумал, эркек, эркек өрт өчүргүч, эркек өрт өчүргүч: акжуумал, өрт өчүргүч, өрт өчүрүүчү унаа
👨🏼‍🚒	буудай жүздүү, эркек, эркек өрт өчүргүч, эркек өрт өчүргүч: буудай жүздүү, өрт өчүргүч, өрт өчүрүүчү унаа
👨🏽‍🚒	орточо, эркек, эркек өрт өчүргүч, эркек өрт өчүргүч: орточо, өрт өчүргүч, өрт өчүрүүчү унаа
👨🏾‍🚒	кара тору, эркек, эркек өрт өчүргүч, эркек өрт өчүргүч: кара тору, өрт өчүргүч, өрт өчүрүүчү унаа
👨🏿‍🚒	кара, эркек, эркек өрт өчүргүч, эркек өрт өчүргүч: кара, өрт өчүргүч, өрт өчүрүүчү унаа
👩‍🚒	аял, аял өрт өчүргүч, өрт өчүргүч, өрт өчүрүүчү унаа
👩🏻‍🚒	акжуумал, аял, аял өрт өчүргүч, аял өрт өчүргүч: акжуумал, өрт өчүргүч, өрт өчүрүүчү унаа
👩🏼‍🚒	аял, аял өрт өчүргүч, аял өрт өчүргүч: буудай жүздүү, буудай жүздүү, өрт өчүргүч, өрт өчүрүүчү унаа
👩🏽‍🚒	аял, аял өрт өчүргүч, аял өрт өчүргүч: орточо, орточо, өрт өчүргүч, өрт өчүрүүчү унаа
👩🏾‍🚒	аял, аял өрт өчүргүч, аял өрт өчүргүч: кара тору, кара тору, өрт өчүргүч, өрт өчүрүүчү унаа
👩🏿‍🚒	аял, аял өрт өчүргүч, аял өрт өчүргүч: кара, кара, өрт өчүргүч, өрт өчүрүүчү унаа
👮	мент, милиция, милиция кызматкери, офицер
👮🏻	акжуумал, мент, милиция, милиция кызматкери, милиция кызматкери: акжуумал, офицер
👮🏼	буудай жүздүү, мент, милиция, милиция кызматкери, милиция кызматкери: буудай жүздүү, офицер
👮🏽	мент, милиция, милиция кызматкери, милиция кызматкери: орточо, орточо, офицер
👮🏾	кара тору, мент, милиция, милиция кызматкери, милиция кызматкери: кара тору, офицер
👮🏿	кара, мент, милиция, милиция кызматкери, милиция кызматкери: кара, офицер
👮‍♂	коп, офицер, полиция, эркек, эркек милиция кызматкери
👮🏻‍♂	акжуумал, коп, офицер, полиция, эркек, эркек милиция кызматкери, эркек милиция кызматкери: акжуумал
👮🏼‍♂	буудай жүздүү, коп, офицер, полиция, эркек, эркек милиция кызматкери, эркек милиция кызматкери: буудай жүздүү
👮🏽‍♂	коп, орточо, офицер, полиция, эркек, эркек милиция кызматкери, эркек милиция кызматкери: орточо
👮🏾‍♂	кара тору, коп, офицер, полиция, эркек, эркек милиция кызматкери, эркек милиция кызматкери: кара тору
👮🏿‍♂	кара, коп, офицер, полиция, эркек, эркек милиция кызматкери, эркек милиция кызматкери: кара
👮‍♀	аял, аял милиция кызматкери, коп, офицер, полиция
👮🏻‍♀	акжуумал, аял, аял милиция кызматкери, аял милиция кызматкери: акжуумал, коп, офицер, полиция
👮🏼‍♀	аял, аял милиция кызматкери, аял милиция кызматкери: буудай жүздүү, буудай жүздүү, коп, офицер, полиция
👮🏽‍♀	аял, аял милиция кызматкери, аял милиция кызматкери: орточо, коп, орточо, офицер, полиция
👮🏾‍♀	аял, аял милиция кызматкери, аял милиция кызматкери: кара тору, кара тору, коп, офицер, полиция
👮🏿‍♀	аял, аял милиция кызматкери, аял милиция кызматкери: кара, кара, коп, офицер, полиция
🕵️	детектив, тыңчы, шпион
🕵🏻	акжуумал, детектив, детектив: акжуумал, тыңчы, шпион
🕵🏼	буудай жүздүү, детектив, детектив: буудай жүздүү, тыңчы, шпион
🕵🏽	детектив, детектив: орточо, орточо, тыңчы, шпион
🕵🏾	детектив, детектив: кара тору, кара тору, тыңчы, шпион
🕵🏿	детектив, детектив: кара, кара, тыңчы, шпион
🕵‍♂	детектив, детектив киши, изилдөө, изкубар, киши, шпион
🕵🏻‍♂	акжуумал, детектив, детектив киши: акжуумал, изилдөө, изкубар, киши, шпион
🕵🏼‍♂	буудай жүздүү, детектив, детектив киши: буудай жүздүү, изилдөө, изкубар, киши, шпион
🕵🏽‍♂	детектив, детектив киши: орточо, изилдөө, изкубар, киши, орточо, шпион
🕵🏾‍♂	детектив, детектив киши: кара тору, изилдөө, изкубар, кара тору, киши, шпион
🕵🏿‍♂	детектив, детектив киши: кара, изилдөө, изкубар, кара, киши, шпион
🕵‍♀	аял, детектив, детектив аял, изилдөө, изкубар, шпион
🕵🏻‍♀	акжуумал, аял, детектив, детектив аял: акжуумал, изилдөө, изкубар, шпион
🕵🏼‍♀	аял, буудай жүздүү, детектив, детектив аял: буудай жүздүү, изилдөө, изкубар, шпион
🕵🏽‍♀	аял, детектив, детектив аял: орточо, изилдөө, изкубар, орточо, шпион
🕵🏾‍♀	аял, детектив, детектив аял: кара тору, изилдөө, изкубар, кара тору, шпион
🕵🏿‍♀	аял, детектив, детектив аял: кара, изилдөө, изкубар, кара, шпион
💂	кароол, кароолчу
💂🏻	акжуумал, кароол, кароолчу, кароолчу: акжуумал
💂🏼	буудай жүздүү, кароол, кароолчу, кароолчу: буудай жүздүү
💂🏽	кароол, кароолчу, кароолчу: орточо, орточо
💂🏾	кара тору, кароол, кароолчу, кароолчу: кара тору
💂🏿	кара, кароол, кароолчу, кароолчу: кара
💂‍♂	кароол, эркек, эркек кароолчу
💂🏻‍♂	акжуумал, кароол, эркек, эркек кароолчу, эркек кароолчу: акжуумал
💂🏼‍♂	буудай жүздүү, кароол, эркек, эркек кароолчу, эркек кароолчу: буудай жүздүү
💂🏽‍♂	кароол, орточо, эркек, эркек кароолчу, эркек кароолчу: орточо
💂🏾‍♂	кара тору, кароол, эркек, эркек кароолчу, эркек кароолчу: кара тору
💂🏿‍♂	кара, кароол, эркек, эркек кароолчу, эркек кароолчу: кара
💂‍♀	аял, аял кароолчу, кароол
💂🏻‍♀	акжуумал, аял, аял кароолчу, аял кароолчу: акжуумал, кароол
💂🏼‍♀	аял, аял кароолчу, аял кароолчу: буудай жүздүү, буудай жүздүү, кароол
💂🏽‍♀	аял, аял кароолчу, аял кароолчу: орточо, кароол, орточо
💂🏾‍♀	аял, аял кароолчу, аял кароолчу: кара тору, кара тору, кароол
💂🏿‍♀	аял, аял кароолчу, аял кароолчу: кара, кара, кароол
👷	баш кийим, жумушчу, курулуш, куруучу
👷🏻	акжуумал, баш кийим, жумушчу, курулуш, куруучу, куруучу: акжуумал
👷🏼	баш кийим, буудай жүздүү, жумушчу, курулуш, куруучу, куруучу: буудай жүздүү
👷🏽	баш кийим, жумушчу, курулуш, куруучу, куруучу: орточо, орточо
👷🏾	баш кийим, жумушчу, кара тору, курулуш, куруучу, куруучу: кара тору
👷🏿	баш кийим, жумушчу, кара, курулуш, куруучу, куруучу: кара
👷‍♂	жумушчу, курулуш, эркек, эркек курулуш кызматкери
👷🏻‍♂	акжуумал, жумушчу, курулуш, эркек, эркек курулуш кызматкери, эркек курулуш кызматкери: акжуумал
👷🏼‍♂	буудай жүздүү, жумушчу, курулуш, эркек, эркек курулуш кызматкери, эркек курулуш кызматкери: буудай жүздүү
👷🏽‍♂	жумушчу, курулуш, орточо, эркек, эркек курулуш кызматкери, эркек курулуш кызматкери: орточо
👷🏾‍♂	жумушчу, кара тору, курулуш, эркек, эркек курулуш кызматкери, эркек курулуш кызматкери: кара тору
👷🏿‍♂	жумушчу, кара, курулуш, эркек, эркек курулуш кызматкери, эркек курулуш кызматкери: кара
👷‍♀	аял, аял курулуш кызматкери, жумушчу, курулуш
👷🏻‍♀	акжуумал, аял, аял курулуш кызматкери, аял курулуш кызматкери: акжуумал, жумушчу, курулуш
👷🏼‍♀	аял, аял курулуш кызматкери, аял курулуш кызматкери: буудай жүздүү, буудай жүздүү, жумушчу, курулуш
👷🏽‍♀	аял, аял курулуш кызматкери, аял курулуш кызматкери: орточо, жумушчу, курулуш, орточо
👷🏾‍♀	аял, аял курулуш кызматкери, аял курулуш кызматкери: кара тору, жумушчу, кара тору, курулуш
👷🏿‍♀	аял, аял курулуш кызматкери, аял курулуш кызматкери: кара, жумушчу, кара, курулуш
🤴	ханзаада
🤴🏻	акжуумал, ханзаада, ханзаада: акжуумал
🤴🏼	буудай жүздүү, ханзаада, ханзаада: буудай жүздүү
🤴🏽	орточо, ханзаада, ханзаада: орточо
🤴🏾	кара тору, ханзаада, ханзаада: кара тору
🤴🏿	кара, ханзаада, ханзаада: кара
👸	жомок, фантастика, ханыша
👸🏻	акжуумал, жомок, фантастика, ханыша, ханыша: акжуумал
👸🏼	буудай жүздүү, жомок, фантастика, ханыша, ханыша: буудай жүздүү
👸🏽	жомок, орточо, фантастика, ханыша, ханыша: орточо
👸🏾	жомок, кара тору, фантастика, ханыша, ханыша: кара тору
👸🏿	жомок, кара, фантастика, ханыша, ханыша: кара
👳	киши, селде, селдечен киши
👳🏻	акжуумал, киши, селде, селдечен киши, селдечен киши: акжуумал
👳🏼	буудай жүздүү, киши, селде, селдечен киши, селдечен киши: буудай жүздүү
👳🏽	киши, орточо, селде, селдечен киши, селдечен киши: орточо
👳🏾	кара тору, киши, селде, селдечен киши, селдечен киши: кара тору
👳🏿	кара, киши, селде, селдечен киши, селдечен киши: кара
👳‍♂	селдечен эркек, чалма, эркек
👳🏻‍♂	акжуумал, селдечен эркек, селдечен эркек: акжуумал, чалма, эркек
👳🏼‍♂	буудай жүздүү, селдечен эркек, селдечен эркек: буудай жүздүү, чалма, эркек
👳🏽‍♂	орточо, селдечен эркек, селдечен эркек: орточо, чалма, эркек
👳🏾‍♂	кара тору, селдечен эркек, селдечен эркек: кара тору, чалма, эркек
👳🏿‍♂	кара, селдечен эркек, селдечен эркек: кара, чалма, эркек
👳‍♀	аял, селдечен аял, чалма
👳🏻‍♀	акжуумал, аял, селдечен аял, селдечен аял: акжуумал, чалма
👳🏼‍♀	аял, буудай жүздүү, селдечен аял, селдечен аял: буудай жүздүү, чалма
👳🏽‍♀	аял, орточо, селдечен аял, селдечен аял: орточо, чалма
👳🏾‍♀	аял, кара тору, селдечен аял, селдечен аял: кара тору, чалма
👳🏿‍♀	аял, кара, селдечен аял, селдечен аял: кара, чалма
👲	баш кийим, гуа-пи-мао, киши, кытай топучан киши
👲🏻	акжуумал, баш кийим, гуа-пи-мао, киши, кытай топучан киши, кытай топучан киши: акжуумал
👲🏼	баш кийим, буудай жүздүү, гуа-пи-мао, киши, кытай топучан киши, кытай топучан киши: буудай жүздүү
👲🏽	баш кийим, гуа-пи-мао, киши, кытай топучан киши, кытай топучан киши: орточо, орточо
👲🏾	баш кийим, гуа-пи-мао, кара тору, киши, кытай топучан киши, кытай топучан киши: кара тору
👲🏿	баш кийим, гуа-пи-мао, кара, киши, кытай топучан киши, кытай топучан киши: кара
🧕	жоолук, жоолукчан аял, хижаб, шарф
🧕🏻	акжуумал, жоолук, жоолукчан аял, жоолукчан аял: акжуумал, хижаб, шарф
🧕🏼	буудай жүздүү, жоолук, жоолукчан аял, жоолукчан аял: буудай жүздүү, хижаб, шарф
🧕🏽	жоолук, жоолукчан аял, жоолукчан аял: орточо, орточо, хижаб, шарф
