😀	бет, ырсай, ырсайган бет
😻	жылмай, көз, мышык, сүйүү, сүйүүгө башы айланган мышык, сүйүүгө башы айланып жылмайган мышык
😼	жылмай, мазактаган, мыйыгынан, мыйыгынан жылмайган мышык, мышык
😽	жум, көз, көздөрүн жумуп өөп жаткан мышык, мышык, өп
🙀	мышык, таң калган, таң калган мышык, ух
😿	жаш, капа, мышык, ый, ыйлап жаткан мышык
😾	мышык, таарын, тултуй, тултуюп таарынган мышык
🙈	жаман, көзүм жамандыкты көрбөсүн, көрбө, маймыл, тыюу салынган
🙉	жаман, кулагым жамандыкты укпасын, маймыл, тыюу салынган, укпа
🙊	жаман, оозуман жаман сөз чыкпасын, сүйлөбө, тыюу салынган
💋	романтика, эрин, өбүү белгиси, өп
💌	жүрөк, кат, почта, романтика, сүйүү, сүйүү каты
💘	жебе, жебе сайылган жүрөк, жүрөк, романтика
💝	валентин, жүрөк, лента, лента байланган жүрөк
💖	жылтылда, жылтылдаган жүрөк, жүрөк, толкунданган
💗	жүрөк, жүрөк пульсу, толкунданган, чоңой, чоңоюп жаткан жүрөк
💓	жүрөк, жүрөк кагышы, кагуу, кагып жаткан жүрөк, пульс
💞	айланып жаткан, айланып жаткан жүрөктөр, жүрөк
💕	жүрөк, кош, кош жүрөк, сүйүү, эки
💟	жүрөк, жүрөк менен кооздолгон
❣️	белги, жүрөк, жүрөк менен жазылган илеп белгиси, илеп, пунктуация
💔	жараланган, жараланган жүрөк, жүрөк
❤️	жүрөк, кызыл жүрөк
🧡	кызгылтым сары, кызгылтым сары жүрөк
💛	жүрөк, сары, сары жүрөк
💚	жашыл, жашыл жүрөк, жүрөк
💙	жүрөк, көк, көк жүрөк
💜	жүрөк, сыя көк, сыя түстүү жүрөк
🤎	жүрөк, күрөң, күрөң жүрөк
🖤	жинденүү, жүрөк, кара, кара жүрөк
🤍	ак, ак жүрөк, жүрөк
💯	100, жүз, жүз упай, толук, упай
💢	ачуулануу белгиси, ачуулуу, комикс
