😀	මුහුණ, සිනහ මුහුණ, සිනහව
🤓	මුහුණ, මොට්ට, මෝඩ, මෝඩ මුහුණ
🧐	කේන්ති ගිය, තනි කාචයක් සහිත මුහුණ
😕	මුහුණ, ව්‍යාකූල, ව්‍යාකූල වූ මුහුණ
😟	කනගාටුවට පත්, කනගාටුවට පත් මුහුණ, මුහුණ
🙁	මදක් රවන මුහුණ, මුහුණ, රැවීම
☹️	මුහුණ, රවන මුහුණ, රැවීම
😮	කට, කට ඇරුණ මුහුණ, දුක, මුහුණ, විවෘත
😯	නිශ්ශබ්ද, නිශ්ශබ්ද මුහුණ, නිහඩ, පුදුම, මුහුණ
😲	පුදුම, මුහුණ, විස්මයට පත්, විස්මයට පත් මුහුණ, සම්පූර්ණයෙන්
😳	මුහුණ, රතු වූ, රතු වූ මුහුණ, ලැජ්ජාව
🥺	අනුකම්පාව, කණගාටුයි මුහුණ, බලු පැටවූ ඇස්, සිඟාකෑම
😦	කට, කට ඇරුණ රවන මුහුණ, මුහුණ, රැවීම, විවෘත
😧	මුහුණ, වේදනාව, වේදනාවට පත් වූ මුහුණ
😨	බය, බිය, බියජනක, බියට පත් වූ මුහුණ, මුහුණ
😰	ඇරුණු දහඩිය දමන මුහුණ, කට ඇරුණු දහඩිය දමන මුහුණ, දහඩිය, නිල්, මුහුණ, සීතල
😥	බලාපොරොත්තු සුන්වූ, බලාපොරොත්තු සුන්වූ නමුත් සැනසුමක් ලත් මුහුණ, මුහුණ, විව්, සැනසුමක් ලත්
😢	අඬන මුහුණ, ඇඬීම, කඳුළු, දුක, මුහුණ
😭	ඇඬීම, කඳුළු, දුක, මුහුණ, හයියෙන් අඩන මුහුණ
😱	බිය, බියජනක, බියෙන් කෑගසන, බියෙන් කෑගසන මුහුණ, මුහුණ
😖	අවුල් සහගත, අවුල් සහගත වූ මුහුණ, මුහුණ
😣	උත්සාහය, උත්සාහවන්ත මුහුණ, මුහුණ
😞	බලාපොරොත්තු සුුන්වූ, බලාාපොරොත්තු සුන් වූ මුහුණ, මුහුණ
😓	දහඩිය, දහඩිය දමා ගත් මුහුණ, මුුහුණ, සීතල
😩	මහන්සිය, මුහුණ, වෙහෙස, වෙහෙසට පත් වූ මුහුණ
😫	මහුණ, විඩාබර මුහුණ, වෙහෙසකර
🥱	ඈනුම් අරින, ඈනුම් අරින මුහුණ, කම්මැලි, වෙහෙසුණු
😤	ජයග්‍රහණය, දිනුම, නහයෙන් හුමාලය එන මුහුණ, මුහුණ
😡	අමනාපය, අමනාපයෙන් යුතු මුහුණ, තරහව, පළිගැනීම, මුහුණ, රතු
😠	කේන්තියෙන් යුතු මුහුණ, තරහව, මුහුණ, මෝඩ
🤬	කටේ ලකුණු ඇති මුහුණ, දිව්රුම් දීම
😈	අං, අං සහිත සිනහ මුහුණ, මායාව, මුහුණ, සිනහව, සුරංගනා කථාව
👿	මායාව, මිත්‍යා කථාවල එන සත්ත්වයා, මුහුණ, යක්ෂයා, යකා, සුරංගනා කථාව
💀	මරණය, මිනී ඔළුව, මුහුණ, යක්ෂයා, ශරීරය, සුරංගනා කථාව
☠️	මරණය, මිනී ඔළුව, මිනී ඔළුව සහ හරස් ඇටකටු, මුහුණ, යක්ෂයා, ශරීරය, හරස් ඇටකටු
💩	අසූචි, අසූචි ගොඩ, කසල, ගොම, මුහුණ, යක්ෂයා, විහිළු
🤡	මුහුණ, විකටය මුහුණ, විකටයා
👹	ජපන්, මායාව, මිනී කන යක්ෂයා, මුහුණ, යක්ෂයා, සතා, සුරංගනා කථාව
👺	ගොබ්ලින් යක්ෂයා, ජපන්, මායාව, මුහුණ, යක්ෂයා, සතා, සුරංගනා කථාව
👻	ජපන්, මායාව, මුහුණ, යක්ෂයා, සතා, සුරංගනා කථාව, හොල්මන
👽️	අභ්‍යවකාශය, පාරභෞම, පිටසක්වල ජීවියා, පියාඹන පීරිසි, මායාව, මුහුණ, යක්ෂයා, සතා, සුරංගනා කථාව
👾	අභ්‍යවකාශය, පාරභෞම, පිටසක්වල ජීවියා, පිටසක්වල යක්ෂයා, පියාඹන පීරිසි, මායාව, මුහුණ, යක්ෂයා, සතා, සුරංගනා කථාව
🤖	මුහුණ, යක්ෂයා, රොබෝ, රොබෝ මුහුණ
😺	කට, කට ඇරුණ සිනාසෙන බළල් මුහුණ, පූසා, මුහුණ, විවෘත, සිනහව
😸	ඇස, පූසා, මුහුණ, විරිත්තීම, සිනහව, සිනාසෙන ඇස් සහිත දත් විරිතත්න බළල් මුහුණ
😹	පූසා, භය, මුුහුණ, සතුට, සතුටු කඳුළු සහිත බළල් මුහුණ
😻	ආදරය, ඇස, පූසා, මුුහුණ, සිනහව, හදවත, හදවතක හැඩය ගත් ඇස් සහිත සිනාසෙන බළල් මුහුණ
😼	ඇද වූ, උපහාසාත්මක, කට ඇදවූ සිනහව සහිත බළල් මුහුණ, පූසා, මුහුුණ, සිනහව
😽	ඇස, ඇස් වැසුණ සිඹින බළල් මුහුණ, පූසා, මුහුණ, හාදුව
🙀	අපොයි, පුදුමයට පත්, පූසා, මුහුණ, විඩාබර, වෙහෙසට පත් වූ බළල් මුහුණ
😿	අඬන බළල් මුහුණ, ඇඩීම, කඳුළු, දුක්මුසු, පූසා, මුහුණ
😾	අමනාපයෙන් යුතු බළල් මුහුණ, කට උල් කිරීම, පූසා, මුහුණ
🙈	අභින, තහනම් කළ, දුෂ්ට, නරක දේවල් නොබලන්න, නැත, බැලීම, මුහුණ, වඳුරා
🙉	අභින, තහනම් කළ, දුෂ්ට, නරක දේවල් නොඅසන්න, නැත, මුහුණ, වඳුරා, සවන් දීම
🙊	අභින, කථනය, තහනම් කළ, දුෂ්ට, නරක දේවල් කථා නොකරන්න, නැත, මුහුණ, වඳුුරා
💋	තොල්, හදවත, හාදු ලකුණ, හාදුව
💌	ආදර හසුන, ආදරය, තැපෑල, ප්‍රේමය, ලිපිය
💘	අනංගයා, ඊතලය, ඊතලය සහිත හදවත, ප්‍රේමය, හදවත
💝	පීත්ත පටිය, පීත්ත පටියක් සහිත හදවත, වැලන්ටයින්, හදවත
💖	දිදුලන, දිදුලන හදවත, ප්‍රබෝදමත්, හදවත
💗	චංචල, ප්‍රබෝදමත්, වැඩෙන, වැඩෙන හදවත, හදවත, හෘද ස්පන්දනය
💓	ගැහෙන, ගැහෙන හදවත, ස්පන්දනය, හදවත
💞	කරකැවෙන, කරකැවෙන හදවත්, හදවත
💕	ආදරය, හදවත, හදවත් දෙකක්
💟	හදවත, හදවත් සැරසිල්ල
❣️	ලකුණ, වස්මයාර්ථ, විරාම ලකුණ, හදවත, හදවතක හැඩය ගත් විස්මයාර්ථ ලකුණ
💔	බිඳීම, බිඳුණු, බිඳුණු හදවත, හදවත
❤️	රතු හදවත, හදවත
🧡	තැඹිලි, තැඹිලි හදවත
💛	කහ, කහ හදවත, හදවත
💚	කොල, කොළ හදවත, හදවත
💙	නිල්, නිල් හදවත, හදචත
💜	දම්, දම් හදවත, හදවත
🤎	දුඹුරු, දුඹුරු හදවත, හදවත
🖤	කළු, කළු හදවත, දුෂ්ට, නපුරු, හදවත
🤍	සුදු, සුදු හදවත, හදවත
💯	100, ලකුණු, ලකුණු සියයි, සම්පූර්ණ, සියය
💢	කේන්ති, තරහ ලකුණ, පිස්සු, හාස්‍යජනක
💥	ඝට්ටනය, පිපිරීම, හාස්‍යජනක
💫	තරුව, වල්ග තාරකාව, හාස්‍යජනක
💦	දහඩිය, දහඩිය බිඳු, වැගිරීම, හාස්‍යජනක
💨	දුවමින්, ලිස්සා යාම, හාස්‍යජනක
🕳️	කුහරය
💣️	බෝම්බය, හාස්‍යජනක
💬	කථන බැලුනය, කථාව, දෙබස, බැලූනය, හාස්‍යජනක
👁‍🗨	ඇස, කථන බුබුළ, කථන බුබුළක තිබෙන ඇස, සාක්ෂිකරු
🗨️	කථාව, දෙබස, වම් කථන බුබුළ
🗯️	කේන්තිි, දකුණු තරහ බුබුළ, පිස්සු, බැලූනය, බුබුල
💭	බැලූූනය, බුබුල, සිතුවිලි, සිතුවිලි බැලුනය, හාස්‍යජනක
💤	නිදා ගැනීම, ස්ස්ස්, හාස්‍යජනක
👋	අත, අත වනමින්, අත වැනීම, ශරීරය
👋🏻	අත, අත වනමින්, අත වැනීම, අත වැනීම: සමෙහි වර්ගය-1-2, ශරීරය, සමෙහි වර්ගය-1-2
