😀	fjes, glis, glisefjes
💞	følelser, hjerter, kjærlighet, snurrende, snurrende hjerter, søtt
💕	elskere, følelser, kjærlighet, to hjerter
💟	hjerte, hjertedekorasjon
❣️	tegn, tegnsetting, utrop, utropstegn, utropstegn med hjerte
💔	brudd, følelser, hjerte, knust hjerte
❤️	hjerte, rødt hjerte
🧡	følelser, hjerte, oransje, oransje hjerte
💛	følelser, gul, gult hjerte, hjerte
💚	følelser, grønn, grønt hjerte, hjerte
💙	blå, blått hjerte, følelser, hjerte
💜	følelser, hjerte, lilla, lilla hjerte
🤎	brun, brunt hjerte, hjerte
🖤	hjerte, ond, svart, svart hjerte
🤍	hjerte, hvit, hvitt hjerte
💯	100, full pott, hundre poeng, poeng
💢	følelse, sinne, sinnesymbol, sint, tegneserie
💥	følelse, kollisjon, krasj, smell, tegneserie
💫	se stjerner, stjerner, svimmel, tegneserie
💦	dråper, sprut, sprutende, svette, svettedråper, tegneserie
💨	forsvinne, løpe, stikker av, tegneserie
🕳️	hull, hull i bakken
💣️	bombe, følelse, tegneserie
💬	ballong, boble, dialog, dialogboble, snakkeboble, tegneserie
👁‍🗨	snakkeboble, øye, øye i snakkeboble
🗨️	dialog, snakkeboble mot venstre, tale
🗯️	ballong, boble, sint, sint snakkeboble mot høyre, sur
💭	boble, tanke, tankeboble, tegneserie
💤	følelse, snorker, sover, soving, tegneserie, zzz
👋	hånd, vinke, vinkende hånd, vinking
👋🏻	hudtype 1–2, hånd, vinke, vinkende hånd, vinkende hånd: hudtype 1–2, vinking
👋🏼	hudtype 3, hånd, vinke, vinkende hånd, vinkende hånd: hudtype 3, vinking
👋🏽	hudtype 4, hånd, vinke, vinkende hånd, vinkende hånd: hudtype 4, vinking
👋🏾	hudtype 5, hånd, vinke, vinkende hånd, vinkende hånd: hudtype 5, vinking
👋🏿	hudtype 6, hånd, vinke, vinkende hånd, vinkende hånd: hudtype 6, vinking
🤚	hånd, håndbak, løftet, løftet håndbak
🤚🏻	hudtype 1–2, hånd, håndbak, løftet, løftet håndbak: hudtype 1–2
🤚🏼	hudtype 3, hånd, håndbak, løftet, løftet håndbak: hudtype 3
🤚🏽	hudtype 4, hånd, håndbak, løftet, løftet håndbak: hudtype 4
🤚🏾	hudtype 5, hånd, håndbak, løftet, løftet håndbak: hudtype 5
🤚🏿	hudtype 6, hånd, håndbak, løftet, løftet håndbak: hudtype 6
🖐️	finger, flat hånd med spredte fingre, hånd, spredt
🖐🏻	finger, flat hånd med spredte fingre, flat hånd med spredte fingre: hudtype 1–2, hudtype 1–2, hånd, spredt
🖐🏼	finger, flat hånd med spredte fingre, flat hånd med spredte fingre: hudtype 3, hudtype 3, hånd, spredt
🖐🏽	finger, flat hånd med spredte fingre, flat hånd med spredte fingre: hudtype 4, hudtype 4, hånd, spredt
🖐🏾	finger, flat hånd med spredte fingre, flat hånd med spredte fingre: hudtype 5, hudtype 5, hånd, spredt
🖐🏿	finger, flat hånd med spredte fingre, flat hånd med spredte fingre: hudtype 6, hudtype 6, hånd, spredt
✋	flat hånd, hevet hånd, håndflate
✋🏻	flat hånd, hevet hånd, hevet hånd: hudtype 1–2, hudtype 1–2, håndflate
✋🏼	flat hånd, hevet hånd, hevet hånd: hudtype 3, hudtype 3, håndflate
✋🏽	flat hånd, hevet hånd, hevet hånd: hudtype 4, hudtype 4, håndflate
✋🏾	flat hånd, hevet hånd, hevet hånd: hudtype 5, hudtype 5, håndflate
✋🏿	flat hånd, hevet hånd, hevet hånd: hudtype 6, hudtype 6, håndflate
🖖	Vulcan-hilsen, finger, hånd, spock, vulcan
🖖🏻	Vulcan-hilsen, Vulcan-hilsen: hudtype 1–2, finger, hudtype 1–2, hånd, spock, vulcan
🖖🏼	Vulcan-hilsen, Vulcan-hilsen: hudtype 3, finger, hudtype 3, hånd, spock, vulcan
🖖🏽	Vulcan-hilsen, Vulcan-hilsen: hudtype 4, finger, hudtype 4, hånd, spock, vulcan
🖖🏾	Vulcan-hilsen, Vulcan-hilsen: hudtype 5, finger, hudtype 5, hånd, spock, vulcan
🖖🏿	Vulcan-hilsen, Vulcan-hilsen: hudtype 6, finger, hudtype 6, hånd, spock, vulcan
👌	OK, OK-hånd, hånd, tegn
👌🏻	OK, OK-hånd, OK-hånd: hudtype 1–2, hudtype 1–2, hånd, tegn
👌🏼	OK, OK-hånd, OK-hånd: hudtype 3, hudtype 3, hånd, tegn
👌🏽	OK, OK-hånd, OK-hånd: hudtype 4, hudtype 4, hånd, tegn
👌🏾	OK, OK-hånd, OK-hånd: hudtype 5, hudtype 5, hånd, tegn
👌🏿	OK, OK-hånd, OK-hånd: hudtype 6, hudtype 6, hånd, tegn
🤏	hånd som klyper
🤏🏻	hudtype 1–2, hånd som klyper, hånd som klyper: hudtype 1–2
🤏🏼	hudtype 3, hånd som klyper, hånd som klyper: hudtype 3
🤏🏽	hudtype 4, hånd som klyper, hånd som klyper: hudtype 4
🤏🏾	hudtype 5, hånd som klyper, hånd som klyper: hudtype 5
🤏🏿	hudtype 6, hånd som klyper, hånd som klyper: hudtype 6
✌️	hånd, peace-tegn, seierstegn
✌🏻	hudtype 1–2, hånd, peace-tegn, seierstegn, seierstegn: hudtype 1–2
✌🏼	hudtype 3, hånd, peace-tegn, seierstegn, seierstegn: hudtype 3
✌🏽	hudtype 4, hånd, peace-tegn, seierstegn, seierstegn: hudtype 4
✌🏾	hudtype 5, hånd, peace-tegn, seierstegn, seierstegn: hudtype 5
✌🏿	hudtype 6, hånd, peace-tegn, seierstegn, seierstegn: hudtype 6
🤞	finger, hell, hånd, kryss, kryssede fingre
🤞🏻	finger, hell, hudtype 1–2, hånd, kryss, kryssede fingre, kryssede fingre: hudtype 1–2
🤞🏼	finger, hell, hudtype 3, hånd, kryss, kryssede fingre, kryssede fingre: hudtype 3
🤞🏽	finger, hell, hudtype 4, hånd, kryss, kryssede fingre, kryssede fingre: hudtype 4
🤞🏾	finger, hell, hudtype 5, hånd, kryss, kryssede fingre, kryssede fingre: hudtype 5
🤞🏿	finger, hell, hudtype 6, hånd, kryss, kryssede fingre, kryssede fingre: hudtype 6
🤟	ILY, glad i deg, glad i deg-tegn, hånd, tegnspråk
🤟🏻	ILY, glad i deg, glad i deg-tegn, glad i deg-tegn: hudtype 1–2, hudtype 1–2, hånd, tegnspråk
🤟🏼	ILY, glad i deg, glad i deg-tegn, glad i deg-tegn: hudtype 3, hudtype 3, hånd, tegnspråk
🤟🏽	ILY, glad i deg, glad i deg-tegn, glad i deg-tegn: hudtype 4, hudtype 4, hånd, tegnspråk
🤟🏾	ILY, glad i deg, glad i deg-tegn, glad i deg-tegn: hudtype 5, hudtype 5, hånd, tegnspråk
🤟🏿	ILY, glad i deg, glad i deg-tegn, glad i deg-tegn: hudtype 6, hudtype 6, hånd, tegnspråk
🤘	finger, horn, hånd, rock’n’roll
🤘🏻	finger, horn, hudtype 1–2, hånd, rock’n’roll, rock’n’roll: hudtype 1–2
🤘🏼	finger, horn, hudtype 3, hånd, rock’n’roll, rock’n’roll: hudtype 3
🤘🏽	finger, horn, hudtype 4, hånd, rock’n’roll, rock’n’roll: hudtype 4
🤘🏾	finger, horn, hudtype 5, hånd, rock’n’roll, rock’n’roll: hudtype 5
🤘🏿	finger, horn, hudtype 6, hånd, rock’n’roll, rock’n’roll: hudtype 6
🤙	hånd, ring meg-hånd, ringe
